事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
災害時における事業の継続を図るためのＢＣＰ策定支援、エネルギー確保を図るとともに、都市防災力を高める防災技術・製品の実用化支援など、多様な取組を展開します,,,,,,4695,,6224
45,（８－１１）,家庭部門における省エネ・エネルギーマネジメントの推進,環境局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
46,（６－６）,地域におけるエネルギー利用のスマート化の推進,環境局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
47,（８－１２）,再生可能エネルギーの利用拡大,環境局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
48,１０－３６,水素社会の実現に向けた取組,環境局,平成２６年度に「水素社会の実現に向けた東京戦略会議」を設置し、東京２０２０オリンピック・パラリンピック競技大会における水素エネルギーの活用に向けた環境整備として、２０２０年までと２０２０年以降を見据えた戦略目標等を策定した。また、平成２８年３月に策定した東京都環境基本計画では、新たに２０３０年までの目標を設定した。／戦略目標の実現に向けて、官民一体となって、具体的な取組を着実に推進する。,・水素ステーションの整備促進／・燃料電池自動車の普及拡大／・事業所向け再エネ由来水素活用設備導入補助の実施／・水素社会実現に向けた普及促進,4410,・水素ステーションの整備促進／・燃料電池自動車の普及拡大／・事業所向け再エネ由来水素活用設備導入補助の実施／・水素社会実現に向けた普及促進,5500
49,１０－３７,災害時における高圧ガス施設等の安全性の確保,環境局,震災時における高圧ガス施設の安全性を確保するため、高圧ガス施設の耐震調査を実施するとともに、適切な保守管理の指導等を徹底する。,・リーフレットを全２８１事業所に周知するとともに、ＨＰに調査結果及び日常点検のポイント等を掲載／・事業所への重点立入を実施し適切な保守管理を指導,-,・耐震性能の維持に関する周知及び事業所への立入検査を継続,-
50,１０－３８,高圧ガス取扱事業所に対する事業所防災計画の作成指導,環境局,災害時における高圧ガス施設の安全性を確保するため、高圧ガス取扱事業所に対して防災計画指針に沿った事業所防災計画の作成を指導する。,・事業所防災計画の作成指導の継続,-,・事業所防災計画の作成指導の継続,-
51,１０－３９,高圧ガス取扱事業所等との連携（事業所防災訓練の充実）,環境局,東京都、東京都高圧ガス地域防災協議会及びその加盟高圧ガス取扱事業所並びに関係機関等と協力して、実験、基礎訓練及び総合訓練を実施する。,１０月に東京都と高圧ガス事業所団体で構成する防災組織「高圧ガス地域防災協議会」とで、高圧ガス防災訓練を実施,2,１０月に東京都と高圧ガス事業所団体で構成する防災組織「高圧ガス地域防災協議会」とで、高圧ガス防災訓練を実施,2
52,１０－４０,高圧ガス災害時の情報通信体制の整備,環境局,高圧ガス災害時の情報通信体制を確保するため、４２カ所にＭＣＡ無線機を配備する。／また定期的な通信訓練を実施する。,通信訓練の実施,3,通信訓練の実施／防災組織の組織見直しに伴い、さらに３か所に無線機を配備,4
53,１０－４１,震災時の化学物質対策,環境局,震災対策マニュアルを作成し事業者に周知するとともに、条例の化学物質適正管理制度を震災を想定したものにし事業者の震災対策を促進する。／化学物質取扱事業所で発生する震災時の事故に的確に対応できるよう、適正管理化学物質に関する情報を東京消防庁、区市等と共有する。,・「化学物質管理方法書」に震災対策を盛り込むよう、区市と連携した事業者への周知・指導／・「震災対策マニュアル」の普及促進／・適正管理物質に係る最新の情報の東京消防庁への提供の継続,-,・「化学物質管理方法書」に震災対策を盛り込むよう、区市と連携した事業者への周知・指導／・「震災対策マニュアル」の普及促進／・適正管理物質に係る最新の情報の東京消防庁への提供の継続,-
