計測震度,木造旧築年（％）,木造中築年１（％）,木造中築年２（％）,木造新築年１（％）,木造新築年２（％）,木造新築年３（％）,非木造旧築年（％）,非木造中築年（％）,非木造新築年（％）
5,0.2,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.0
5.1,0.6,0.3,0.2,0.0,0.0,0.0,0.4,0.2,0.0
5.2,1.4,0.8,0.4,0.1,0.0,0.0,0.6,0.4,0.1
5.3,3.0,1.9,1.0,0.2,0.0,0.0,1.0,0.7,0.1
5.4,5.9,3.9,2.1,0.4,0.1,0.0,1.6,1.1,0.2
5.5,10.6,7.5,4.3,0.8,0.1,0.0,2.5,1.8,0.3
5.6,17.4,13.1,8.0,1.4,0.3,0.1,3.7,2.7,0.6
5.7,26.6,21.1,13.7,2.4,0.5,0.2,5.5,4.0,0.9
5.8,37.7,31.5,21.7,4.0,1.0,0.4,7.8,5.8,1.4
5.9,50.0,43.8,31.7,6.4,1.8,0.8,10.8,8.2,2.1
6,62.3,56.8,43.2,9.8,3.1,1.4,14.6,11.2,3.1
6.1,73.4,69.4,55.1,14.3,5.1,2.4,19.1,15.0,4.5
6.2,82.6,80.3,66.5,20.0,7.9,4.0,24.5,19.6,6.4
6.3,89.4,88.8,76.4,27.0,11.9,6.4,30.5,24.9,8.8
6.4,94.1,94.1,84.2,35.0,17.0,9.8,37.2,30.9,11.8
6.5,97.0,97.0,89.9,43.7,23.4,14.3,44.2,37.4,15.5
6.6,98.6,98.6,93.7,52.7,30.9,20.0,51.5,44.3,19.8
6.7,99.4,99.4,96.2,61.6,39.3,27.0,58.6,51.4,24.9
6.8,99.8,99.8,97.7,69.9,48.2,35.0,65.5,58.5,30.6
6.9,99.9,99.9,98.7,77.3,57.2,43.7,72.0,65.3,36.7
7,100.0,100.0,99.2,83.6,65.9,52.7,77.7,71.6,43.3
