用途１,用途２,用途３,対象物数合計（棟）
計,,,378488
1,イ,劇場等,140
1,ロ,公会堂等,64
2,イ,キャバレー等,48
2,ロ,遊技場等,609
2,ハ,性風俗関係等,15
2,ニ,カラオケボックス等,205
3,イ,待合等,114
3,ロ,飲食店,6548
4,,百貨店等,6947
5,イ,旅館等,1965
5,ロ,寄宿舎等,148064
6,イ,病院等,2707
6,ロ,福祉施設等（入所）,2087
6,ハ,福祉施設等（通所）,3778
6,ニ,幼稚園等,1399
7,,学校等,8894
8,,図書館等,385
9,イ,熱気浴場等,162
9,ロ,公衆浴場,516
10,,停車場等,603
11,,神社等,4061
12,イ,工場等,11370
12,ロ,スタジオ等,63
13,イ,車庫等,2839
13,ロ,格納庫等,27
14,,倉庫,8045
15,,事務所等,40000
16,イ,特定用途の複合,57397
16,ロ,上記以外の複合,68959
（１６）項の２,,地下街,11
（１６）項の３,,準地下街,2
（１７）項,,文化財等,403
18,,アーケード,61
