地区,面積（ｈａ）,区市,面積計（ｈａ）,面積第１次指定（ｈａ）,面積第２次指定（ｈａ）,面積第３次指定（ｈａ）
区部,771.6,世田谷区,246.0,,246.0,
区部,※,板橋区,525.6,,525.6,
市部,6306.8,町田市,6306.8,2414.0,3892.8,
多摩建築指導事務所開発指導第一課所管区域,12000.8,八王子市,8902.0,6689.0,2213.0,
多摩建築指導事務所開発指導第一課所管区域,※,青梅市,2377.0,,47.8,2329.2
多摩建築指導事務所開発指導第一課所管区域,※,日野市,700.5,700.5,,
多摩建築指導事務所開発指導第一課所管区域,※,あきる野市,21.3,21.3,,
多摩建築指導事務所開発指導第二課所管区域,3217.8,三鷹市,71.4,,71.4,
多摩建築指導事務所開発指導第二課所管区域,※,調布市,121.6,,121.6,
多摩建築指導事務所開発指導第二課所管区域,※,小金井市,67.3,,67.3,
多摩建築指導事務所開発指導第二課所管区域,※,東久留米市,3.5,3.5,,
多摩建築指導事務所開発指導第二課所管区域,※,多摩市,1650.0,1650.0,,
多摩建築指導事務所開発指導第二課所管区域,※,稲城市,1304.0,,1304.0,
合計,22297.0,１１市２区,22297.0,11478.3,8489.5,2329.2
区域指定の効力発生年月日,,,,昭37.10.1,昭38.11.10,昭40.10.20
