岸壁名称,最大使用船舶（Ｇ／Ｔ）,貯蔵タンク危険物,貯蔵タンク危険物（とう載量）（ｋｌ）,貯蔵タンク重油（とう載量）（ｋｌ）,備考（所在地）,備考（電話番号）
出光興産（株）東京油槽所第１岸壁,749,ガソリン,３０００×２,３０００×１／２５００×１,江東区若洲２－９－２,03-3521-2761
出光興産（株）東京油槽所第２岸壁,※,灯油,２５００×１／３０００×１,※,江東区若洲２－９－２,03-3521-2761
出光興産（株）東京油槽所第３岸壁,※,軽油,３０００×２／２３００×１,※,江東区若洲２－９－２,03-3521-2761
三愛石油（株）受入桟橋,271,ジェット燃料,９８００×３／８０００×５,,大田区羽田空港３－７,03-5757-0328
東京電力（株）大井火力発電所５０００ｔ桟橋,3675,原油,３００００×２,,品川区八潮１－２－２,03-4476-2116
東京電力（株）大井火力発電所５０００ｔ桟橋,※,軽油,５００×２,,品川区八潮１－２－２,03-4476-2116
（株）朝田商会東京油槽所桟橋,499,ガソリン,１９８×４,４９３×５／１９８×１,江東区若洲２－８－１４,03-5569-5001
（株）朝田商会東京油槽所桟橋,※,キシレン,１９８×１,※,江東区若洲２－８－１４,03-5569-5001
（株）朝田商会東京油槽所桟橋,※,トルエン,１９８×１,※,江東区若洲２－８－１４,03-5569-5001
（株）朝田商会東京油槽所桟橋,※,灯油,１９８×３,※,江東区若洲２－８－１４,03-5569-5001
（株）朝田商会東京油槽所桟橋,※,軽油,４９３×３,※,江東区若洲２－８－１４,03-5569-5001
