事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
継続的に医療行為を行えるよう事業継続計画（ＢＣＰ）の策定を促進します,,,,,,3086,,2345
64,９－３７,医療施設の基盤整備（救命救急センター運営費等補助）,福祉保健局,災害拠点病院等の医療機関が、災害時の多数傷病者を確実に受け入れることができるように、施設整備を行う。,・運営費補助１６施設,1201,・運営費補助１６施設,1089
65,９－３８,医療施設の基盤整備（救命救急センター施設設備補助）,福祉保健局,災害拠点病院等の医療機関が、災害時の多数傷病者を確実に受け入れることができるように、施設整備を行う。,・設備整備１４施設,880,・設備整備１５施設,489
66,９－３９,医療施設の基盤整備（災害拠点病院事業（応急用資器材整備・運営協力金））,福祉保健局,災害拠点病院等の医療機関が、災害時の多数傷病者を確実に受け入れることができるように、施設整備を行う。,・運営協力金７１施設／・資器材更新７１施設分,115,・運営協力金７２施設／・資器材更新７１施設分,76
67,９－４０,医療施設の基盤整備（災害拠点病院施設整備補助）,福祉保健局,災害拠点病院等の医療機関が、災害時の多数傷病者を確実に受け入れることができるように、施設整備を行う。,・受水槽１施設／・ＮＢＣ設備１０施設,741,・備蓄倉庫１施設／・自家発電２施設／・受水槽２施設／・ＮＢＣ設備１５施設,581
68,９－４１,医療施設の基盤整備（災害拠点病院事業（医療対策拠点の整備））,福祉保健局,災害拠点病院等の医療機関が、災害時の多数傷病者を確実に受け入れることができるように、施設整備を行う。,・通信設備回線使用料１２施設,4,・通信設備回線使用料１２施設,3
69,９－４２,医療施設の基盤整備（災害拠点強靭化緊急促進事業）,福祉保健局,災害拠点病院等の医療機関が、災害時の多数傷病者を確実に受け入れることができるように、施設整備を行う。,・整備予定なし（取り下げのため）,3,・備蓄倉庫１施設／・受入関連施設１施設,21
70,９－４３,医療施設の基盤整備（災害拠点連携病院整備事業）,福祉保健局,災害拠点病院等の医療機関が、災害時の多数傷病者を確実に受け入れることができるように、施設整備を行う。,・災害拠点連携病院１５０施設,15,・災害拠点連携病院１５０施設,15
71,９－４４,医薬品・医療資器材の整備,福祉保健局,災害時における負傷者等に対する医療体制を確保するため、医薬品・医療資器材の備蓄整備を行い、円滑に供給できる体制の確保を図る。,・更新の必要なものを継続して整備（災害救助基金を活用）,108,・更新の必要なものを継続して整備（災害救助基金を活用）,48
72,９－４５,血液製剤の確保,福祉保健局,大地震が発生した場合、多くの負傷者が発生し、適切な医療を行うために血液の確保が必要となる。／東京都では、日本赤十字社等と連携して血液製剤を確保し供給を行う。,・協定の継続,-,・協定の継続,-
73,９－４６,災害時の医薬品等供給体制の整備,福祉保健局,東日本大震災被災地での、医薬品・医療資器材の供給実態及びその課題を関係者へ調査した結果を踏まえ、公益社団法人東京都薬剤師会、区市町村等、関係者との連絡会を開催し、災害医療体制について検討を重ねるなど、連携体制を強化する。／また、東京都から協定団体（関係５団体※）に対する医薬品等の供給要請、協定団体から各加盟事業者への連絡及び協定団体からの報告について、図上訓練を実施し、災害時における医薬品等の円滑な確保を図る。／※関係５団体：東京医薬品卸業協会、日本医療機器協会、日本衛生材料工業連合会、日本産業・医療ガス協会及び大東京歯科用品商協同組合,・災害時医療物資供給体制整のためのアンケートを実施,0,・アンケート又は連絡会を実施,0
74,９－４７,薬局災害対応力向上事業,福祉保健局,災害時には、薬局の早期復旧が必要であるため、薬局の災害対応力向上のための研修を実施する。,・都内全薬局を対象とした講習会を実施,4,・継続して実施,4
75,９－４８,医療機関の防災能力の向上（災害時訓練）,福祉保健局,災害拠点病院をはじめ、都内の医療機関における災害時の医療機能低下を防ぐため、平時から消防訓練、避難訓練のみならず、災害時の情報連絡体制の確保や、被災地域からの傷病者、他県からの医療スタッフ等の受入れ等を想定した各病院主催の防災訓練の実施を促進する。,・総合防災訓練１回／・図上訓練３回／・大規模地震時医療活動訓練１回,15,・総合防災訓練１回／・図上訓練４回／・大規模地震時医療活動訓練１回,19
