年次,村別,総人口,就業者総数,分類不能の産業,第一次産業,第二次産業,第三次産業,完全失業人口
30,三宅村,7131,3396,,2335,181,880,61
30,御蔵島村,337,139,,64,11,64,0
40,三宅村,5629,2246,,849,460,937,23
40,御蔵島村,243,121,,2,65,54,0
45,三宅村,4857,2184,7,654,343,1180,42
45,御蔵島村,203,109,,1,39,69,0
50,三宅村,4631,2186,12,459,369,1346,42
50,御蔵島村,177,102,,6,35,61,1
55,三宅村,4228,2115,,349,388,1378,41
55,御蔵島村,225,132,,22,49,61,2
60,三宅村,4167,2155,1,307,501,1346,23
60,御蔵島村,260,133,,16,38,78,4
02,三宅村,3911,1993,1,324,387,1281,21
02,御蔵島村,293,162,,4,69,89,3
07,三宅村,3828,2042,10,305,440,1287,37
07,御蔵島村,275,167,,0,66,101,1
12,三宅村,-,-,,-,-,-,-
12,御蔵島村,308,181,,20,66,95,0
