事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
道路上に散乱したがれきを迅速に撤去します,,,,,,1192,,1346
がれきの撤去に必要不可欠な重機類、資機材等の確保を図るとともに、関係団体とも連携し迅速な道路啓開体制を構築します,,,,,,1192,,1340
14,（５－１７）,初動体制の充実・強化,総務局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
15,９－５,道路防災ステーションの整備の推進,建設局,発災後の道路障害物除去作業等を円滑に行うため、陸橋等の高架下に資機材置場（道路防災ステーション）を整備する。,・累計５箇所整備,-,・引き続き、区部において道路防災ステーションの整備を推進していく。,-
16,９－６,応急復旧体制の強化に資する重機類情報提供サービスの導入,港湾局,道路啓開などの応急復旧に必要となる重機類の所在を日常的に把握し、災害発生時に必要な箇所に、迅速に重機類を手配できるよう、各工事現場の受注者に重機類の情報をシステム登録することを義務付け、重機類情報提供サービスで管理する。,・臨海部での同サービスの本格稼働を開始。範囲拡大に向けた関係者調整を開始,6,・引き続き、同サービスにより臨海部での重機類の情報を把握。範囲拡大に向けた関係者調整を引き続き実施,6
17,９－７,大震災発生時の交通管制対策,警視庁,停電により信号機が滅灯すると交通に与える影響が大きいことから、信号機用非常用電源設備を設置するとともに緊急交通路の確保等を支援するための防災型信号機を整備する。,・自動起動式発動発電機を３０カ所に整備／・リチウム電池内蔵型制御機１４０カ所へ整備,542,・自動起動式発動発電機を３０カ所に整備／・リチウム電池内蔵型制御機２００カ所へ整備,726
18,９－８,震災時交通規制用装備資器材等の整備,警視庁,交通規制を実施するに当たり、直ちに交通規制用資器材を使用可能とするため、これらの資器材を収納した簡易倉庫（交通規制用資器材収納倉庫）を必要な交差点直近に整備する。,・交通規制用資器材を収納した簡易倉庫を４１棟設置予定,58,・交通規制用資器材を収納した簡易倉庫を２４棟設置予定,42
19,９－９,大震災発生時の交通対策に関する広報の充実,警視庁,大震災発生時の交通規制計画を都民に広く周知するため、チラシの作成・配布に加えて、視覚効果が高く分かりやすいＤＶＤを作成・配布して広報の推進を図る。,・チラシ、ポスター等による広報を実施予定,10,・チラシ、ポスター（多言語化）等による広報を実施予定,12
20,９－１０,交通情報板の整備,警視庁,大震災発生時にドライバーに対して交通規制の内容を周知するとともに、車両利用の抑制を図るため、交通情報板を主要幹線道路に整備（更新）する。,・Ｈ２８年度は２３か所を更新予定,528,・Ｈ２９年度は２５か所を更新予定,508
21,９－１１,道路啓開用資器材等の整備,警視庁,災害における緊急交通路等の確保のため、道路障害物除去活動に必要な災害用車両及び災害用資器材の整備・充実を図る。,・車両用敷板配備１００％完了,34,・牽引車補助車３ヵ年計画,32
22,９－１２,重機運転技能の向上,警視庁,各種災害による被災者の救護、緊急交通路の確保など迅速・的確な災害応急対策活動に大きな力を発揮するフォークリフトをはじめとした重機の運転技能向上を図る。,・各種重機運転技能講習受講人員の拡充,12,・重機運転技能講習の継続実施,12
23,９－１３,防災機関との連携（警視庁と警備業協会との応援協定）,警視庁,警視庁と社団法人東京警備業協会との間において締結した災害支援協定に基づき、都内において大規模災害が発生した際に警察力を補完するため警備員の支援を受け、緊急交通路の確保等に関する交通誘導や被災地における防犯パトロール、避難場所等の警戒活動等を効果的に実施するための訓練を実施する。,・災害時支援協定に基づき、警備員約２００名が自主参集訓練、災害時における実践的訓練を実施／・東京都総合防災訓練に警備員約１００名を参加させ、会場での誘導警戒訓練を実施,2,・災害時支援協定に基づき、警備員約２００名が自主参集訓練、災害時における実践的訓練を実施／・東京都総合防災訓練に警備員約１００名を参加させ、会場での誘導警戒訓練を実施,2
