区分１,区分２,区分３,三宅村消防本部,三宅村消防本部条例定数,三宅村消防団本部,三宅村神着分団,三宅村伊豆分団,三宅村伊ヶ谷分団,三宅村阿古分団,三宅村坪田分団,三宅村計,三宅村計条例定数,御蔵島村,御蔵島村条例定数,合計,合計条例定数
団員数,,,,,4,26,12,11,37,16,106,150,35,35,141,185
消防吏員,,,9,12,,,,,,,9,12,,,9,12
ポンプ数,ガソリンポンプ,四輪駆動車,0,,,1,1,0,1,1,4,,0,,4,
ポンプ数,ガソリンポンプ,小型動力ポンプ,0,,,3,1,3,4,4,15,,5,,20,
ポンプ数,ガソリンポンプ,小型動力ポンプ付積載車,0,,,1,1,1,1,1,5,,2,,7,
ポンプ数,ガソリンポンプ,水槽付ポンプ自動車,1,,,0,0,0,0,0,1,,0,,1,
ポンプ数,ガソリンポンプ,化学消防車,0,,,0,0,0,0,0,0,,0,,0,
ポンプ数,計,,1,,,5,3,4,6,6,25,,7,,32,
消火設備,消防栓,,,,,,,,,,0,,25,,25,
消火設備,防火水槽,,,,,18,12,8,20,22,80,,5,,85,
消火設備,計,,,,,18,12,8,20,22,80,,30,,110,
