種類１,種類２,種類３,三宅村神着,三宅村神着生活と併給のもの,三宅村伊豆,三宅村伊豆生活と併給のもの,三宅村伊ヶ谷,三宅村阿古,三宅村阿古生活と併給のもの,三宅村坪田,三宅村坪田生活と併給のもの,三宅村計,三宅村計生活と併給のもの,御蔵島,御蔵島生活と併給のもの,合計,合計生活と併給のもの
生活,世帯,,3,,7,,0,14,,6,,30,,1,,31,
生活,人員,,3,,8,,0,21,,8,,40,,1,,41,
教育,世帯,,0,,0,,0,,1,,1,,2,0,,,2
教育,人員,,0,,0,,0,,3,,2,,5,0,,,5
住宅,世帯,,,2,,2,0,,11,,5,,20,0,,,20
住宅,人員,,,2,,2,0,,17,,7,,28,0,,,28
介護,世帯,,0,,,1,0,3,2,,1,3,4,0,,3,4
介護,人員,,0,,,1,0,3,2,,1,3,4,0,,3,4
医療,単給,世帯,0,,1,,0,4,,2,,7,,0,,7,
医療,単給,人員,0,,1,,0,4,,2,,7,,0,,7,
医療,その他との併給,世帯,,2,,7,0,,14,,6,,29,,1,,30
医療,その他との併給,人員,,2,,8,0,,19,,8,,37,,1,,38
就学,世帯,,0,,0,,0,,1,0,,,1,0,,,1
就学,人員,,0,,0,,0,,2,0,,,2,0,,,2
合計,世帯,,3,,8,,0,21,,8,,40,,1,,41,
合計,人員,,3,,9,,0,28,,10,,50,,1,,51,
