事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
地域特性を踏まえた災害対応を可能とする各種施設、資機材の導入を図っていきます,,,,,,5036,,6071
51,（９－５）,道路防災ステーションの整備の推進,建設局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
52,（９－６）,応急復旧体制の強化に資する重機類情報提供サービスの導入,港湾局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
53,（２－１１）,官民一体となった災害応急対策の整備,警視庁,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
54,（９－２９）,災害重機の拡充と技能向上,警視庁,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
56,（９－１５）,消防救助機動部隊の整備,東京消防庁,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
57,９－３２,水上消防体制の充実強化,東京消防庁,水上消防体制の中核を担う臨港消防署（仮庁舎）の改築を確実に進めて行くとともに、発展する港湾部や河川部等の災害に対応するため、消防艇の計画的な整備・更新、資器材の整備、消防艇の効果的な活用等により、水上消防体制の強化を図る。,・１６年度新型消防艇の製造／・消防艇「ありあけ」納品,1233,・１７年度新型消防艇の製造／・新型消防艇に係る資器材整備／・消防艇活動資器材の整備,1243
58,９－３３,警察車両・資器材の整備,警視庁,大震災をはじめとした各種災害に備え、災害用車両及び資器材の整備・充実を図り、災害時の体制強化を図る。／また、大震災発生時には、道路の損壊状況、渋滞状況などを迅速に把握し、緊急自動車専用路等を確保する必要があるが、道路の段差や亀裂、落下物などにより、通常の白バイでは視察活動に制約が生じることが予想されるため、悪路等の走破性能が非常に高いオフロードバイクを導入する。,・映像伝送システム継続管理／・２８年度単年警察署用拡声器の配備,284,・映像伝送システム継続管理／・無人ヘリ等救出救助資器材の単年度配備,260
59,９－３４,消防車両等の整備,東京消防庁,東日本大震災における被害状況及び活動状況を踏まえ、消防車両等を計画的に整備・更新し、震災時に同時多発する火災、救助、救急事象等への即応態勢を強化する。,・更新車両１７８台／・増強車両１１台整備,3408,・更新車両１８７台／・増強車両２台整備,4378
60,９－３５,大規模災害対策等資器材の充実,東京消防庁,大規模震災時には、様々な災害が複合的に発生することが考えられ、被害軽減のため火災や救助に加え、ＮＢＣ災害等の特殊災害への対応強化を図るため、大規模震災対策資器材を充実させる。※ＮＢＣ災害：東京消防庁では、核（Ｎｕｃｌｅａｒ）・生物剤（Ｂｉｏｌｏｇｉｃａｌ）・化学剤（Ｃｈｅｍｉｃａｌ）による意図的災害（テロ）などと、放射性同位元素、感染症の病原体、毒物・劇物、高圧ガス取扱施設における火災、漏えいなどの意図的でない災害を総称してＮＢＣ災害としている。,・消防隊用可搬ポンプ、テント等の更新／・早期部隊投入等支援装置の整備／・衛星携帯電話の維持管理／・山間地災害対策用衛星携帯電話の更新,88,・消防隊用可搬ポンプ、テント等の更新／・早期部隊投入等支援装置の整備／・衛星携帯電話の維持管理／・山間地災害対策用衛星携帯電話の更新,90
61,９－３６,救助活動体制の充実強化,東京消防庁,１１年に発生した東日本大震災を踏まえ、都の被害想定が見直され、震災時の揺れによる建物倒壊等で死者数が約２倍に増加することが想定結果として示されたことから、救助器具の増強整備、新たな救助訓練等の実施を通して、震災時の迅速な救助体制の充実を図る。,・１５年度に引き続き資器材を配置し、各種訓練を実施／・エレベーター研修、孤立地区における救助訓練を実施,23,・１６年度に引き続き資器材を配置し、各種訓練を実施／・エレベーター研修、孤立地区における救助訓練を実施,23
62,９－５７,震災時における消防活動体制の充実強化,東京消防庁,大規模火災時において狭隘道路や道路閉塞の状況においても機動的に運用できる大量放水資器材や、倒壊建物の安全確保を図る救助用支柱等、大規模震災時における活動資器材を整備する。また、共助により救出活動を行う住民の感染防護措置や、ライフラインが長期間停止した場合における消防部隊の燃料補給体制の継続に必要な資器材を整備する。／さらに、後方支援体制（ロジスティックス）確立に向け、国内の他機関や外国の消防機関等における先進例、過去の災害事例、関係文献、知見、研究結果及び最新の技術等の調査を行う。調査結果を踏まえ、現行体制の課題を整理し、東京消防庁版ロジスティックスを確立する。,・震災訓練により、大量送水装置の有用性について検証,-,・大量放水資器材の整備／・救助用支柱の整備／・大規模災害用感染防止キットの整備／・緊急用バッテリー式計量機の整備／・大規模災害時のロジスティックス確立に向けた調査,77
