年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成25,2013,総数,Total,,,406.8,373,32744315,20572638,12171675
平成26,2014,総数,Total,,,406.8,373,32627385,20465914,12161471
平成27,2015,総数,Total,,,406.8,373,33388283,20959882,12428401
平成28,2016,総数,Total,,,406.8,373,33780108,21255283,12524827
平成29,2017,総数,Total,,,406.8,373,34327818,21611883,12715934
平成29,2017,小田急電鉄,Odakyu Electric Railway,,,26.5,23,4965102,3173999,1791103
平成29,2017,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,4846946,3092869,1754077
平成29,2017,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,118156,81130,37026
平成29,2017,西武鉄道,Seibu Railway,,,93.4,71,6994486,4693878,2300608
平成29,2017,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,3285765,2187921,1097844
平成29,2017,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,130310,84991,45319
平成29,2017,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,5101,2722,2379
平成29,2017,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,241,59,182
平成29,2017,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2897350,1975247,922103
平成29,2017,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,342778,225442,117336
平成29,2017,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,3247,1673,1574
平成29,2017,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,190626,131485,59141
平成29,2017,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,78508,45344,33164
平成29,2017,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,60560,38994,21566
平成29,2017,東京急行電鉄,Tokyu Corporation,,,60,75,6008612,3870191,2138420
平成29,2017,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1835286,1107249,728037
平成29,2017,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,559776,366038,193739
