年度末,End of fiscal year,車両数 No. of Vehicles Registered,対人賠償 Bodily Injury Liability／付保台数 No. of Vehicles Insured,対人賠償 Bodily Injury Liability／普及率 Diffusion Rate (%),対物賠償 Property Damage Liability／付保台数 No. of Vehicles Insured,対物賠償 Property Damage Liability／普及率 Diffusion Rate (%),搭乗者傷害 Passengers' Personal Accident／付保台数 No. of Vehicles Insured,搭乗者傷害 Passengers' Personal Accident／普及率 Diffusion Rate (%),車両 Damage to Own Vehicle／付保台数 No. of Vehicles Insured,車両 Damage to Own Vehicle／普及率 Diffusion Rate (%)
平成24,2012,4408801,3440396,78,3451706,78.3,2019714,45.8,1947664,44.2
平成25,2013,4415951,3430115,77.7,3443186,78,1940706,43.9,1949203,44.1
平成26,2014,4413094,3440512,78,3453019,78.2,1637996,37.1,1951328,44.2
平成27,2015,4413157,3438865,77.9,3451775,78.2,1459251,33.1,1955044,44.3
平成28,2016,4419010,3448451,78,3461643,78.3,1396074,31.6,1966645,44.5
,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　15  金融 15  FINANCE,,,,,,,,,,
15-5  火災及び自動車保険等状況 (2) 自動車保険 ｂ任意自動車保険普及率 (平成24～28年度末) 15-5  FIRE AND AUTOMOBILE INSURANCE (2) AUTOMOBILE  INSURANCE b DIFFUSION RATE OF VOLUNTARY AUTOMOBILE INSURANCE ( End of Fiscal Years 2012-2016 ),,,,,,,,,,
資料：損害保険料率算出機構 「自動車保険の概況」 Source: General Insurance Rating Organization of Japan,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
