地域階層,地域コード,項番 Item number,地域,District,マーク Mark,総数 Total,交通事故 Traffic accidents,火災事故 Fire accidents,運動競技事故 Sports accidents,自然災害事故 Natural disasters accidents,水難事故 Drowning accidents,労働災害事故 Labor accidents,一般負傷 General injuries,自損行為 Self-inflicted injuries,加害 Assault,急病 Acute illness,転院搬送 Transported to a different hospital,医師搬送 Doctor transport,資器材等輸送 Transport of equipment， etc.,その他 Other responses
0,13000,,総数,Tokyo-to,,785184,50604,3274,5330,18,876,4965,138645,5023,6924,515466,44647,190,542,8680
1,13100,,区部,All ku,,577380,35810,2442,3550,13,689,3817,101766,3543,5645,381534,31370,169,415,6617
2,13101,1,千代田区,Chiyoda-ku,,14339,926,55,90,-,4,198,2784,42,144,9287,654,-,14,141
2,13102,2,中央区,Chuo-ku,,13825,1097,63,58,-,18,227,2267,66,144,9095,630,-,-,160
2,13103,3,港区,Minato-ku,,23279,1631,128,130,-,15,267,4204,104,353,15334,879,-,2,232
2,13104,4,新宿区,Shinjuku-ku,,33786,1579,164,243,-,8,236,6106,236,594,22389,1748,-,8,475
2,13105,5,文京区,Bunkyo-ku,,12164,651,57,121,-,5,72,2085,54,58,7379,1554,2,14,112
2,13106,6,台東区,Taito-ku,,18607,1076,98,50,1,18,123,3640,110,293,12309,630,-,-,259
2,13107,7,墨田区,Sumida-ku,,17116,1070,54,89,1,33,111,2865,113,165,11197,1206,-,11,201
2,13108,8,江東区,Koto-ku,,29390,1922,125,278,2,43,305,4793,188,261,19371,1595,121,21,365
2,13109,9,品川区,Shinagawa-ku ,,22103,1146,93,126,-,33,154,4125,78,163,14945,1005,-,2,233
2,13110,10,目黒区,Meguro-ku,,13617,963,53,98,-,11,71,2598,86,94,8759,750,2,24,108
2,13111,11,大田区,Ota-ku ,,39787,2559,159,214,1,70,301,7130,183,313,26311,2097,14,15,420
2,13112,12,世田谷区,Setagaya-ku,,42849,2989,178,387,8,35,240,8028,248,292,27697,2284,11,63,389
2,13113,13,渋谷区,Shibuya-ku,,20360,1207,88,175,-,10,222,3567,104,342,13413,970,13,27,222
2,13114,14,中野区,Nakano-ku,,17865,895,92,73,-,23,87,3101,130,133,12208,850,-,19,254
2,13115,15,杉並区,Suginami-ku,,26747,1668,109,168,-,26,101,5043,162,194,17732,1091,2,46,405
2,13116,16,豊島区,Toshima-ku,,21345,1022,107,117,-,4,124,3972,129,339,14281,909,1,7,333
2,13117,17,北区,Kita-ku,,21680,1075,87,115,-,16,72,3852,120,231,14611,1248,-,1,252
2,13118,18,荒川区,Arakawa-ku ,,13148,618,47,41,-,20,56,2200,108,106,8734,1053,3,27,135
2,13119,19,板橋区,Itabashi-ku,,31994,1935,135,158,-,23,144,5235,215,250,21438,2045,-,34,382
2,13120,20,練馬区,Nerima-ku,,35639,2295,129,173,-,31,132,6006,267,179,24110,1908,-,17,392
2,13121,21,足立区,Adachi-ku,,42956,3186,188,217,-,70,247,6999,316,406,27980,2876,-,39,432
2,13122,22,葛飾区,Katsushika-ku,,27855,1818,106,190,-,79,130,4824,171,225,18173,1895,-,11,233
2,13123,23,江戸川区,Edogawa-ku ,,36929,2482,127,239,-,94,197,6342,313,366,24781,1493,-,13,482
3,,,消防事務受託地区,Entrusted districts,,207536,14742,827,1780,5,184,1148,36875,1480,1278,133928,13085,16,127,2061
3,,,その他,Others,※,268,52,5,-,-,3,-,4,-,1,4,192,5,-,2
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-19  地域別種類別救急件数 （平成29年） 20-19  EMERGENCY CASES BY DISTRICT AND KIND ( 2017 ),,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.,,,,,,,,,,,,,,,,,,,,
注) ※東京消防庁管轄区域以外の地域をいう。,,,,,,,,,,,,,,,,,,,,
Note: ※Districts outside the jurisdiction of the Tokyo Fire Department.,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区･その他),,,,,,,,,,,,,,,,,,,,
