年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成25,2013,0,13000,東京都,Tokyo-to,1915,948,967,193757,96850,96907,193150,95318,97832
平成26,2014,0,13000,東京都,Tokyo-to,2019,935,1084,203170,96036,107134,202008,95034,106974
平成27,2015,0,13000,東京都,Tokyo-to,2184,914,1270,216699,94584,122115,213259,93796,119463
平成28,2016,0,13000,東京都,Tokyo-to,2342,901,1441,230334,94154,136180,225334,92958,132376
平成29,2017,0,13000,東京都,Tokyo-to,2558,892,1666,247105,93188,153917,239709,92192,147517
平成29,2017,1,13100,区部,All ku,1764,716,1048,167718,75792,91926,161486,75204,86282
平成29,2017,2,13101,千代田区,Chiyoda-ku,14,6,8,1242,507,735,1139,529,610
平成29,2017,2,13102,中央区,Chuo-ku,46,16,30,4045,1708,2337,3718,1691,2027
平成29,2017,2,13103,港区,Minato-ku,53,20,33,4998,2891,2107,4671,2766,1905
平成29,2017,2,13104,新宿区,Shinjuku-ku,55,18,37,5876,2242,3634,5190,2128,3062
平成29,2017,2,13105,文京区,Bunkyo-ku,56,20,36,4165,1910,2255,3986,1891,2095
平成29,2017,2,13106,台東区,Taito-ku,31,13,18,2615,1273,1342,2536,1230,1306
平成29,2017,2,13107,墨田区,Sumida-ku,56,25,31,5166,2631,2535,4905,2472,2433
平成29,2017,2,13108,江東区,Koto-ku,111,44,67,11356,4542,6814,10890,4426,6464
平成29,2017,2,13109,品川区,Shinagawa-ku,93,46,47,8415,4672,3743,8330,4926,3404
平成29,2017,2,13110,目黒区,Meguro-ku,45,21,24,4011,2223,1788,3870,2200,1670
平成29,2017,2,13111,大田区,Ota-ku,117,45,72,11455,5371,6084,11190,5307,5883
平成29,2017,2,13112,世田谷区,Setagaya-ku,156,49,107,14392,4771,9621,13939,5105,8834
平成29,2017,2,13113,渋谷区,Shibuya-ku,43,18,25,4063,1679,2384,3823,1643,2180
平成29,2017,2,13114,中野区,Nakano-ku,53,20,33,4798,1878,2920,4624,1887,2737
平成29,2017,2,13115,杉並区,Suginami-ku,101,44,57,9252,4138,5114,8482,4118,4364
平成29,2017,2,13116,豊島区,Toshima-ku,60,21,39,5009,2241,2768,4762,2326,2436
平成29,2017,2,13117,北区,Kita-ku,75,43,32,6776,4526,2250,6964,4535,2429
平成29,2017,2,13118,荒川区,Arakawa-ku,45,22,23,4935,2600,2335,4922,2721,2201
平成29,2017,2,13119,板橋区,Itabashi-ku,116,40,76,10590,3820,6770,10374,3733,6641
平成29,2017,2,13120,練馬区,Nerima-ku,136,60,76,12959,6621,6338,12746,6464,6282
平成29,2017,2,13121,足立区,Adachi-ku,108,46,62,10688,4753,5935,10304,4577,5727
平成29,2017,2,13122,葛飾区,Katsushika-ku,99,43,56,9989,4842,5147,9552,4684,4868
平成29,2017,2,13123,江戸川区,Edogawa-ku,95,36,59,10923,3953,6970,10569,3845,6724
平成29,2017,1,13200,市部,All shi,764,161,603,76960,16200,60760,76156,16129,60027
平成29,2017,2,13201,八王子市,Hachioji-shi,100,16,84,10754,1430,9324,10888,1472,9416
平成29,2017,2,13202,立川市,Tachikawa-shi,33,8,25,3597,863,2734,3596,747,2849
平成29,2017,2,13203,武蔵野市,Musashino-shi,21,4,17,1963,402,1561,1986,440,1546
平成29,2017,2,13204,三鷹市,Mitaka-shi,37,13,24,3186,1176,2010,3128,1211,1917
平成29,2017,2,13205,青梅市,Ome-shi,30,-,30,3225,-,3225,3074,-,3074
平成29,2017,2,13206,府中市,Fuchu-shi,47,15,32,4944,1570,3374,4885,1586,3299
平成29,2017,2,13207,昭島市,Akishima-shi,22,-,22,2657,-,2657,2606,4,2602
平成29,2017,2,13208,調布市,Chofu-shi,54,12,42,4634,1175,3459,4621,1196,3425
平成29,2017,2,13209,町田市,Machida-shi,72,5,67,6591,527,6064,6527,508,6019
平成29,2017,2,13210,小金井市,Koganei-shi,20,5,15,1973,592,1381,1909,575,1334
平成29,2017,2,13211,小平市,Kodaira-shi,42,9,33,3467,1046,2421,3283,1070,2213
平成29,2017,2,13212,日野市,Hino-shi,32,11,21,3206,1135,2071,3299,1116,2183
平成29,2017,2,13213,東村山市,Higashimurayama-shi,21,7,14,2161,710,1451,2294,761,1533
平成29,2017,2,13214,国分寺市,Kokubunji-shi,29,5,24,2614,575,2039,2416,564,1852
平成29,2017,2,13215,国立市,Kunitachi-shi,14,4,10,1270,424,846,1333,420,913
平成29,2017,2,13218,福生市,Fussa-shi,14,-,14,1331,-,1331,1337,-,1337
平成29,2017,2,13219,狛江市,Komae-shi,17,4,13,1559,439,1120,1461,440,1021
平成29,2017,2,13220,東大和市,Higashiyamato-shi,16,1,15,1928,105,1823,1926,94,1832
平成29,2017,2,13221,清瀬市,Kiyose-shi,15,6,9,1355,416,939,1287,373,914
