年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
平成25,2013,歳入,Revenue,総数,Total,6264000,6404744,6130261
平成26,2014,歳入,Revenue,総数,Total,6666708,6789403,6546693
平成27,2015,歳入,Revenue,総数,Total,6952000,7201711,6913752
平成28,2016,歳入,Revenue,総数,Total,7011000,7048794,6779695
平成29,2017,歳入,Revenue,総数,Total,6954000,7226993,6964118
平成29,2017,歳入,Revenue,都税,Metropolitan taxes,5091112,5223757,5273012
平成29,2017,歳入,Revenue,地方譲与税,Local transfer tax,234569,242491,245133
平成29,2017,歳入,Revenue,助成交付金,Subsidies and grants,30,30,30
平成29,2017,歳入,Revenue,地方特例交付金,Special local grants,5405,5405,5219
平成29,2017,歳入,Revenue,特別交付金,Special grants,3108,3108,2817
平成29,2017,歳入,Revenue,分担金及負担金,Beneficiary contribution,15188,15455,10758
平成29,2017,歳入,Revenue,使用料及手数料,Charges and fees,88911,88911,83835
平成29,2017,歳入,Revenue,国庫支出金,National treasury disbursements,385358,406335,365067
平成29,2017,歳入,Revenue,財産収入,Revenue from property,47942,48484,49608
平成29,2017,歳入,Revenue,寄附金,Contributions,61,61,38
平成29,2017,歳入,Revenue,繰入金,Funds transferred,380655,367986,120657
平成29,2017,歳入,Revenue,諸収入,Miscellaneous,403410,403230,514521
平成29,2017,歳入,Revenue,都債,Metropolitan bonds,298250,240923,112606
平成29,2017,歳入,Revenue,繰越金,Balance brought forward,1,180818,180818
平成25,2013,歳出,Expenditure,総数,Total,6264000,6404744,6049866
平成26,2014,歳出,Expenditure,総数,Total,6666708,6789403,6403918
平成27,2015,歳出,Expenditure,総数,Total,6952000,7201711,6787125
平成28,2016,歳出,Expenditure,総数,Total,7011000,7048794,6598877
平成29,2017,歳出,Expenditure,総数,Total,6954000,7226993,6693202
平成29,2017,歳出,Expenditure,議会費,Metropolitan assembly,6202,5623,4945
平成29,2017,歳出,Expenditure,総務費,General services,187749,193358,176108
平成29,2017,歳出,Expenditure,徴税費,Tax collection,68948,68212,65819
平成29,2017,歳出,Expenditure,生活文化費,Citizens and cultural affairs,26123,25987,23793
平成29,2017,歳出,Expenditure,スポーツ振興費,Sports promotion,64668,69913,50392
平成29,2017,歳出,Expenditure,都市整備費,Urban development,143533,136800,117230
平成29,2017,歳出,Expenditure,環境費,Environmental protection,40682,40322,34474
平成29,2017,歳出,Expenditure,福祉保健費,Welfare and public health,1162821,1127407,1062552
平成29,2017,歳出,Expenditure,産業労働費,Industry and labor ,472902,474047,375945
平成29,2017,歳出,Expenditure,土木費,Civil engineering works,590883,564541,401491
平成29,2017,歳出,Expenditure,港湾費,Port and harbor,118601,124113,100795
平成29,2017,歳出,Expenditure,教育費,Education,809200,800659,773657
平成29,2017,歳出,Expenditure,学務費,School affairs,206909,206909,193114
平成29,2017,歳出,Expenditure,警察費,Police,646567,642786,624521
平成29,2017,歳出,Expenditure,消防費,Fire fighting,249101,248137,244146
平成29,2017,歳出,Expenditure,公債費,Debt services,500176,511716,511672
平成29,2017,歳出,Expenditure,諸支出金,Miscellaneous,1653935,1981463,1932546
平成29,2017,歳出,Expenditure,予備費,Reserve funds,5000,5000,-
,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成25～29年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2013-2017 ),,,,,,,,
注．1) 最終予算額は， 前年度からの繰越額を含む。,,,,,,,,
Note.1) The final budget includes the account brought from the previous fiscal year.,,,,,,,,
注．2) 歳出における予備費の決算額は各款への充当額の合計であり， 再掲である。,,,,,,,,
Note.2) Number in parenthesis refer to appropriation for other items.　　,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
