年度末,End of fiscal year,地域階層,地区コード,地域,District,終末処理場数 Sewerage treatment plants,ポンプ所数 Pumping stations,事務所数 Sewerage offices,下水道暗きょ Sewer pipes／総数 Total (m),下水道暗きょ Sewer pipes／幹線 Trunk sewers (m),下水道暗きょ Sewer pipes／枝線 Branch sewers (m),マンホール数 (個) Manholes,汚水枡数 (個) Sewage basins
平成27,2015,0,13000,総数,Tokyo-to,20,86,8,16262099,1330657,14931441,485288,1925686
平成28,2016,0,13000,総数,Tokyo-to,20,86,8,16292813,1335749,14957064,485964,1932891
平成29,2017,0,13000,総数,Tokyo-to,20,85,8,16326002,1337360,14988642,486931,1941030
平成29,2017,1,13100,区部,All ku,13,83,7,16093812,1105170,14988642,485701,1941030
平成29,2017,2,13101,千代田区,Chiyoda-ku,-,1,1,292427,37441,254986,6694,26367
平成29,2017,2,13102,中央区,Chuo-ku,-,7,-,321032,26959,294073,7010,28029
平成29,2017,2,13103,港　区,Minato-ku,1,4,-,466417,56733,409684,11478,41073
平成29,2017,2,13104,新宿区,Shinjuku-ku,1,-,-,488134,34622,453512,14311,62753
平成29,2017,2,13105,文京区,Bunkyo-ku,-,2,-,320045,47950,272095,8819,38704
平成29,2017,2,13106,台東区,Taito-ku,-,2,1,374175,44918,329257,8755,44667
平成29,2017,2,13107,墨田区,Sumida-ku,-,5,-,371091,26915,344176,10375,50221
平成29,2017,2,13108,江東区,Koto-ku,2,20,1,743579,46182,697397,16968,54452
平成29,2017,2,13109,品川区,Shinagawa-ku,-,7,-,450776,34455,416321,13263,68738
平成29,2017,2,13110,目黒区,Meguro-ku,-,-,-,353665,22750,330915,12033,60127
平成29,2017,2,13111,大田区,Ota-ku,1,10,1,1206117,83002,1123115,35832,158688
平成29,2017,2,13112,世田谷区,Setagaya-ku,-,-,-,1599661,105462,1494199,52416,200198
平成29,2017,2,13113,渋谷区,Shibuya-ku,-,-,-,312808,15749,297059,10376,52505
平成29,2017,2,13114,中野区,Nakano-ku,1,-,1,439332,30115,409217,14147,75720
平成29,2017,2,13115,杉並区,Suginami-ku,-,-,-,818056,41911,776145,24452,116769
平成29,2017,2,13116,豊島区,Toshima-ku,-,-,-,397711,27997,369714,13974,69298
平成29,2017,2,13117,北　区,Kita-ku,1,2,1,474150,27613,446537,13987,68277
平成29,2017,2,13118,荒川区,Arakawa-ku,1,3,-,314946,35522,279424,8435,45670
平成29,2017,2,13119,板橋区,Itabashi-ku,1,1,-,800889,63883,737006,26175,107706
平成29,2017,2,13120,練馬区,Nerima-ku,-,-,-,1287220,66220,1221000,43090,160039
平成29,2017,2,13121,足立区,Adachi-ku,2,6,-,2113911,109349,2004562,64705,158483
平成29,2017,2,13122,葛飾区,Katsushika-ku,1,7,1,1020940,53348,967592,33658,117107
平成29,2017,2,13123,江戸川区,Edogawa-ku,1,6,-,1126730,66074,1060656,34748,135439
平成29,2017,2,,流域下水道,a),7,2,1,232190,232190,-,1230,-
,,,,,,,,,,,,,
6-8  地域別下水道施設及び付属設備 （平成27～29年度末） ,,,,,,,,,,,,,
6-8  SEWERAGE FACILITIES AND EQUIPMENT BY DISTRICT ,,,,,,,,,,,,,
( End of Fiscal Years 2015-2017 ) ,,,,,,,,,,,,,
"この表は都下水道局の事業実績である。              　　Data here are business figures of the Bureau of Sewerage,TMG.",,,,,,,,,,,,,
"資料：都下水道局総務部広報サービス課      Source: Bureau of Sewerage,TMG",,,,,,,,,,,,,
