区分階層,区分,Section,総数 Total,事務 Administrative employees,技術 Technically skilled employees,医療福祉 Health and welfare employees,技能労務 Public field worker
0,総数,Total,38315,14522,8871,8619,6303
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,24325,10961,4279,8592,493
2,政策企画局,Office of the Governor for Policy Planning,120,117,3,-,-
2,総務局,Bureau of General Affairs,2455,2232,190,1,32
2,財務局,Bureau of Finance,437,253,177,-,7
2,主税局,Bureau of Taxation,2914,2913,1,-,-
2,生活文化局　　　　　,Bureau of Citizens and Cultural affairs      ,395,332,61,-,2
2,オリンピック・パラリンピック準備局,Bureau of Tokyo 2020 Olympic and Paralympic Games Preparation,257,217,40,-,-
2,都市整備局,Bureau of Urban Development          ,1145,468,677,-,-
2,環境局,Bureau of Environment,476,238,233,-,5
2,福祉保健局,Bureau of Social Welfare and Public Health,4149,1465,465,2156,63
2,産業労働局,Bureau of Industrial and Labor Affairs ,1247,728,478,10,31
2,建設局,Bureau of Construction,2411,899,1479,-,33
2,港湾局,Bureau of Port and Harbor,639,255,342,-,42
2,会計管理局,Bureau of Accounting,113,113,-,-,-
2,青少年･治安対策本部,Office for Youth Affairs and Public Safety,44,43,1,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6831,388,6,6425,12
2,中央卸売市場,Central Wholesale Market,624,234,124,-,266
2,収用委員会,Secretariat to Expropriation Commission,30,28,2,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
2,公営企業体,Public Enterprises,12990,2660,4537,5,5788
2,交通局,Bureau of Transportation,6608,617,568,5,5418
1,水道局,Bureau of Waterworks,3863,1572,2014,-,277
2,下水道局,Bureau of Sewerage,2519,471,1955,-,93
2,行政委員会事務局,Executive Offices of Administrative Commission ,852,775,55,22,-
2,教育委員会,Board of Education ,670,619,29,22,-
1,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,63,56,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (平成29年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) TOKYO METROPOLITAN GOVERNMENT ( Apr. 1， 2017 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
