年次,Year,地域階層,地域コード,地域,District,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成27,2015,0,13000,総数,Tokyo-to,,,,22075,17461,19226,2808,6500,7275,1488,1155,67,69476,23273,7028,3537,331,23648,9901,1758,44484,282275,176673
平成28,2016,0,13000,総数,Tokyo-to,,,,21980,17078,18958,2641,6028,7231,1703,1355,89,69978,23270,7245,3463,319,23557,10496,1628,43607,284536,173731
平成29,2017,0,13000,総数,Tokyo-to,,,,21984,16829,18568,2657,5892,6907,1618,1494,45,69402,22870,7250,3328,304,23226,11100,1324,41957,281640,168130
平成29,2017,1,13100,区部,All ku,,,,14961,11240,12468,1759,3914,4556,1163,1076,42,48745,15616,6163,2333,260,15749,7791,833,28536,200187,115405
平成29,2017,2,13101,千代田区,Chiyoda-ku,1,丸の内署,Marunouchi F. Sta.,60,41,50,11,11,23,1,4,-,217,94,18,1,3,69,27,5,142,905,591
平成29,2017,2,13101,千代田区,Chiyoda-ku,2,麹町署,Kojimachi F. Sta．,106,91,119,22,18,66,10,3,-,350,136,29,-,28,117,38,2,258,1404,1016
平成29,2017,2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda F. Sta.,115,91,112,12,33,50,10,7,-,403,155,51,-,1,131,55,10,275,1731,1168
平成29,2017,2,13102,中央区,Chuo-ku,4,京橋署,Kyobashi F. Sta.,150,115,135,15,42,62,12,4,-,465,130,48,52,1,169,65,-,285,1938,1175
平成29,2017,2,13102,中央区,Chuo-ku,5,日本橋署,Nihonbashi F. Sta.,193,162,209,14,48,123,16,8,-,577,234,46,7,2,214,59,15,422,2361,1713
平成29,2017,2,13102,中央区,Chuo-ku,6,臨港署,Rinko F. Sta.,132,99,70,8,17,17,13,15,-,592,93,68,79,5,147,102,98,329,2668,1472
平成29,2017,2,13103,港区,Minato-ku,7,芝署,Shiba F. Sta.,264,202,241,29,50,126,29,7,-,826,271,90,45,3,290,117,10,515,3526,2183
平成29,2017,2,13103,港区,Minato-ku,8,麻布署,Azabu F. Sta.,136,96,126,15,27,60,20,4,-,446,179,50,1,4,151,60,1,242,1829,991
