年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ･ hotel,飲食店 Eateries／バー・キャバレー Bars ･ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成25,2013,0,13000,,東京都,Tokyo-to,191411,1828,9752,138755,33,5060,5664,1674,7032,8297,13316,2207,22094,28423,14230,14877,29349,20469,27336,13369
平成26,2014,0,13000,,東京都,Tokyo-to,191781,1806,9902,138770,31,4859,5481,1665,6894,8307,14066,2355,20895,27994,14511,15187,29542,20587,27571,13494
平成27,2015,0,13000,,東京都,Tokyo-to,191591,1788,9894,138618,28,4696,5240,1640,6777,8211,14699,2487,20151,27298,14574,15196,29060,20679,27693,13594
平成28,2016,0,13000,,東京都,Tokyo-to,192182,1809,9999,138807,28,4560,5039,1614,6770,8109,15447,2590,18992,26786,14625,15274,29244,20704,27734,13615
平成29,2017,0,13000,,東京都,Tokyo-to,192469,1878,9860,139068,26,4492,4861,1619,6765,8074,15826,2676,17598,26209,14791,15376,29416,20621,27721,13614
平成29,2017,1,13100,,区部,All ku,157731,1181,8832,115648,26,3669,3981,1212,5090,6450,11642,2134,13981,19656,11233,11900,22646,13451,19882,8192
平成29,2017,2,13101,1,千代田区,Chiyoda-ku,8710,74,142,6745,-,173,308,14,207,385,662,168,1809,1234,415,414,1731,191,650,145
平成29,2017,2,13102,2,中央区,Chuo-ku,11582,124,2024,7571,1,464,256,36,228,218,660,301,1191,893,564,1524,1572,293,715,172
平成29,2017,2,13103,3,港区,Minato-ku,15859,82,955,12440,2,387,285,55,200,531,922,165,2116,1507,709,647,1922,429,475,425
平成29,2017,2,13104,4,新宿区,Shinjuku-ku,14524,141,1625,11338,-,233,205,59,109,164,650,114,839,1121,634,616,1392,601,1304,290
平成29,2017,2,13105,5,文京区,Bunkyo-ku,3546,34,70,2770,2,82,118,36,130,71,233,45,336,539,237,239,599,313,492,169
平成29,2017,2,13106,6,台東区,Taito-ku,7928,217,402,5548,5,188,216,38,196,232,886,123,403,586,393,372,797,635,1108,263
平成29,2017,2,13107,7,墨田区,Sumida-ku,4725,44,442,3090,6,99,147,52,178,185,482,66,240,528,365,353,657,1269,1120,533
平成29,2017,2,13108,8,江東区,Koto-ku,5798,20,37,4284,1,117,137,69,272,201,660,77,933,1087,577,574,1185,559,873,400
平成29,2017,2,13109,9,品川区,Shinagawa-ku,6022,55,319,4102,3,165,184,55,168,450,521,46,829,879,461,441,865,689,623,599
平成29,2017,2,13110,10,目黒区,Meguro-ku,4009,11,97,3012,-,101,96,48,115,222,307,80,226,459,253,233,510,132,385,104
平成29,2017,2,13111,11,大田区,Ota-ku,7765,55,219,5387,-,172,204,78,415,339,896,75,804,1458,800,873,1572,631,990,745
平成29,2017,2,13112,12,世田谷区,Setagaya-ku,8278,6,38,6352,-,178,224,107,350,364,659,128,443,1213,743,723,1350,1122,2047,613
