地域,District,平成15年 2003,平成16年 2004,平成17年 2005,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,平成26年 2014,平成27年 2015,平成28年 2016,平成29年 2017
総数,Total,553,556,549,537,525,512,488,471,440,461,443,433,425,410,380
区部,All ku,45,44,43,42,43,41,39,39,37,39,40,38,37,36,34
多摩地区,Tama area,509,512,505,495,482,471,449,433,404,423,403,395,388,374,346
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,
19-13  地下水揚水量の推移 (平成15～平成29年) 19-13  CHANGES IN QUANTITY OF PUMPED UNDERGROUND WATER ( 2003-2017 ）,,,,,,,,,,,,,,,,
注 1) 条例で定める揚水施設（原則、動力を用いる全て。ただし、平成28年6月30日以前に設置された揚水施設は出力が300ワットを超える）が対象。,,,,,,,,,,,,,,,,
2) 一日平均地下水揚水量は，年間の地下水揚水量を暦日数で割った値。,,,,,,,,,,,,,,,,
"Note: 1) In principle, figures cover all powered groundwater pumping facilities regulated by Tokyo metropolitan ordinance (for pumping systems installed prior to June 30, 2016, only those with a power output exceeding 300 Watts are included.)",,,,,,,,,,,,,,,,
2) The average daily amount of underground water pumped is calculated by dividing the yearly amount of pumped groundwater by the number of days in that year.,,,,,,,,,,,,,,,,
資料：都環境局自然環境部水環境課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,,
 (単位  千m3／日）(Unit: 1000m3/day),,,,,,,,,,,,,,,,
