年度末,End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2),終末処理場数 Number of sewage treatment plants,普及率 (B/A) Sewerage system coverage (%),,,
平成27,2015,0,13000,総数,Tokyo-to,13435570,13393002,109750,105770,13392253,109750,105563,7,27,100,,,
平成28,2016,0,13000,総数,Tokyo-to,13546703,13506971,109750,105821,13506368,109750,105715,7,27,100,,,
平成29,2017,0,13000,総数,Tokyo-to,13644816,13606115,109767,105927,13605999,109767,105820,7,27,100,,,
平成29,2017,1,13100,区部,All ku,9426273,9416840,56375,56227,9416840,56375,56227,-,13,100,,,
平成29,2017,2,13101,千代田区,Chiyoda-ku,61875,61875,1102,1102,61875,1102,1102,-,-,100,,,
平成29,2017,2,13102,中央区,Chuo-ku,159075,159075,903,903,159075,903,903,-,-,100,,,
平成29,2017,2,13103,港区,Minato-ku,255320,255134,1986,1970,255134,1986,1970,-,1,100,,,
平成29,2017,2,13104,新宿区,Shinjuku-ku,342867,342867,1798,1798,342867,1798,1798,-,1,100,,,
平成29,2017,2,13105,文京区,Bunkyo-ku,218180,218180,1138,1138,218180,1138,1138,-,-,100,,,
平成29,2017,2,13106,台東区,Taito-ku,197080,197080,856,856,197080,856,856,-,-,100,,,
平成29,2017,2,13107,墨田区,Sumida-ku,269815,269815,1195,1195,269815,1195,1195,-,-,100,,,
平成29,2017,2,13108,江東区,Koto-ku,514532,512921,3432,3396,512921,3432,3396,-,2,100,,,
平成29,2017,2,13109,品川区,Shinagawa-ku,390397,390027,2051,2045,390027,2051,2045,-,-,100,,,
平成29,2017,2,13110,目黒区,Meguro-ku,277803,277803,1440,1440,277803,1440,1440,-,-,100,,,
平成29,2017,2,13111,大田区,Ota-ku,726191,725865,4804,4798,725865,4804,4798,-,1,100,,,
平成29,2017,2,13112,世田谷区,Setagaya-ku,903613,903113,5726,5708,903113,5726,5708,-,-,100,,,
平成29,2017,2,13113,渋谷区,Shibuya-ku,225717,225717,1511,1511,225717,1511,1511,-,-,100,,,
平成29,2017,2,13114,中野区,Nakano-ku,329577,329577,1566,1566,329577,1566,1566,-,1,100,,,
平成29,2017,2,13115,杉並区,Suginami-ku,566551,566220,3338,3332,566220,3338,3332,-,-,100,,,
平成29,2017,2,13116,豊島区,Toshima-ku,287623,287623,1299,1299,287623,1299,1299,-,-,100,,,
平成29,2017,2,13117,北区,Kita-ku,349056,349056,1836,1836,349056,1836,1836,-,1,100,,,
平成29,2017,2,13118,荒川区,Arakawa-ku,214603,214603,887,887,214603,887,887,-,1,100,,,
平成29,2017,2,13119,板橋区,Itabashi-ku,563087,563015,2997,2994,563015,2997,2994,-,1,100,,,
平成29,2017,2,13120,練馬区,Nerima-ku,729933,729694,4684,4677,729694,4684,4677,-,-,100,,,
平成29,2017,2,13121,足立区,Adachi-ku,686619,683186,4787,4778,683186,4787,4778,-,2,100,,,
平成29,2017,2,13122,葛飾区,Katsushika-ku,461060,459835,2996,2961,459835,2996,2961,-,1,100,,,
平成29,2017,2,13123,江戸川区,Edogawa-ku,695699,694559,4043,4037,694559,4043,4037,-,1,100,,,
平成29,2017,1,13200,市部,All shi,4158087,4131137,51375,47993.53,4131137,51375,47909.53,7,12,99,,,
平成29,2017,2,13201,八王子市,Hachioji-shi,562036,558327,8739,8429,558327,8739,8429,1,2,99,,,
平成29,2017,2,13202,立川市,Tachikawa-shi,182843,182843,2278,2173,182843,2278,2173,-,1,100,,,
平成29,2017,2,13203,武蔵野市,Musashino-shi,145491,145491,1073,1073,145491,1073,1073,-,-,100,,,
平成29,2017,2,13204,三鷹市,Mitaka-shi,186680,186680,1650,1650,186680,1650,1650,-,1,100,,,
平成29,2017,2,13205,青梅市,Ome-shi,134708,131358,2379,2158.32,131358,2379,2158.32,-,-,97.5,,,
平成29,2017,2,13206,府中市,Fuchu-shi,258567,258567,2725,2725,258567,2725,2725,1,1,100,,,
平成29,2017,2,13207,昭島市,Akishima-shi,113251,113172,1504,1440,113172,1504,1440,1,1,100,,,
平成29,2017,2,13208,調布市,Chofu-shi,233408,233408,2037,1955,233408,2037,1955,-,-,100,,,
平成29,2017,2,13209,町田市,Machida-shi,428571,422998,5439,4980,422998,5439,4980,-,2,98.7,,,
平成29,2017,2,13210,小金井市,Koganei-shi,120618,120618,1133,1133,120618,1133,1133,-,-,100,,,
平成29,2017,2,13211,小平市,Kodaira-shi,191064,191064,2046,2046,191064,2046,2046,-,-,100,,,
平成29,2017,2,13212,日野市,Hino-shi,184761,176521,2397,2248.21,176521,2397,2248.21,1,1,95.5,,,
平成29,2017,2,13213,東村山市,Higashimurayama-shi,150818,150818,1696,1696,150818,1696,1696,-,-,100,,,
平成29,2017,2,13214,国分寺市,Kokubunji-shi,122201,122197,1148,1141,122197,1148,1141,-,-,100,,,
平成29,2017,2,13215,国立市,Kunitachi-shi,75932,75932,792,792,75932,792,792,1,1,100,,,
平成29,2017,2,13218,福生市,Fussa-shi,58448,58448,1000,653,58448,1000,653,-,-,100,,,
平成29,2017,2,13219,狛江市,Komae-shi,82048,82048,582,582,82048,582,582,-,-,100,,,
平成29,2017,2,13220,東大和市,Higashiyamato-shi,85698,85689,1009,986,85689,1009,986,-,-,100,,,
平成29,2017,2,13221,清瀬市,Kiyose-shi,74835,74830,1019,873,74830,1019,873,1,1,100,,,
平成29,2017,2,13222,東久留米市,Higashikurume-shi,116869,116869,1292,1292,116869,1292,1292,-,-,100,,,
平成29,2017,2,13223,武蔵村山市,Musashimurayama-shi,72510,72502,1522,1164,72502,1522,1164,-,-,100,,,
平成29,2017,2,13224,多摩市,Tama-shi,148654,148641,2019,2014,148641,2019,2014,-,-,100,,,
平成29,2017,2,13225,稲城市,Inagi-shi,90149,89388,1747,1077,89388,1747,1065,1,1,99,,,
平成29,2017,2,13227,羽村市,Hamura-shi,55710,55487,905,795,55487,905,795,-,-,100,,,
平成29,2017,2,13228,あきる野市,Akiruno-shi,80925,75949,1659,1333,75949,1659,1261,-,-,94,,,
平成29,2017,2,13229,西東京市,Nishitokyo-shi,201292,201292,1585,1585,201292,1585,1585,-,-,100,,,
平成29,2017,1,13300,郡部,All gun,57787,56363,1930,1624,56247,1930,1601,-,1,98,,,
平成29,2017,2,13303,瑞穂町,Mizuho-machi,33455,32770,929,802,32654,929,779,-,-,98,,,
平成29,2017,2,13305,日の出町,Hinode-machi,16872,16867,700,527,16867,700,527,-,-,100,,,
平成29,2017,2,13307,檜原村,Hinohara-mura,2231,1939,102,96,1939,102,96,-,-,87,,,
平成29,2017,2,13308,奥多摩町,Okutama-machi,5229,4787,199,199,4787,199,199,-,1,92,,,
平成29,2017,1,13350,島部,All islands    3),2669,1775,87,82,1775,87,82,-,1,67,,,
平成29,2017,2,13363,新島村,Niijima-mura,2669,1775,87,82,1775,87,82,-,1,66.5,,,
,,,,,,,,,,,,,,,,,,
6-7  地域別下水道の普及状況 （平成27～29年度末） ,,,,,,,,,,,,,,,,,,
6-7 SEWERAGE SERVICE BY DISTRICT ( End of Fiscal Years 2015-2017 ) ,,,,,,,,,,,,,,,,,,
　注． 1) 総人口は， 住民基本台帳人口である。 ,,,,,,,,,,,,,,,,,,
            2) 終末処理場の （　） 内の数値は流域下水道にかかるものであり， 内数である。 ,,,,,,,,,,,,,,,,,,
　　    3) 島部に関しては，新島村のみ公共下水道である。 ,,,,,,,,,,,,,,,,,,
　Note: 1) Total population data from the Basic Resident Register. ,,,,,,,,,,,,,,,,,,
          　2) Figures in parentheses show the number of sewage treatment plants for a regional sewerage system within the total number  (figures on the right). ,,,,,,,,,,,,,,,,,,
"             3) In the islands, only Niijima-mura is served by public sewer.",,,,,,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課，同都市整備局都市基盤部調整課 ,,,,,,,,,,,,,,,,,,
"　Source : Bureau of Sewerage, T.M.G., Bureau of Urban Development, T.M.G.",,,,,,,,,,,,,,,,,, 
