年度,Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settlement
平成25,2013,0,総数,Total,12083829,12422398,11763967
平成26,2014,0,総数,Total,13339433,13587296,12754537
平成27,2015,0,総数,Total,13870594,14391307,13413243
平成28,2016,0,総数,Total,13655995,13839109,12934488
平成29,2017,0,総数,Total,13054164,13526161,12659949
平成29,2017,1,一般会計,General account,6954000,7226993,6693202
平成29,2017,1,特別会計,Special accounts,4131373,4286452,4181569
平成29,2017,2,特別区財政調整,Financial adjustments for ku,952794,976300,976299
平成29,2017,2,地方消費税清算,Local consumption tax adjustment,1808530,1926310,1884664
平成29,2017,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,372,372,10
平成29,2017,2,母子父子福祉貸付資金,Single parent welfare loan funds,4467,4467,3058
平成29,2017,2,心身障害者扶養年金,Annuity for the mentally or physically impaired,4927,4927,4790
平成29,2017,2,中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.， funds,2783,2783,1010
平成29,2017,2,林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,52,52,-
平成29,2017,2,沿岸漁業改善資金助成,Coastal fishery improvement subsidies,48,48,4
平成29,2017,2,と場,Slaughter house,6785,6785,5937
平成29,2017,2,都営住宅等事業,Metropolitan public housing， etc.,178038,191181,152114
平成29,2017,2,都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1654,1654,1367
平成29,2017,2,都市開発資金,Urban development funds,2196,2196,1343
平成29,2017,2,用地,Land acquisition,18264,18282,6146
平成29,2017,2,公債費,Debt services,1147429,1147429,1143471
平成29,2017,2,臨海都市基盤整備事業,Waterfront urban infrastructure development,3034,3665,1355
平成29,2017,1,公営企業会計,Public enterprise accounts,1968791,2012717,1785178
平成29,2017,2,病院,Hospital,189602,189602,178729
平成29,2017,2,中央卸売市場,Central Wholesale Market,37337,48986,34365
平成29,2017,2,都市再開発事業,Urban redevelopment,1492,1492,616
平成29,2017,2,臨海地域開発事業,Waterfront area development ,26612,27911,26069
平成29,2017,2,港湾事業,Port and harbor,6230,6230,4674
平成29,2017,2,交通事業,Transportation,77473,78224,69340
平成29,2017,2,高速電車事業,Railway,262004,262637,230743
平成29,2017,2,電気事業,Electric power,1964,1964,1426
平成29,2017,2,水道事業,Waterworks,518977,522377,446280
平成29,2017,2,工業用水道事業,Industrial waterworks,2400,2400,2107
平成29,2017,2,下水道事業,Sewerage,844700,870894,790829
,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成25～29年度) (歳出) 21-1  BUDGET AND SETTLEMENT BY ACCOUNT ( Fiscal Years 2013-2017 ) ( EXPENDITURE ),,,,,,,
注1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note:1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,
2) The Public enterprise accounts are the sum of revenue expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
