年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成28,2016,0,13000,,総数,Tokyo-to,4007,2780,280,3,1,943,140,147,1790,18262,131,83,853,4061183
平成29,2017,0,13000,,総数,Tokyo-to,4261,2857,218,-,4,1182,214,219,2074,22096,51,83,762,5078191
平成29,2017,1,13100,,区部,All ku　,3099,2193,144,-,-,762,144,175,1586,13628,-,58,582,3725726
平成29,2017,2,13101,1,千代田区,Chiyoda-ku ,129,93,14,-,-,22,2,-,10,539,-,1,10,81386
平成29,2017,2,13102,2,中央区,Chuo-ku,133,99,8,-,-,26,1,-,24,675,-,-,16,229146
平成29,2017,2,13103,3,港区,Minato-ku,207,158,11,-,-,38,5,2,66,388,-,1,24,185203
平成29,2017,2,13104,4,新宿区,Shinjuku-ku,198,156,1,-,-,41,8,4,123,198,-,-,43,110592
平成29,2017,2,13105,5,文京区,Bunkyo-ku,64,53,1,-,-,10,-,-,31,129,-,1,15,69206
平成29,2017,2,13106,6,台東区,Taito-ku,106,72,1,-,-,33,2,4,34,448,-,2,22,132037
平成29,2017,2,13107,7,墨田区,Sumida-ku,60,42,2,-,-,16,1,3,30,245,-,-,13,18527
平成29,2017,2,13108,8,江東区,Koto-ku,154,101,10,-,-,43,9,10,76,2175,-,5,20,204932
平成29,2017,2,13109,9,品川区,Shinagawa-ku ,108,78,4,-,-,26,5,5,49,217,-,1,16,42259
平成29,2017,2,13110,10,目黒区,Meguro-ku,64,46,6,-,-,12,3,1,38,297,-,3,8,37641
平成29,2017,2,13111,11,大田区,Ota-ku,204,149,8,-,-,47,15,15,139,593,-,3,53,178459
平成29,2017,2,13112,12,世田谷区,Setagaya-ku,184,120,11,-,-,53,15,8,108,993,-,4,44,378316
平成29,2017,2,13113,13,渋谷区,Shibuya-ku,130,89,8,-,-,33,12,7,36,423,-,2,18,253918
平成29,2017,2,13114,14,中野区,Nakano-ku,109,74,2,-,-,33,4,11,59,366,-,1,20,61882
平成29,2017,2,13115,15,杉並区,Suginami-ku,133,101,6,-,-,26,6,19,119,806,-,2,32,529884
平成29,2017,2,13116,16,豊島区,Toshima-ku,100,75,1,-,-,24,5,13,51,343,-,3,29,68901
平成29,2017,2,13117,17,北区,Kita-ku,105,72,9,-,-,24,3,14,63,549,-,1,25,105939
平成29,2017,2,13118,18,荒川区,Arakawa-ku,53,41,2,-,-,10,1,1,32,93,-,2,5,32073
平成29,2017,2,13119,19,板橋区,Itabashi-ku,159,114,6,-,-,39,11,4,98,675,-,2,36,132486
平成29,2017,2,13120,20,練馬区,Nerima-ku,158,111,7,-,-,40,5,14,114,213,-,5,31,118679
平成29,2017,2,13121,21,足立区,Adachi-ku,235,144,11,-,-,80,14,12,118,1471,-,8,46,193288
平成29,2017,2,13122,22,葛飾区,Katsushika-ku,134,89,6,-,-,39,8,18,90,821,-,7,24,426941
平成29,2017,2,13123,23,江戸川区,Edogawa-ku ,172,116,9,-,-,47,9,10,78,971,-,4,32,134031
平成29,2017,1,13200,,市部,All shi ,1130,648,74,-,3,405,64,44,482,7021,32,21,173,1333025
平成29,2017,2,13201,1,八王子市,Hachioji-shi,176,84,13,-,2,77,9,2,50,1154,32,2,25,199094
平成29,2017,2,13202,2,立川市,Tachikawa-shi,79,58,5,-,-,16,4,1,26,197,-,2,13,52205
平成29,2017,2,13203,3,武蔵野市,Musashino-shi,38,24,2,-,-,12,-,3,22,212,-,2,5,27601
平成29,2017,2,13204,4,三鷹市,Mitaka-shi,40,27,3,-,-,10,-,3,25,53,-,1,8,3668
平成29,2017,2,13205,5,青梅市,Ome-shi,32,16,5,-,1,10,1,3,6,181,-,1,9,34408
平成29,2017,2,13206,6,府中市,Fuchu-shi,64,36,3,-,-,25,12,2,35,689,-,-,7,182090
平成29,2017,2,13207,7,昭島市,Akishima-shi,35,21,2,-,-,12,-,-,13,10,-,-,3,3636
平成29,2017,2,13208,8,調布市,Chofu-shi,65,35,5,-,-,25,3,3,17,83,-,2,6,12929
平成29,2017,2,13209,9,町田市,Machida-shi,94,56,3,-,-,35,7,2,38,683,-,2,20,69010
平成29,2017,2,13210,10,小金井市,Koganei-shi,33,17,1,-,-,15,1,2,9,48,-,-,5,8860
平成29,2017,2,13211,11,小平市,Kodaira-shi,45,30,2,-,-,13,1,3,27,131,-,-,7,15449
平成29,2017,2,13212,12,日野市,Hino-shi ,41,30,6,-,-,5,-,3,21,68,-,-,10,23834
