年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成25,2013,0,13000,,東京都,Tokyo-to,8603,20396,10770,2179,707,1472,248,2851,680,1204,951,16,846,299,36,511,2866
平成26,2014,0,13000,,東京都,Tokyo-to,8488,21028,10536,2110,659,1451,241,2846,675,1194,963,14,839,286,35,518,2859
平成27,2015,0,13000,,東京都,Tokyo-to,8365,21566,10397,2082,618,1464,245,2883,682,1209,978,14,872,306,35,531,2838
平成28,2016,0,13000,,東京都,Tokyo-to,8256,22064,10221,2060,593,1467,253,3010,693,1246,1058,13,861,288,35,538,2852
平成29,2017,0,13000,,東京都,Tokyo-to,8167,22844,10093,2014,561,1453,249,3233,718,1306,1196,13,895,316,38,541,2803
平成29,2017,1,13100,,区部,All ku,5921,17653,7958,1615,506,1109,111,2265,586,1037,629,13,696,230,22,444,1910
平成29,2017,2,13101,1,千代田区,Chiyoda-ku,159,203,236,36,5,31,2,110,52,37,21,-,72,24,1,47,37
平成29,2017,2,13102,2,中央区,Chuo-ku,161,721,283,53,9,44,1,153,71,51,31,-,36,14,-,22,33
平成29,2017,2,13103,3,港区,Minato-ku,188,1216,499,132,4,128,3,185,77,66,42,-,56,15,1,40,86
平成29,2017,2,13104,4,新宿区,Shinjuku-ku,282,1043,494,96,23,73,4,273,34,176,56,7,103,46,2,55,100
平成29,2017,2,13105,5,文京区,Bunkyo-ku,121,303,231,20,7,13,3,43,20,17,6,0,16,0,1,15,82
平成29,2017,2,13106,6,台東区,Taito-ku,182,407,271,235,29,206,3,493,81,204,206,2,32,11,-,21,40
平成29,2017,2,13107,7,墨田区,Sumida-ku,199,443,223,38,19,19,4,98,26,35,37,-,21,6,1,14,47
平成29,2017,2,13108,8,江東区,Koto-ku,243,514,365,66,24,42,4,60,20,26,14,-,52,22,2,28,112
平成29,2017,2,13109,9,品川区,Shinagawa-ku,216,644,380,60,24,36,8,84,45,22,17,-,16,4,1,11,71
平成29,2017,2,13110,10,目黒区,Meguro-ku,145,787,254,36,12,24,1,24,11,7,6,-,15,1,-,14,53
平成29,2017,2,13111,11,大田区,Ota-ku,384,819,479,89,39,50,21,104,8,71,25,-,18,9,2,7,116
平成29,2017,2,13112,12,世田谷区,Setagaya-ku,374,1541,637,94,28,66,6,26,3,13,8,2,47,13,6,28,158
平成29,2017,2,13113,13,渋谷区,Shibuya-ku,175,2247,285,112,11,101,1,118,60,44,13,1,74,24,3,47,58
平成29,2017,2,13114,14,中野区,Nakano-ku,212,526,300,36,20,16,3,16,3,3,10,-,12,1,-,11,54
平成29,2017,2,13115,15,杉並区,Suginami-ku,292,771,345,41,22,19,26,22,6,10,6,-,15,2,-,13,91
平成29,2017,2,13116,16,豊島区,Toshima-ku,217,790,245,76,24,52,1,198,22,144,32,-,45,19,-,26,14
平成29,2017,2,13117,17,北区,Kita-ku,233,476,276,57,30,27,-,38,12,11,15,-,13,1,1,11,75
平成29,2017,2,13118,18,荒川区,Arakawa-ku,146,280,152,32,24,8,2,64,9,14,41,-,7,-,-,7,45
平成29,2017,2,13119,19,板橋区,Itabashi-ku,325,648,396,59,32,27,4,26,1,13,11,1,6,2,-,4,110
平成29,2017,2,13120,20,練馬区,Nerima-ku,407,891,441,85,22,63,5,8,4,3,1,-,10,3,-,7,153
平成29,2017,2,13121,21,足立区,Adachi-ku,482,906,441,52,34,18,2,40,3,29,8,-,17,11,-,6,140
平成29,2017,2,13122,22,葛飾区,Katsushika-ku,332,647,319,52,28,24,1,34,14,5,15,-,3,1,-,2,97
平成29,2017,2,13123,23,江戸川区,Edogawa-ku,446,830,406,58,36,22,6,48,4,36,8,-,10,1,1,8,138
平成29,2017,1,13200,,市部,All shi,2164,5082,2096,348,55,293,60,321,121,152,48,-,187,77,16,94,830
平成29,2017,2,13201,1,八王子市,Hachioji-shi,309,707,310,42,3,39,13,65,24,35,6,-,22,9,5,8,25
平成29,2017,2,13202,2,立川市,Tachikawa-shi,104,346,105,17,4,13,-,38,14,23,1,-,17,11,2,4,62
平成29,2017,2,13203,3,武蔵野市,Musashino-shi,101,446,98,15,4,11,-,11,5,6,-,-,13,5,-,8,35
平成29,2017,2,13204,4,三鷹市,Mitaka-shi,80,157,83,18,4,14,1,1,1,-,-,-,4,-,-,4,36
平成29,2017,2,13205,5,青梅市,Ome-shi,103,162,61,18,-,18,8,43,1,22,20,-,-,-,-,-,43
平成29,2017,2,13206,6,府中市,Fuchu-shi,123,253,143,29,5,24,1,23,13,10,-,-,19,9,3,7,57
平成29,2017,2,13207,7,昭島市,Akishima-shi,68,128,56,9,3,6,1,12,8,4,-,-,3,1,-,2,27
平成29,2017,2,13208,8,調布市,Chofu-shi,100,272,138,19,5,14,8,6,4,2,-,-,24,11,5,8,51
平成29,2017,2,13209,9,町田市,Machida-shi,190,532,207,28,2,26,4,28,21,5,2,-,14,10,-,4,19
平成29,2017,2,13210,10,小金井市,Koganei-shi,55,114,60,4,1,3,1,2,-,2,-,-,2,-,-,2,28
平成29,2017,2,13211,11,小平市,Kodaira-shi,111,170,85,15,2,13,2,5,1,3,1,-,3,-,-,3,42
平成29,2017,2,13212,12,日野市,Hino-shi,80,168,64,4,-,4,-,3,2,1,-,-,2,-,-,2,38
平成29,2017,2,13213,13,東村山市,Higashimurayama-shi,70,174,81,7,2,5,-,11,6,5,-,-,1,-,-,1,32
平成29,2017,2,13214,14,国分寺市,Kokubunji-shi,50,153,49,9,2,7,-,7,5,2,-,-,2,-,-,2,22
平成29,2017,2,13215,15,国立市,Kunitachi-shi,48,128,35,9,1,8,1,6,4,2,-,-,1,-,-,1,26
平成29,2017,2,13218,16,福生市,Fussa-shi,42,110,29,3,-,3,-,3,1,1,1,-,1,-,-,1,14
平成29,2017,2,13219,17,狛江市,Komae-shi,38,77,46,6,4,2,-,1,-,1,-,-,2,-,-,2,19
平成29,2017,2,13220,18,東大和市,Higashiyamato-shi,53,90,33,9,2,7,-,4,-,4,-,-,2,-,-,2,20
