年度,Fiscal year,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神病床 Psychiatric ,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
平成24,2012,0,13000,東京都,Tokyo-to,127483,23409,638,145,21815,81476,37355034,1553292,53444546
平成25,2013,0,13000,東京都,Tokyo-to,127639,23041,601,145,22432,81420,37201572,1578399,53278536
平成26,2014,0,13000,東京都,Tokyo-to,127110,22612,520,145,22708,81125,37056997,1601199,52381203
平成27,2015,0,13000,東京都,Tokyo-to,128166,22494,510,145,23524,81493,37267796,1650070,52441970
平成28,2016,0,13000,東京都,Tokyo-to,128351,22412,510,145,23921,81363,37419053,1679734,52349529
平成28,2016,1,13100,区部,All ku,80032,6946,173,99,13247,59567,22706075,1256852,39950744
平成28,2016,2,13101,千代田区,Chiyoda-ku,2271,27,-,-,50,2194,567259,54686,2073876
平成28,2016,2,13102,中央区,Chuo-ku,1197,-,-,-,52,1145,379075,35667,1035409
平成28,2016,2,13103,港区,Minato-ku,3975,49,8,-,68,3850,1049931,89060,3145362
平成28,2016,2,13104,新宿区,Shinjuku-ku,6204,315,40,4,85,5760,1648220,127463,3998569
平成28,2016,2,13105,文京区,Bunkyo-ku,5190,137,-,30,118,4905,1478728,113608,4052810
平成28,2016,2,13106,台東区,Taito-ku,1078,85,-,-,297,696,316556,13138,537094
平成28,2016,2,13107,墨田区,Sumida-ku,2466,36,-,10,206,2214,663383,44003,1170238
平成28,2016,2,13108,江東区,Koto-ku,2872,129,-,-,232,2511,854038,55121,1637288
平成28,2016,2,13109,品川区,Shinagawa-ku,3185,50,-,-,732,2403,845636,55227,1513911
平成28,2016,2,13110,目黒区,Meguro-ku,2421,50,-,-,198,2173,673035,50036,1284403
平成28,2016,2,13111,大田区,Ota-ku,5026,128,-,20,1011,3867,1395353,77426,2769687
平成28,2016,2,13112,世田谷区,Setagaya-ku,5651,1204,25,10,880,3532,1513262,61348,1849898
平成28,2016,2,13113,渋谷区,Shibuya-ku,3116,53,2,-,951,2110,879687,50779,1738478
平成28,2016,2,13114,中野区,Nakano-ku,1710,-,-,-,479,1231,509246,23421,743463
平成28,2016,2,13115,杉並区,Suginami-ku,2720,-,-,-,956,1764,817957,41457,1022990
平成28,2016,2,13116,豊島区,Toshima-ku,1710,-,-,-,287,1423,488870,23370,629101
平成28,2016,2,13117,北区,Kita-ku,2578,203,-,-,542,1833,791056,29729,1183299
平成28,2016,2,13118,荒川区,Arakawa-ku,1575,-,-,-,490,1085,449469,19447,604241
平成28,2016,2,13119,板橋区,Itabashi-ku,9875,1954,12,20,2352,5537,2936004,108649,3136993
平成28,2016,2,13120,練馬区,Nerima-ku,3083,1077,-,-,614,1392,944290,37325,1184448
平成28,2016,2,13121,足立区,Adachi-ku,6691,1232,-,-,1482,3977,1942393,57728,2032195
平成28,2016,2,13122,葛飾区,Katsushika-ku,2508,217,36,5,373,1877,729000,40274,1254063
平成28,2016,2,13123,江戸川区,Edogawa-ku,2930,-,50,-,792,2088,833627,47890,1352928
平成28,2016,1,13200,市部,All shi,47681,15406,337,44,10249,21645,14520691,420710,12298166
平成28,2016,2,13201,八王子市,Hachioji-shi,9016,4154,34,8,2096,2724,2812757,61163,1757846
平成28,2016,2,13202,立川市,Tachikawa-shi,1633,63,-,6,166,1398,467009,30735,630796
平成28,2016,2,13203,武蔵野市,Musashino-shi,1168,-,-,20,148,1000,349967,23255,592653
平成28,2016,2,13204,三鷹市,Mitaka-shi,2820,1133,-,-,227,1460,849239,31453,994988
平成28,2016,2,13205,青梅市,Ome-shi,4588,2442,-,4,1430,712,1467457,17735,529281
平成28,2016,2,13206,府中市,Fuchu-shi,3637,941,60,-,248,2388,1045508,50827,1057708
平成28,2016,2,13207,昭島市,Akishima-shi,1279,-,-,-,492,787,378311,13813,473985
平成28,2016,2,13208,調布市,Chofu-shi,1622,842,-,-,279,501,468672,7831,376325
平成28,2016,2,13209,町田市,Machida-shi,4190,1592,-,-,1068,1530,1333418,26052,994643
平成28,2016,2,13210,小金井市,Koganei-shi,1142,510,-,-,384,248,381739,5176,176696
平成28,2016,2,13211,小平市,Kodaira-shi,2331,750,-,6,573,1002,728806,21202,562516
平成28,2016,2,13212,日野市,Hino-shi,1084,238,-,-,398,448,335796,8879,298094
平成28,2016,2,13213,東村山市,Higashimurayama-shi,2431,670,8,-,432,1321,684811,15087,511138
平成28,2016,2,13214,国分寺市,Kokubunji-shi,251,-,-,-,209,42,82195,1048,22915
平成28,2016,2,13215,国立市,Kunitachi-shi,66,-,-,-,8,58,17157,1647,93144
平成28,2016,2,13218,福生市,Fussa-shi,688,-,-,-,96,592,186405,9363,281962
平成28,2016,2,13219,狛江市,Komae-shi,717,20,27,-,136,534,208306,12593,384751
平成28,2016,2,13220,東大和市,Higashiyamato-shi,412,-,-,-,-,412,131066,8413,98010
平成28,2016,2,13221,清瀬市,Kiyose-shi,2113,255,208,-,675,975,637153,14813,472695
平成28,2016,2,13222,東久留米市,Higashikurume-shi,330,183,-,-,-,147,101789,3829,187068
平成28,2016,2,13223,武蔵村山市,Musashimurayama-shi,839,-,-,-,216,623,253421,8952,307554
平成28,2016,2,13224,多摩市,Tama-shi,2248,852,-,-,250,1146,676894,21133,540217
平成28,2016,2,13225,稲城市,Inagi-shi,931,322,-,-,319,290,282694,7822,175895
平成28,2016,2,13227,羽村市,Hamura-shi,246,-,-,-,186,60,81675,425,12801
平成28,2016,2,13228,あきる野市,Akiruno-shi,583,113,-,-,100,370,164034,4947,225956
平成28,2016,2,13229,西東京市,Nishitokyo-shi,1316,326,-,-,113,877,394412,12517,538529
平成28,2016,1,13300,郡部,All gun,584,60,-,-,425,99,182942,1533,46006
平成28,2016,2,13303,瑞穂町,Mizuho-machi,120,-,-,-,120,-,41897,199,7572
平成28,2016,2,13305,日の出町,Hinode-machi,421,60,-,-,305,56,133721,1003,25998
平成28,2016,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
平成28,2016,2,13308,奥多摩町,Okutama-machi,43,-,-,-,-,43,7324,331,12436
平成28,2016,1,13350,島部,All islands,54,-,-,2,-,52,9345,639,54613
,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-3  種類別病床数及び患者延数 (平成24～平成28年度) 19-3  NUMBER OF BEDS AND PATIENTS BY TYPE OF CARE ( Fiscal Years 2012-2016 ),,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「東京都の医療施設」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
