地域階層,地域コード,項番 Item number,地域,District,総数 Total 1) ,結核 Tuberculosis,生活習慣病 Lifestyle-related diseases／悪性新生物 Malignant neoplasm,生活習慣病 Lifestyle-related diseases／(再掲)(Relisted)肝臓がん Liver cancer,生活習慣病 Lifestyle-related diseases／(再掲)(Relisted) 前立腺がん Prostate cancer,生活習慣病 Lifestyle-related diseases／循環器疾患 Cardiovascular disease,生活習慣病 Lifestyle-related diseases／その他 Others,生活習慣病 Lifestyle-related diseases／その他 Others／(再掲)(Relisted) 骨粗しょう症 Osteoporosis,その他 Others
0,13000,0,総数,Tokyo-to,1467754,1202091,133380,115,61234,32237,93950,13537,6096
1,13100,1,区部,All Ku,964677,839039,91480,-,41195,15965,12197,7511,5996
1,13200,2,市部,All shi,490602,358905,36146,-,19076,15097,80354,4627,100
1,13300,3,郡部,All gun,8110,1934,5556,115,806,-,620,620,-
1,13350,4,島部,All islands,4365,2213,198,-,157,1175,779,779,-
,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,
19-5  地域保健活動 (1) 健康診断 (平成28年度) 19-5  LOCAL PUBLIC HEALTH CARE ACTIVITIES (1) HEALTH EXAMINATIONS ( Fiscal Year 2016 )　,,,,,,,,,,,,,
注 1) 高齢者の医療の確保に関する法律に基づく特定健康診査，健康増進法第19条の２に基づく健康診査，地域保健・健康増進事業報告 「母子保健（健康診査）」に該当するもの及び歯科健診を除く。,,,,,,,,,,,,,
Note: 1) Exclude article 12 of  Old Age Health Care Law,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,
