年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成27,2015,13200,,市部,All shi,1551889,714961,6534,4473,10653,94425,410,-,2937,2725,38215,505,14030,16194,14819,257213,2905,194744,5534,3024,32598,44540,16648,73801
平成28,2016,13200,,市部,All shi,1560674,715409,6525,1226,6319,84332,417,-,2969,2806,34709,475,14854,16170,14567,269398,2895,201360,4727,2327,46170,52938,14491,65589
平成29,2017,13200,,市部,All shi,1580644,719510,6495,1295,10662,85522,407,-,3724,3100,36723,459,15918,16245,14941,271306,2903,206855,6399,3059,50982,44560,16159,63421
平成29,2017,13201,1,八王子市,Hachioji-shi,194692,89959,971,155,1275,12054,95,-,558,424,4277,73,2066,1907,2498,36653,-,25602,740,146,1437,1989,1509,10303
平成29,2017,13202,2,立川市,Tachikawa-shi,76587,39549,265,54,441,4155,-,-,152,135,33,22,682,959,579,14824,234,8345,73,68,46,4346,584,1040
平成29,2017,13203,3,武蔵野市,Musashino-shi,66685,40024,184,73,602,3314,-,-,105,41,32,14,457,903,687,8195,-,7108,246,1,1187,2432,745,336
平成29,2017,13204,4,三鷹市,Mitaka-shi,67034,37235,262,73,606,3764,-,-,149,113,49,19,587,949,454,10951,-,8286,102,38,56,1285,593,1461
平成29,2017,13205,5,青梅市,Ome-shi,50153,20299,283,34,277,2871,54,-,162,98,2654,19,955,489,550,8728,-,6894,782,35,507,867,984,2611
平成29,2017,13206,6,府中市,Fuchu-shi,117186,51443,376,84,695,5565,-,-,215,215,40,25,901,1538,1051,18027,4,11119,322,954,11921,2916,2152,7623
平成29,2017,13207,7,昭島市,Akishima-shi,42650,19239,168,30,245,2390,27,-,96,89,471,13,604,426,429,8879,14,6000,20,60,419,1337,367,1327
平成29,2017,13208,8,調布市,Chofu-shi,91408,45748,329,83,682,4651,10,-,188,170,55,23,1250,1245,656,14688,-,11473,131,356,2041,3958,447,3223
平成29,2017,13209,9,町田市,Machida-shi,153012,68605,713,132,1089,8726,41,-,409,360,1377,50,1573,974,1885,27983,-,19514,549,159,7049,4620,1303,5902
平成29,2017,13210,10,小金井市,Koganei-shi,42729,21281,161,46,376,2359,-,-,92,74,41,9,338,526,433,6641,-,6214,250,3,1244,2102,365,177
平成29,2017,13211,11,小平市,Kodaira-shi,64143,31171,257,57,472,3826,15,-,147,174,799,18,614,748,265,11040,-,8403,35,3,1452,1643,703,2300
平成29,2017,13212,12,日野市,Hino-shi,68793,30651,296,55,453,3754,-,-,170,157,932,21,547,761,729,11809,-,9419,220,673,1553,2515,1503,2576
平成29,2017,13213,13,東村山市,Higashimurayama-shi,54758,20926,228,40,330,2944,-,-,131,114,4104,14,352,687,556,10223,-,8205,86,19,1207,718,444,3429
