事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
0,総数,Total,5468,1496,80428,74535,3972,243024,199069
1,保護施設,Public assistance facilities,37,-,-,-,37,2261,2122
2,救護施設,Relief facilities,10,-,-,-,10,911,986
2,更生施設,Rehabilitation facilities,11,-,-,-,11,890,918
2,医療保護施設,Medical facilities for persons requiring public assistance,10,-,…,…,10,…,…
2,授産施設（生活保護法）,Vocational facilities (Public Assistance Act),-,-,-,-,-,-,-
2,宿所提供施設（生活保護法）,Facilities providing accommodation (Public Assistance Act),6,-,-,-,6,460,218
1,老人福祉施設,Welfare facilities for the elderly,338,118,-,-,220,7179,6895
2,養護老人ホーム(一般）,Nursing homes (general),32,-,-,-,32,3351,3262
2,養護老人ホーム(盲),Nursing homes (visually impaired),1,-,-,-,1,100,96
2,軽費老人ホーム（A型),Low-cost homes (type A),8,-,-,-,8,600,598
2,軽費老人ホーム（B型),Low-cost homes (type B),2,-,-,-,2,100,54
2,軽費老人ホーム （ケアハウス）,Low-cost homes (care house),42,-,-,-,42,2057,2032
2,都市型軽費老人ホーム,Urban-style low-cost homes ,57,-,-,-,57,971,853
2,老人福祉センター（特A型）,Welfare centers (special type A),-,-,…,…,-,…,…
2,老人福祉センター（A型),Welfare centers (type A),68,31,…,…,37,…,…
2,老人福祉センター（B型),Welfare centers (type B),128,87,…,…,41,…,…
1,障害者支援施設等,Support facilities for persons with impairments， etc.,272,10,196,-,262,8135,5312
2,障害者支援施設,Support facilities  ,88,-,-,-,88,4752,5175
2,地域活動支援センター,Local activity support centers,171,10,196,…,161,3229,…
2,福祉ホーム,Group homes ,13,-,-,-,13,154,137
1,身体障害者社会参加支援施設,Support facilities for social participation of  persons with physical impairments,24,6,-,…,18,-,…
2,身体障害者福祉センター（Ａ型）,Welfare centers (type A),2,-,…,…,2,…,…
2,身体障害者福祉センター（Ｂ型）,Welfare centers (type B),7,4,…,…,3,…,…
2,障害者更生センター,Recreation and rehabilitation centers ,-,-,-,…,-,-,…
2,補装具製作施設,Prosthetic device making facilities,2,-,…,…,2,…,…
2,盲導犬訓練施設,Training facilities for guide dogs,1,-,…,…,1,…,…
2,点字図書館,Braille libraries,6,2,…,…,4,…,…
2,点字出版施設,Braille publishing facilities,5,-,…,…,5,…,…
2,聴覚障害者情報提供施設,Resource centers for persons with hearing impairments,1,-,…,…,1,…,…
1,婦人保護施設,Women's shelters,5,-,-,-,5,230,72
1,児童福祉施設等,Child welfare facilities， etc.,3559,1360,80201,74525,2199,165553,148817
2,助産施設,Midwifery homes,37,13,216,…,24,348,…
2,乳児院,Infant homes,10,-,-,-,10,507,400
2,母子生活支援施設 3),Living support facilities for single-mother families 3),34,-,-,-,34,680,1229
2,保育所等,Day care centers， etc.,2381,756,78791,72867,1625,154576,140096
2,小規模保育事業所,Small group day-care service,305,-,-,-,305,4831,4013
2,児童養護施設,Foster homes,55,-,-,-,55,2961,2566
2,障害児入所施設（福祉型）,Facilities for children with impairments (welfare type),9,-,-,-,9,620,200
2,障害児入所施設（医療型）,Facilities for children with impairments (medical care type),13,4,345,14,9,1128,729
2,児童発達支援センター（福祉型）,Child development support centers (welfare type),26,11,452,1292,15,547,757
