年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted 1),生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成24,2012,0,13000,東京都,Tokyo-to,219415,194473,193503,11832,32882,184304,6,5974,595,287566
平成25,2013,0,13000,東京都,Tokyo-to,225222,198888,199221,11656,35308,190800,7,5920,600,293106
平成26,2014,0,13000,東京都,Tokyo-to,228604,202237,202822,11320,37642,194753,8,5836,581,294877
平成27,2015,0,13000,東京都,Tokyo-to,231184,203003,205486,10817,39701,197454,6,5680,577,295176
平成28,2016,0,13000,東京都,Tokyo-to,232042,203562,206968,10260,41900,198906,5,5561,572,293066
平成28,2016,1,13100,区部,All ku,174499,153642,156521,6987,31756,149431,4,3906,444,216479
平成28,2016,2,13101,千代田区,Chiyoda-ku,553,408,390,6,102,488,-,12,2,608
平成28,2016,2,13102,中央区,Chuo-ku,960,770,766,20,183,796,-,13,3,1106
平成28,2016,2,13103,港区,Minato-ku,1962,1698,1663,63,407,1672,0,36,3,2315
平成28,2016,2,13104,新宿区,Shinjuku-ku,9051,7945,7773,179,1311,7342,0,111,25,10381
平成28,2016,2,13105,文京区,Bunkyo-ku,2096,1792,1833,40,400,1734,-,24,6,2389
平成28,2016,2,13106,台東区,Taito-ku,8130,7083,6943,97,1215,6554,0,46,27,8809
平成28,2016,2,13107,墨田区,Sumida-ku,6582,6048,5994,276,1465,6137,0,161,23,8187
平成28,2016,2,13108,江東区,Koto-ku,7795,7037,6974,316,1485,6592,-,190,23,9979
平成28,2016,2,13109,品川区,Shinagawa-ku,4811,4127,4260,117,878,4165,-,76,15,5680
平成28,2016,2,13110,目黒区,Meguro-ku,2488,2143,2147,47,486,2272,-,37,5,2908
平成28,2016,2,13111,大田区,Ota-ku,13561,11656,12259,559,2722,12367,0,288,41,16732
平成28,2016,2,13112,世田谷区,Setagaya-ku,8684,7576,7803,271,1620,6594,0,155,22,10230
平成28,2016,2,13113,渋谷区,Shibuya-ku,2916,2529,2519,44,525,2296,-,27,7,3283
平成28,2016,2,13114,中野区,Nakano-ku,6629,5991,6101,140,1070,5966,0,73,10,7560
平成28,2016,2,13115,杉並区,Suginami-ku,6650,5887,6003,154,1215,6213,-,87,6,7724
平成28,2016,2,13116,豊島区,Toshima-ku,6267,5423,5568,83,1068,5739,-,52,11,7002
平成28,2016,2,13117,北区,Kita-ku,7873,6918,7123,217,1697,7000,0,127,26,9594
平成28,2016,2,13118,荒川区,Arakawa-ku,5396,4833,4890,198,1069,4652,-,88,29,6524
平成28,2016,2,13119,板橋区,Itabashi-ku,14198,12204,12728,808,2217,11546,0,421,41,18678
平成28,2016,2,13120,練馬区,Nerima-ku,13106,11630,12028,717,2512,10402,1,518,13,16986
平成28,2016,2,13121,足立区,Adachi-ku,18820,16798,16979,1077,3597,15522,0,493,32,25089
平成28,2016,2,13122,葛飾区,Katsushika-ku,10588,9203,9463,513,2073,8962,1,268,29,13818
平成28,2016,2,13123,江戸川区,Edogawa-ku,15383,13942,14314,1046,2438,14421,1,603,47,20899
平成28,2016,1,13200,市部,All shi,56401,49011,49688,3220,9889,48475,1,1615,127,75020
平成28,2016,2,13201,八王子市,Hachioji-shi,7762,6592,6599,461,1338,6054,-,181,21,10307
平成28,2016,2,13202,立川市,Tachikawa-shi,3812,3345,3465,189,749,3524,-,83,4,4993
平成28,2016,2,13203,武蔵野市,Musashino-shi,1662,1506,1462,41,248,1579,-,16,4,1916
平成28,2016,2,13204,三鷹市,Mitaka-shi,2666,2299,2370,102,456,2566,0,58,3,3353
平成28,2016,2,13205,青梅市,Ome-shi,2030,1735,1651,161,282,1509,-,59,3,2823
平成28,2016,2,13206,府中市,Fuchu-shi,4027,3604,3642,262,663,3806,0,150,12,5413
平成28,2016,2,13207,昭島市,Akishima-shi,1828,1581,1566,104,393,1544,0,52,5,2429
平成28,2016,2,13208,調布市,Chofu-shi,2420,2055,2102,74,414,2266,-,28,3,2974
平成28,2016,2,13209,町田市,Machida-shi,5454,4718,4918,425,931,4320,-,257,13,7747
平成28,2016,2,13210,小金井市,Koganei-shi,1430,1201,1259,30,186,958,-,24,4,1647
平成28,2016,2,13211,小平市,Kodaira-shi,2432,2212,2166,151,449,2373,-,87,9,3267
平成28,2016,2,13212,日野市,Hino-shi,1818,1633,1609,92,352,1726,-,52,5,2402
平成28,2016,2,13213,東村山市,Higashimurayama-shi,2553,2218,2204,147,424,1906,-,84,6,3404
平成28,2016,2,13214,国分寺市,Kokubunji-shi,964,844,820,34,165,739,-,11,3,1160
平成28,2016,2,13215,国立市,Kunitachi-shi,868,757,772,37,140,777,-,18,1,1096
平成28,2016,2,13218,福生市,Fussa-shi,922,784,818,39,190,814,-,22,2,1189
平成28,2016,2,13219,狛江市,Komae-shi,914,789,826,23,202,829,-,19,1,1095
平成28,2016,2,13220,東大和市,Higashiyamato-shi,1299,1131,1152,94,247,1142,-,56,1,1874
平成28,2016,2,13221,清瀬市,Kiyose-shi,1632,1424,1455,91,320,1491,0,45,6,2249
平成28,2016,2,13222,東久留米市,Higashikurume-shi,1682,1495,1520,128,336,1433,-,67,2,2351
平成28,2016,2,13223,武蔵村山市,Musashimurayama-shi,1197,1044,1077,77,215,977,-,30,4,1702
平成28,2016,2,13224,多摩市,Tama-shi,1868,1602,1669,133,269,1630,0,61,4,2587
平成28,2016,2,13225,稲城市,Inagi-shi,888,777,788,50,155,696,-,30,3,1230
平成28,2016,2,13227,羽村市,Hamura-shi,569,468,502,31,84,504,-,17,0,771
平成28,2016,2,13228,あきる野市,Akiruno-shi,689,549,562,60,124,590,-,13,1,972
平成28,2016,2,13229,西東京市,Nishitokyo-shi,3015,2648,2715,186,556,2722,0,95,5,4071
平成28,2016,1,13300,郡部,All gun,692,540,498,45,134,607,-,32,-,1026
平成28,2016,1,13350,島部,All islands,449,370,261,9,121,393,-,9,1,541
,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,
18-2  地域別被保護世帯数（平成24～28年度 年度平均） 18-2  HOUSEHOLDS ASSISTED BY DISTRICT ( Annual Averages of Fiscal Years 2012-2016 ),,,,,,,,,,,,,,,
この数字は各地区別に平均し，集計した数字なので総数とは必ずしも一致しない。,,,,,,,,,,,,,,,
Figures are averaged by district and so may not add up to the totals provided.,,,,,,,,,,,,,,,
