年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
平成25,2013,0,13000,東京都,Tokyo-to,"7,043","1,342",70,9,"3,160",521,1,873,"1,067"
平成26,2014,0,13000,東京都,Tokyo-to,"7,025","1,339",58,11,"3,423",475,1,817,901
平成27,2015,0,13000,東京都,Tokyo-to,"6,641","1,265",56,5,"3,238",463,2,802,810
平成28,2016,0,13000,東京都,Tokyo-to,"6,408","1,199",41,6,"2,944",518,-,888,812
平成29,2017,0,13000,東京都,Tokyo-to,"6,402","1,102",56,12,"2,948",498,1,909,876
平成29,2017,1,13100,区部,All ku,"3,934",522,11,5,"2,200",404,-,501,291
平成29,2017,2,13101,千代田区,Chiyoda-ku,171,8,-,-,111,7,-,22,23
平成29,2017,2,13102,中央区,Chuo-ku,149,4,-,-,95,9,-,36,5
平成29,2017,2,13103,港区,Minato-ku,175,11,4,-,125,12,-,18,5
平成29,2017,2,13104,新宿区,Shinjuku-ku,117,8,-,-,79,10,-,17,3
平成29,2017,2,13105,文京区,Bunkyo-ku,82,3,-,-,48,14,-,13,4
平成29,2017,2,13106,台東区,Taito-ku,138,19,-,-,51,8,-,9,51
平成29,2017,2,13107,墨田区,Sumida-ku,244,32,-,1,123,23,-,33,32
平成29,2017,2,13108,江東区,Koto-ku,93,13,1,-,45,3,-,29,2
平成29,2017,2,13109,品川区,Shinagawa-ku,158,8,-,-,102,15,-,13,20
平成29,2017,2,13110,目黒区,Meguro-ku,156,21,-,-,94,13,-,6,22
平成29,2017,2,13111,大田区,Ota-ku,140,21,-,-,66,21,-,9,23
平成29,2017,2,13112,世田谷区,Setagaya-ku,299,57,2,-,150,49,-,29,12
平成29,2017,2,13113,渋谷区,Shibuya-ku,90,3,-,-,68,9,-,8,2
平成29,2017,2,13114,中野区,Nakano-ku,53,5,-,-,29,17,-,2,-
平成29,2017,2,13115,杉並区,Suginami-ku,136,35,-,-,67,23,-,10,1
平成29,2017,2,13116,豊島区,Toshima-ku,115,13,-,-,81,12,-,9,-
平成29,2017,2,13117,北区,Kita-ku,187,23,1,1,122,18,-,22,-
平成29,2017,2,13118,荒川区,Arakawa-ku,185,16,-,2,67,11,-,24,65
平成29,2017,2,13119,板橋区,Itabashi-ku,241,49,-,1,121,32,-,32,6
平成29,2017,2,13120,練馬区,Nerima-ku,186,42,-,-,89,32,-,21,2
平成29,2017,2,13121,足立区,Adachi-ku,373,70,-,-,193,27,-,76,7
平成29,2017,2,13122,葛飾区,Katsushika-ku,190,26,2,-,111,17,-,28,6
平成29,2017,2,13123,江戸川区,Edogawa-ku,256,35,1,-,163,22,-,35,-
平成29,2017,1,13200,市部,All shi,"2,322",562,43,7,737,92,-,392,489
平成29,2017,2,13201,八王子市,Hachioji-shi,178,78,-,1,78,4,-,12,5
