年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成27,2015,13200,,市部,All shi,1497851,11007,172946,714011,120472,6044,3323,11748,144411,54692,174939,406,83373,480
平成28,2016,13200,,市部,All shi,1515323,10318,177998,735515,121770,6086,3499,9093,143049,55317,167814,67,83565,1230
平成29,2017,13200,,市部,All shi,1528908,10220,187372,754717,118117,6226,3297,9627,133165,52651,169780,282,83363,90
平成29,2017,13201,1,八王子市,Hachioji-shi,190648,735,16321,98198,16640,436,427,1803,18026,6774,18503,151,12635,-
平成29,2017,13202,2,立川市,Tachikawa-shi,71466,455,7375,37356,5196,556,109,435,5476,2121,8375,-,4011,-
平成29,2017,13203,3,武蔵野市,Musashino-shi,63810,456,9382,28979,5703,239,96,447,5613,1969,9070,-,1856,-
平成29,2017,13204,4,三鷹市,Mitaka-shi,65206,498,7608,33936,3682,148,133,512,4751,2253,7563,-,4031,90
平成29,2017,13205,5,青梅市,Ome-shi,48591,402,5251,24177,4619,20,378,471,3512,1659,4915,17,3172,-
平成29,2017,13206,6,府中市,Fuchu-shi,114063,530,26375,48780,5914,599,127,394,8371,2895,15892,-,4186,-
平成29,2017,13207,7,昭島市,Akishima-shi,41291,342,4113,21028,3318,360,37,196,3266,1502,4996,6,2126,-
平成29,2017,13208,8,調布市,Chofu-shi,86930,491,10186,43793,5507,280,139,332,9794,2734,10031,-,3644,-
平成29,2017,13209,9,町田市,Machida-shi,148140,644,20242,72604,13207,310,251,892,10898,5071,17582,-,6438,-
平成29,2017,13210,10,小金井市,Koganei-shi,40092,365,5021,19261,4136,282,62,146,3159,1470,3509,-,2681,-
平成29,2017,13211,11,小平市,Kodaira-shi,62596,456,6351,33132,5003,206,166,169,4178,2205,7192,23,3517,-
平成29,2017,13212,12,日野市,Hino-shi,65585,382,5812,32231,5584,271,229,537,8068,2437,6855,46,3132,-
平成29,2017,13213,13,東村山市,Higashimurayama-shi,52622,353,4694,28806,3480,410,126,123,4225,1721,4578,-,4108,-
平成29,2017,13214,14,国分寺市,Kokubunji-shi,55263,335,10678,20480,3830,189,65,88,11053,1547,4771,-,2227,-
平成29,2017,13215,15,国立市,Kunitachi-shi,29364,306,3506,14508,1917,159,53,353,2939,1045,2811,-,1767,-
平成29,2017,13218,16,福生市,Fussa-shi,26057,269,3149,11843,2175,208,43,245,2312,1998,3036,-,779,-
平成29,2017,13219,17,狛江市,Komae-shi,27507,312,3111,14286,2117,80,44,106,1932,1092,2489,-,1938,-
平成29,2017,13220,18,東大和市,Higashiyamato-shi,31608,284,3770,17656,2245,41,54,108,1455,1149,3239,-,1607,-
平成29,2017,13221,19,清瀬市,Kiyose-shi,29791,286,3458,16362,1758,116,59,104,1067,1223,3459,1,1899,-
平成29,2017,13222,20,東久留米市,Higashikurume-shi,40062,294,3596,21667,3097,210,70,245,2928,1638,3795,-,2522,-
平成29,2017,13223,21,武蔵村山市,Musashimurayama-shi,28591,270,2986,14873,1920,58,57,468,2750,945,3050,-,1215,-
平成29,2017,13224,22,多摩市,Tama-shi,55256,382,9449,26178,4124,259,59,309,3557,1849,7146,-,1945,-
平成29,2017,13225,23,稲城市,Inagi-shi,31383,308,2692,13429,2802,110,64,203,4064,1078,4535,12,2085,-
平成29,2017,13227,24,羽村市,Hamura-shi,22873,253,2751,10822,1906,135,37,330,2682,797,2000,-,1161,-
平成29,2017,13228,25,あきる野市,Akiruno-shi,29962,280,2564,13657,3202,182,345,393,2783,1074,2727,26,2728,-
平成29,2017,13229,26,西東京市,Nishitokyo-shi,70148,532,6928,36674,5035,362,66,219,4308,2404,7664,-,5956,-
平成27,2015,13300,,郡部,All gun,32210,508,4944,10180,3034,328,1525,965,4585,1559,3144,25,1412,-
平成28,2016,13300,,郡部,All gun,32389,465,4850,10404,2959,329,1564,725,5221,1452,2967,27,1426,-
平成29,2017,13300,,郡部,All gun,33512,465,5286,10600,3106,334,1748,776,5338,1382,3091,5,1382,-
平成29,2017,13303,1,瑞穂町,Mizuho-machi,14714,169,2388,4881,1401,132,94,83,2669,578,1757,-,562,-
平成29,2017,13305,2,日の出町,Hinode-machi,8761,132,1108,3885,749,84,233,168,838,388,662,3,510,-
平成29,2017,13307,3,檜原村,Hinohara-mura,3649,72,559,750,470,59,541,91,669,135,210,3,92,-
平成29,2017,13308,4,奥多摩町,Okutama-machi,6388,92,1231,1084,486,59,880,433,1162,281,463,0,218,-
平成27,2015,13350,,島部,All islands,37601,457,7512,5734,4993,453,2202,2356,3929,2498,3643,1072,2635,118
平成28,2016,13350,,島部,All islands,36814,422,9075,5779,5519,434,1998,1920,4059,1181,2874,688,2678,187
