年次,Year,地域階層,地域コード,地域,District,福祉事務所 Welfare offices／事務所数 Offices,福祉事務所 Welfare offices／地区担当員数 Caseworkers,民生委員 Local welfare commissioners (volunteers)／定員数 Maximum number,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／総数 Total,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／男 Male,民生委員 Local welfare commissioners (volunteers)／現在員 Current number／女 Female
平成25,2013,0,13000,東京都,Tokyo-to,67,2213,10610,10194,2598,7596
平成26,2014,0,13000,東京都,Tokyo-to,63,2225,10714,10118,2575,7543
平成27,2015,0,13000,東京都,Tokyo-to,63,2242,10714,10178,2579,7599
平成28,2016,0,13000,東京都,Tokyo-to,63,2491,10714,10213,2581,7632
平成29,2017,0,13000,東京都,Tokyo-to,63,2314,10776,10080,2501,7579
平成29,2017,1,13100,区部,All ku,32,1791,7477,7063,1658,5405
平成29,2017,2,13101,千代田区,Chiyoda-ku,1,7,52,52,17,35
平成29,2017,2,13102,中央区,Chuo-ku,1,12,115,100,24,76
平成29,2017,2,13103,港区,Minato-ku,1,27,165,147,44,103
平成29,2017,2,13104,新宿区,Shinjuku-ku,1,86,302,297,65,232
平成29,2017,2,13105,文京区,Bunkyo-ku,1,21,146,144,39,105
平成29,2017,2,13106,台東区,Taito-ku,1,71,213,205,70,135
平成29,2017,2,13107,墨田区,Sumida-ku,1,66,211,188,51,137
平成29,2017,2,13108,江東区,Koto-ku,1,70,326,275,66,209
平成29,2017,2,13109,品川区,Shinagawa-ku,1,43,325,294,64,230
平成29,2017,2,13110,目黒区,Meguro-ku,1,27,231,219,37,182
平成29,2017,2,13111,大田区,Ota-ku,1,138,505,489,110,379
平成29,2017,2,13112,世田谷区,Setagaya-ku,5,87,636,600,77,523
平成29,2017,2,13113,渋谷区,Shibuya-ku,1,31,199,191,41,150
平成29,2017,2,13114,中野区,Nakano-ku,1,55,309,296,42,254
平成29,2017,2,13115,杉並区,Suginami-ku,1,69,432,391,79,312
平成29,2017,2,13116,豊島区,Toshima-ku,1,68,261,224,41,183
平成29,2017,2,13117,北区,Kita-ku,1,89,324,308,81,227
平成29,2017,2,13118,荒川区,Arakawa-ku,1,48,215,214,61,153
平成29,2017,2,13119,板橋区,Itabashi-ku,3,162,532,518,113,405
平成29,2017,2,13120,練馬区,Nerima-ku,4,129,576,566,136,430
平成29,2017,2,13121,足立区,Adachi-ku,1,210,563,532,161,371
平成29,2017,2,13122,葛飾区,Katsushika-ku,1,102,404,390,106,284
平成29,2017,2,13123,江戸川区,Edogawa-ku,1,173,435,423,133,290
平成29,2017,1,13200,市部,All shi,26,504,3100,2824,777,2047
平成29,2017,2,13201,八王子市,Hachioji-shi,1,57,452,449,147,302
平成29,2017,2,13202,立川市,Tachikawa-shi,1,37,158,155,47,108
平成29,2017,2,13203,武蔵野市,Musashino-shi,1,18,109,95,15,80
平成29,2017,2,13204,三鷹市,Mitaka-shi,1,27,127,112,21,91
平成29,2017,2,13205,青梅市,Ome-shi,1,19,151,143,67,76
平成29,2017,2,13206,府中市,Fuchu-shi,1,34,176,163,41,122
平成29,2017,2,13207,昭島市,Akishima-shi,1,15,85,84,22,62
平成29,2017,2,13208,調布市,Chofu-shi,1,23,163,152,68,84
平成29,2017,2,13209,町田市,Machida-shi,1,34,257,226,50,176
平成29,2017,2,13210,小金井市,Koganei-shi,1,12,84,63,8,55
平成29,2017,2,13211,小平市,Kodaira-shi,1,20,137,116,21,95
平成29,2017,2,13212,日野市,Hino-shi,1,18,133,132,35,97
平成29,2017,2,13213,東村山市,Higashimurayama-shi,1,23,119,85,12,73
平成29,2017,2,13214,国分寺市,Kokubunji-shi,1,9,79,75,22,53
平成29,2017,2,13215,国立市,Kunitachi-shi,1,9,57,48,10,38
平成29,2017,2,13218,福生市,Fussa-shi,1,9,52,46,16,30
平成29,2017,2,13219,狛江市,Komae-shi,1,10,58,52,11,41
平成29,2017,2,13220,東大和市,Higashiyamato-shi,1,15,60,60,18,42
平成29,2017,2,13221,清瀬市,Kiyose-shi,1,15,55,49,12,37
平成29,2017,2,13222,東久留米市,Higashikurume-shi,1,15,80,54,14,40
平成29,2017,2,13223,武蔵村山市,Musashimurayama-shi,1,13,62,60,20,40
平成29,2017,2,13224,多摩市,Tama-shi,1,20,112,88,20,68
平成29,2017,2,13225,稲城市,Inagi-shi,1,10,65,64,18,46
平成29,2017,2,13227,羽村市,Hamura-shi,1,7,52,46,10,36
平成29,2017,2,13228,あきる野市,Akiruno-shi,1,7,70,70,27,43
平成29,2017,2,13229,西東京市,Nishitokyo-shi,1,28,147,137,25,112
平成29,2017,1,13300,郡部,All gun,1,10,98,98,33,65
平成29,2017,1,13350,島部,All islands,4,9,101,95,33,62
,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,
18-11  地域別福祉事務所数及び民生委員数 （平成25～29年） 18-11  WELFARE OFFICES AND LOCAL WELFARE COMMISSIONERS (VOLUNTEERS) BY DISTRICT ( 2013-2017 ),,,,,,,,,,,
各年4月1日現在,,,,,,,,,,,
Figures are as of  Apr.1 of the year noted.,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,
