年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成28,2016,0,,総数,Total,103393,8653,94740,96071,91798,570,2183,1520,7322
平成29,2017,0,,総数,Total,104146,7321,96825,97291,93181,583,2243,1284,6855
平成29,2017,1,,別表第一審判事件総数,Total number of cases of adjudication of domestic relations stipulated in Appended Table 1 of the Domestic Relations Case Procedure Act,100715,6216,94499,95087,92049,309,1889,840,5628
平成29,2017,2,1,後見開始の審判及びその取消し,Adjudication on commencement of guardianship and rescission of such adjudication,4308,326,3982,4033,3886,22,44,81,275
平成29,2017,2,2,保佐開始の審判・取消しなど,Adjudication on commencement of curatorship， rescission of such adjudication， etc.,1932,208,1724,1720,1548,18,123,31,212
平成29,2017,2,3,補助開始の審判・取消しなど,Adjudication on commencement of assistance， rescission of such adjudication， etc.,666,68,598,594,518,13,52,11,72
平成29,2017,2,4,後見人等の選任,Appointment of a guardian， etc.,2163,79,2084,2092,2034,11,26,21,71
平成29,2017,3,,うち成年後見人の選任,(of which) Appointment of a guardian of an adult,682,14,668,662,642,6,7,7,20
平成29,2017,3,,うち成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of an adult,826,13,813,822,815,3,2,2,4
平成29,2017,3,,うち保佐人の選任,(of which) Appointment of a curator,96,11,85,87,79,-,3,5,9
平成29,2017,3,,うち保佐監督人の選任,(of which) Appointment of a supervisor for a curator,221,7,214,218,215,1,1,1,3
平成29,2017,3,,うち補助人の選任,(of which) Appointment of an assistant,37,1,36,34,32,-,-,2,3
平成29,2017,3,,うち補助監督人の選任,(of which) Appointment of a supervisor for the assistant,54,2,52,52,51,-,-,1,2
平成29,2017,3,,うち未成年後見人の選任,(of which) Appointment of a guardian of a minor,215,31,184,188,171,1,13,3,27
平成29,2017,3,,うち未成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of a minor,32,-,32,29,29,-,-,-,3
平成29,2017,2,5,離縁後の未成年後見人の選任,Appointment of a guardian of an adopted minor after dissolution of adoptive relation,-,-,-,-,-,-,-,-,-
平成29,2017,2,6,後見人等の辞任,Resignation of a guardian of an adult， etc.,1253,63,1190,1211,1182,-,11,18,42
平成29,2017,2,7,後見人等の解任,Dismissal of a guardian of an adult， etc.,84,19,65,72,10,44,11,7,12
平成29,2017,3,,うち職権によるもの,(of which) Dismissal by the family court's authority,20,6,14,18,9,-,5,4,2
平成29,2017,2,8,後見人の財産目録の作成の期間の伸長,Extension of the period for preparing an inventory of property by the guardian of an adult,-,-,-,-,-,-,-,-,-
平成29,2017,2,9,後見人等の権限行使についての定め及びその取消し,Determination of the exercise of authority of an adult guardian， etc. and rescission of such determination,632,5,627,625,623,-,-,2,7
平成29,2017,2,10,居住用不動産の処分についての許可,Permission for disposition of real property used for residence,1605,34,1571,1571,1501,2,62,6,34
平成29,2017,2,11,特別代理人の選任（利益相反行為）,Appointment of a special agent (for conflict of interest),1182,100,1082,1102,1045,1,51,5,80
平成29,2017,2,12,後見人等に対する報酬の付与,Remuneration to a guardian of an adult， etc.,21981,565,21416,21547,21515,6,25,1,434
平成29,2017,2,13,後見等監督処分,Supervisory disposition of guardianship， etc.,16258,1838,14420,14502,14239,-,1,262,1756
平成29,2017,3,,うち職権によるもの,(of which) Disposition by the family court's authority,16227,1829,14398,14476,14214,-,1,261,1751
平成29,2017,2,14,第三者が子等に与えた財産の管理者選任等,Appointment， etc. of a manager of property offered to a child， etc. by a third party,-,-,-,-,-,-,-,-,-
平成29,2017,2,15,後見終了に伴う管理計算の期間の伸長,Extension of the period of settlement of account at the end of guardianship,1,-,1,1,-,-,-,1,-
平成29,2017,2,16,臨時保佐人等の選任（利益相反行為）,Appointment of a temporary curator， etc. (for conflict of interest),15,1,14,13,12,-,1,-,2
平成29,2017,2,17,不在者の財産の管理に関する処分,Disposition regarding the administration of property of an absentee,1228,108,1120,1082,875,-,89,118,146
平成29,2017,2,18,失踪の宣告及びその取消し,Adjudication of disappearance and rescission of such adjudication,718,279,439,476,361,5,105,5,242
平成29,2017,2,19,夫婦の財産管理者変更・共有財産の分割,Change of an administrator of property under a Matrimonial Property Contract/division of property in co-ownership,-,-,-,-,-,-,-,-,-
平成29,2017,2,20,特別代理人の選任（嫡出否認）,Appointment of a special agent (rebuttal of presumption of a child in wedlock),-,-,-,-,-,-,-,-,-
平成29,2017,2,21,子の氏の変更についての許可,Permission for changing the surname of a child,12431,153,12278,12320,12251,10,28,31,111
