年次,Year,月次,Month,月間有効求職者数 Monthly active applications (A)／総数Total,月間有効求職者数 Monthly active applications (A)／男 Male,月間有効求職者数 Monthly active applications (A)／女 Female,新規求職申込件数 New applications (B)／総数Total,新規求職申込件数 New applications (B)／男Male,新規求職申込件数 New applications (B)／女 Female,月間有効求人数 Monthly active job openings (C),新規求人数 New job openings (D),就職件数 Persons who found employment (E)／総数Total,就職件数 Persons who found employment (E)／男 Male,就職件数 Persons who found employment (E)／女Female,充足数 Sufficiency (F),充足数 Sufficiency (F)／うち他県から of which from other prefectures,有効求人倍率 Active job openings-to-applicants ratio (C／A),就職率 Ratio of persons who found employment  (E／B) (%),充足率 Sufficiency ratio (F／D) (%)
平成25,2013,,,2010075,1151248,855000,430618,242591,187136,2262221,811420,90576,56170,34296,123413,49008,1.13,21,15.2
平成26,2014,,,1836846,1034045,799676,398026,220619,176742,2426613,854055,89639,54557,34988,120996,47277,1.32,22.5,14.2
平成27,2015,,,1723155,963437,756669,375066,205918,168465,2529484,884579,87251,52567,34580,117482,45137,1.47,23.3,13.3
平成28,2016,,,1591553,886855,702142,345103,188138,156451,2706676,941433,78919,46358,32485,109859,44452,1.7,22.9,11.7
平成29,2017,,,1528462,839293,686080,334248,178533,155028,2761341,957021,72211,42023,30100,101300,41625,1.807,21.6,10.6
平成29,2017,1,Jan.,121851,67785,53884,30278,15967,14269,228904,82318,5351,3240,2104,7206,2763,1.879,17.7,8.8
平成29,2017,2,Feb.,125550,69128,56235,29069,15394,13635,235009,82467,5937,3374,2560,8488,3468,1.872,20.4,10.3
平成29,2017,3,Mar.,131679,72336,59129,30767,16541,14171,238218,82568,6281,3573,2706,9826,4625,1.809,20.4,11.9
平成29,2017,4,Apr.,135701,74343,61121,34182,18002,16122,228705,75536,6719,3857,2854,9364,3904,1.685,19.7,12.4
平成29,2017,5,May,135684,74251,61166,29182,15619,13504,221322,73171,6410,3757,2646,8882,3635,1.631,22,12.1
平成29,2017,6,June,131458,72082,59122,28305,15173,13078,223755,82903,6432,3751,2669,8878,3595,1.702,22.7,10.7
平成29,2017,7,July,128478,70310,57909,26365,14122,12177,223432,75343,6021,3481,2535,8280,3312,1.739,22.8,11
平成29,2017,8,Aug.,127362,69508,57562,26898,14301,12525,227836,78089,5741,3329,2405,8058,3271,1.789,21.3,10.3
平成29,2017,9,Sept.,125880,68669,56907,26702,14224,12403,228225,82255,6130,3556,2562,8523,3440,1.813,23,10.4
平成29,2017,10,Oct.,127020,69580,57135,27874,15162,12652,235472,83982,6162,3669,2484,8535,3475,1.854,22.1,10.2
平成29,2017,11,Nov.,122543,67445,54791,23926,12935,10925,236316,78388,5691,3325,2359,7823,3132,1.928,23.8,10
平成29,2017,12,Dec.,115256,63856,51119,20700,11093,9567,234147,80001,5336,3111,2216,7437,3005,2.032,25.8,9.3
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-1  一般職業紹介状況 (平成25～29年) 7-1  EMPLOYMENT REFERRALS FOR GENERAL WORKERS ( 2013-2017 ),,,,,,,,,,,,,,,,,,,
「一般」とは常用労働者，臨時労働者及び季節労働者の計をいう。 ただし 「新規学卒」と「パートタイム」は除く。,,,,,,,,,,,,,,,,,,,
“General workers”  refer to the regular， casual and seasonal workers， excluding new school graduates and part-timers.,,,,,,,,,,,,,,,,,,,
注) 求職申込書における「性別」欄の記載が任意になったことに伴い，男女別の合計は総数と必ずしも一致しない。,,,,,,,,,,,,,,,,,,,
Note: Total figures may not always equal the combined number of men and women because specification of gender on the application has become voluntary.,,,,,,,,,,,,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau,,,,,,,,,,,,,,,,,,,
