年次,Year,区分階層,項番Itemnumber,種類,Kind,受理Received／総数Total,受理Received／旧受Previouslyreceived,受理Received／新受Newlyreceived,既済Disposed／総数Total,既済Disposed／調停成立Successfulconciliation,既済Disposed／調停不成立Unsuccessfulconciliation,既済Disposed／取下Withdrawal,既済Disposed／合意に相当する審判Adjudicationequivalenttoagreement,既済Disposed／調停に代わる審判Adjudicationinlieuofconciliation,既済Disposed／調停をしないものNon-conciliation,既済Disposed／その他Others,未済Pending,異議Objection／合意に相当する審判Adjudicationequivalenttoagreement,異議Objection／調停に代わる審判Adjudicationinlieuofconciliation
平成28,2016,0,,総数,Total,"23,415","7,888","15,527","15,506","8,049","3,255","2,656",294,679,138,435,"7,909",1,151
平成29,2017,0,,総数,Total,"23,558","7,907","15,651","15,163","7,539","3,225","2,816",230,738,141,474,"8,395",5,120
平成29,2017,1,,別表第二調停事件総数,TotalnumberofdomesticrelationsconciliationcasesstipulatedinAppendedTable2oftheDomesticRelationsCaseProcedureAct,"13,697","4,820","8,877","8,542","4,809","1,075","1,616",-,607,80,355,"5,155",-,117
平成29,2017,2,1,夫婦の同居・協力扶助,Cohabitation，cooperation，andmutualassistancebetweenhusbandandwife,28,11,17,21,-,6,9,-,1,1,4,7,-,-
平成29,2017,2,2,婚姻費用の分担,Sharingoflivingexpensesarisingfrommarriage,"3,974","1,171","2,803","2,760","1,693",301,516,-,138,10,102,"1,214",-,47
平成29,2017,2,3,子の監護者の指定その他の処分,Designationofachildcustodianandotherdispositions,"5,086","1,695","3,391","3,181","1,717",498,586,-,158,37,185,"1,905",-,50
平成29,2017,3,,うち監護者の指定,(ofwhich)Designationofachildcustodian,402,126,276,257,80,59,82,-,5,3,28,145,-,1
平成29,2017,3,,うち養育費請求,(ofwhich)Claimforchildsupportpayments,"1,905",525,"1,380","1,319",824,163,169,-,96,16,51,586,-,25
平成29,2017,3,,うち面会交流,(ofwhich)Visitationandcontacts,"2,481",956,"1,525","1,417",780,228,266,-,55,16,72,"1,064",-,24
平成29,2017,3,,うち子の引渡し,(ofwhich)Surrenderofchildcustody,288,87,201,184,33,48,67,-,2,2,32,104,-,-
平成29,2017,2,4,財産の分与に関する処分,Dispositionregardingthedistributionofproperty,326,123,203,188,116,24,36,-,7,-,5,138,-,4
平成29,2017,2,5,祭祀の承継者の指定,Appointmentofasuccessorofrightsrelatingtorituals,37,15,22,28,7,9,5,-,4,-,3,9,-,1
平成29,2017,2,6,離縁後の親権者の指定,Designationofpersonwhoistohaveparentalauthorityupondissolutionofadoptiverelationship,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29,2017,2,7,親権者の指定又は変更,Designationorchangeofpersonhavingparentalauthority,609,152,457,458,273,46,95,-,32,2,10,151,-,4
平成29,2017,2,8,扶養に関する処分,Dispositiononsupport,124,44,80,92,29,24,25,-,4,4,6,32,-,-
