年度末,End of fiscal year,地域階層,地域コード,地域,District,合計 Total／計 Total,合計 Total／計 Total／全部支給 Full payment,合計 Total／計 Total／一部支給 Partial payment,合計 Total／停止 Discontinued,都道府県知事支給対象者 Covered by Prefecture／計 Total,都道府県知事支給対象者 Covered by Prefecture／計 Total／全部支給 Full payment,都道府県知事支給対象者 Covered by Prefecture／計 Total／一部支給 Partial payment,都道府県知事支給対象者 Covered by Prefecture／停止 Discontinued,国支給対象者 Covered by the State／計 Total,国支給対象者 Covered by the State／計 Total／全部支給 Full payment,国支給対象者 Covered by the State／計 Total／一部支給 Partial payment,国支給対象者 Covered by the State／停止 Discontinued
平成25,2013,0,13000,東京都,Tokyo-to,83615,47200,36415,14914,83613,47200,36413,14913,2,-,2,1
平成26,2014,0,13000,東京都,Tokyo-to,82150,45539,36611,15222,82147,45539,36608,15222,3,-,3,-
平成27,2015,0,13000,東京都,Tokyo-to,80493,43410,37083,16120,80491,43410,37081,16119,2,-,2,1
平成28,2016,0,13000,東京都,Tokyo-to,77399,40801,36598,16721,77399,40801,36598,16720,-,-,-,1
平成29,2017,0,13000,東京都,Tokyo-to,74679,38002,36677,17551,74678,38002,36676,17551,1,-,1,-
平成29,2017,1,13100,区部,All ku,48904,24963,23941,11974,48903,24963,23940,11974,1,-,1,-
平成29,2017,2,13101,千代田区,Chiyoda-ku,200,88,112,89,199,88,111,89,1,-,1,-
平成29,2017,2,13102,中央区,Chuo-ku,627,315,312,189,627,315,312,189,-,-,-,-
平成29,2017,2,13103,港区,Minato-ku,1023,549,474,358,1023,549,474,358,-,-,-,-
平成29,2017,2,13104,新宿区,Shinjuku-ku,1487,815,672,358,1487,815,672,358,-,-,-,-
平成29,2017,2,13105,文京区,Bunkyo-ku,635,296,339,316,635,296,339,316,-,-,-,-
平成29,2017,2,13106,台東区,Taito-ku,1007,540,467,228,1007,540,467,228,-,-,-,-
平成29,2017,2,13107,墨田区,Sumida-ku,1653,856,797,394,1653,856,797,394,-,-,-,-
平成29,2017,2,13108,江東区,Koto-ku,2868,1412,1456,753,2868,1412,1456,753,-,-,-,-
平成29,2017,2,13109,品川区,Shinagawa-ku,1635,704,931,594,1635,704,931,594,-,-,-,-
平成29,2017,2,13110,目黒区,Meguro-ku,937,451,486,309,937,451,486,309,-,-,-,-
平成29,2017,2,13111,大田区,Ota-ku,3526,1710,1816,1010,3526,1710,1816,1010,-,-,-,-
平成29,2017,2,13112,世田谷区,Setagaya-ku,2994,1461,1533,1046,2994,1461,1533,1046,-,-,-,-
平成29,2017,2,13113,渋谷区,Shibuya-ku,803,434,369,194,803,434,369,194,-,-,-,-
平成29,2017,2,13114,中野区,Nakano-ku,1199,586,613,296,1199,586,613,296,-,-,-,-
平成29,2017,2,13115,杉並区,Suginami-ku,1732,789,943,577,1732,789,943,577,-,-,-,-
平成29,2017,2,13116,豊島区,Toshima-ku,1211,599,612,285,1211,599,612,285,-,-,-,-
平成29,2017,2,13117,北区,Kita-ku,1816,912,904,327,1816,912,904,327,-,-,-,-
平成29,2017,2,13118,荒川区,Arakawa-ku,1317,671,646,306,1317,671,646,306,-,-,-,-
平成29,2017,2,13119,板橋区,Itabashi-ku,3649,1946,1703,704,3649,1946,1703,704,-,-,-,-
平成29,2017,2,13120,練馬区,Nerima-ku,3984,2074,1910,961,3984,2074,1910,961,-,-,-,-
平成29,2017,2,13121,足立区,Adachi-ku,5927,3137,2790,996,5927,3137,2790,996,-,-,-,-
平成29,2017,2,13122,葛飾区,Katsushika-ku,3392,1810,1582,720,3392,1810,1582,720,-,-,-,-
平成29,2017,2,13123,江戸川区,Edogawa-ku,5282,2808,2474,964,5282,2808,2474,964,-,-,-,-
平成29,2017,1,13200,市部,All shi,25095,12710,12385,5407,25095,12710,12385,5407,-,-,-,-
平成29,2017,2,13201,八王子市,Hachioji-shi,3952,2024,1928,861,3952,2024,1928,861,-,-,-,-
平成29,2017,2,13202,立川市,Tachikawa-shi,1271,634,637,221,1271,634,637,221,-,-,-,-
平成29,2017,2,13203,武蔵野市,Musashino-shi,433,193,240,130,433,193,240,130,-,-,-,-
平成29,2017,2,13204,三鷹市,Mitaka-shi,774,362,412,176,774,362,412,176,-,-,-,-
平成29,2017,2,13205,青梅市,Ome-shi,1065,535,530,244,1065,535,530,244,-,-,-,-
平成29,2017,2,13206,府中市,Fuchu-shi,1534,778,756,325,1534,778,756,325,-,-,-,-
平成29,2017,2,13207,昭島市,Akishima-shi,896,458,438,140,896,458,438,140,-,-,-,-
平成29,2017,2,13208,調布市,Chofu-shi,1066,487,579,285,1066,487,579,285,-,-,-,-
平成29,2017,2,13209,町田市,Machida-shi,2889,1574,1315,593,2889,1574,1315,593,-,-,-,-
平成29,2017,2,13210,小金井市,Koganei-shi,357,144,213,86,357,144,213,86,-,-,-,-
平成29,2017,2,13211,小平市,Kodaira-shi,1018,520,498,248,1018,520,498,248,-,-,-,-
平成29,2017,2,13212,日野市,Hino-shi,930,458,472,223,930,458,472,223,-,-,-,-
平成29,2017,2,13213,東村山市,Higashimurayama-shi,1033,546,487,218,1033,546,487,218,-,-,-,-
平成29,2017,2,13214,国分寺市,Kokubunji-shi,402,189,213,90,402,189,213,90,-,-,-,-
平成29,2017,2,13215,国立市,Kunitachi-shi,381,180,201,92,381,180,201,92,-,-,-,-
