年度,Fiscal year,地域階層,地域コード,地域,District,ポンプ所揚水量 Water pumped at pumping station／総数 Total 1) (1000 m3),ポンプ所揚水量 Water pumped at pumping station／中継送水量 Water relayed (1000 m3),ポンプ所揚水量 Water pumped at pumping station／放水量 Water discharged (1000 m3),下水処理量 Treated sewage (1000 m3),汚泥量 Sludge (1000 m3),脱水汚泥量 Dehydrated sludge (t),汚泥焼却量 Incinerated sludge (t),処理区域面積 Sewage treatment area (ha)
平成27,2015,0,13000,総数,Tokyo-to,808798,724276,81294,2022111,73063,1191583,1162667,96842
平成28,2016,0,13000,総数,Tokyo-to,788855,714591,71061,1989012,74124,1202565,1162195,97724
平成29,2017,0,13000,総数,Tokyo-to,790987,724908,63314,1989075,74640,1231568,1192227,97681
平成29,2017,1,13100,区部,All ku,789101,723022,63314,1633879,60224,962718,923377,56227
平成29,2017,2,,流域下水道,Regional sewerage system,1886,1886,-,355196,14416,268850,268850,41454
,,,,,,,,,,,,,
6-9  下 水 の 処 理 状 況 （平成27～29年度） ,,,,,,,,,,,,,
6-9  SEWAGE TREATMENT ( Fiscal Years 2015-2017 ) ,,,,,,,,,,,,,
"この表は都下水道局の事業実績である。              　　Data here are business figures of the Bureau of Sewerage,TMG.",,,,,,,,,,,,,
注 1) 総数には，雨水貯留量も含む。 ,,,,,,,,,,,,,
2) 流域下水道 「野川処理区」 の下水は，森ヶ崎水再生センター （区部） へ導入している。                 a) Regional sewerage system ,,,,,,,,,,,,,
Note: 1) Includes volume of stored rainwater.　 ,,,,,,,,,,,,,
"2) Sewage of the regional sewerage system ""Nogawa treatment district"" is sent to Morigasaki Water Reclamation Center (all ku). ",,,,,,,,,,,,,
"資料：都下水道局総務部広報サービス課      Source: Bureau of Sewerage,TMG",,,,,,,,,,,,,
