年度,Fiscal year,被保険者数 Insured persons／総数 Total 1),被保険者数 Insured persons／男子 Male 1),被保険者数 Insured persons／女子 Female 1),被扶養者数 Dependents／総数 Total 1),被扶養者数 Dependents／男子 Male 1),被扶養者数 Dependents／女子 Female 1),保険給付費 Insurance benefits／件数 Cases,保険給付費 Insurance benefits／給付費 Benefits,医療給付費 Medical care benefits／件数 Cases,医療給付費 Medical care benefits／給付費 Benefits,医療費 Medical care expense,その他の現金給付費 Other cash  benefits／件数 Cases,その他の現金給付費 Other cash  benefits／給付費  Benefits,診療費 Consultation fees／件数 Cases,診療費 Consultation fees／給付費  Benefits,診療費 Consultation fees／医療費 Medical care expenses,薬剤支給 Prescription drugs benefits／件数 Cases,薬剤支給 Prescription drugs benefits／給付費 Benefits,薬剤支給 Prescription drugs benefits／医療費 Medical care expenses
平成27,2015,5577,5276,301,2561,729,1832,5627,76663,5582,69897,88735,45,6767,3381,50048,64044,1856,16200,21139
平成28,2016,5778,5461,317,2526,723,1803,5223,66208,5196,58340,76084,27,7868,3132,43853,56387,1765,11591,16207
平成29,2017,4319,4069,250,1577,487,1090,1369,19938,1353,14770,19345,16,5168,828,10968,13961,430,3101,4354
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,
"18-8医療保険　(3)  法第3条第2項被保険者分　a適用状況(平成27～29年度）　18-8  HEALTH INSURANCE　(3)  PERSONS INSURED UNDER ARTICLE  3, CLAUSE 2 OF THE HEALTH INSURANCE ACT　a  COVERAGE  ( Fiscal Years 2015-2017 )",,,,,,,,,,,,,,,,,,,,
各年度3月分の数値である。,,,,,,,,,,,,,,,,,,,,
Figures for March of each fiscal year. ,,,,,,,,,,,,,,,,,,,,
3月末現在の数値である。,,,,,,,,,,,,,,,,,,,,
Figures are as of the end of March of each year.,,,,,,,,,,,,,,,,,,,,
資料：全国健康保険協会 Source: Japan Health Insurance Association,,,,,,,,,,,,,,,,,,,,
（単位　金額　千円） (Value in thousands of yen),,,,,,,,,,,,,,,,,,,,
