項目階層,項目,Item,平成27年度 Fiscal year 2015／実数 Value,平成27年度 Fiscal year 2015／構成比 Percentage Distribution (%),平成27年度 Fiscal year 2015／対前年度増加率 Percent changes from previous fiscal year (%),平成28年度 Fiscal year 2016／実数 Value,平成28年度 Fiscal year 2016／構成比 Percentage Distribution (%),平成28年度 Fiscal year 2016／対前年度増加率 Percent changes from previous fiscal year (%)
0,都民雇用者報酬,Prefectural compensation of employees,37014.4,49.9,0.7,38242,52.4,3.3
1,賃金・俸給,Wages and salaries,30057.4,40.5,0.2,31096.6,42.6,3.5
1,雇主の社会負担,Employers' social contributions,6957,9.4,3.2,7145.3,9.8,2.7
3,雇主の現実社会負担,Employers' actual social contributions,7168.1,9.7,2.4,7264.1,10,1.3
3,雇主の帰属社会負担,Employers' imputed social contributions,-211.1,-0.3,18.7,-118.8,-0.2,43.8
0,財産所得 (非企業部門）,Property income (unincorporated enterprises),8448.6,11.4,5.4,8100,11.1,-4.1
3,受取,Receivable,11399.8,15.4,5.1,11154.7,15.3,-2.1
3,支払,Payable,2951.2,4,4.3,3054.7,4.2,3.5
1,一般政府,General government,-197.3,-0.3,-124.4,-543.7,-0.7,-175.6
3,受取,Receivable,2629.2,3.5,-0.1,2388.1,3.3,-9.2
3,支払,Payable,2826.5,3.8,3.9,2931.8,4,3.7
1,家計,Households,8606.3,11.6,6.7,8607.6,11.8,0
2,利子,Interest,1195.1,1.6,35.6,1360.9,1.9,13.9
3,受取,Receivable,1313.3,1.8,33.4,1477.1,2,12.5
3,支払 (消費者負債利子),Payable (consumer debt interest),118.2,0.2,14.6,116.2,0.2,-1.7
2,配当 (受取）,Dividends， receivable,2604.8,3.5,4.2,2655.9,3.6,2
2,その他の投資所得 (受取),Other investment income， receivable,2949.5,4,1.4,2914.3,4,-1.2
2,賃貸料 (受取),Rent， receivable,1857,2.5,4.6,1676.5,2.3,-9.7
1,対家計民間非営利団体,Private non-profit institutions serving households,39.6,0.1,-6,36,0,-8.9
3,受取,Receivable,46,0.1,-6.7,42.8,0.1,-6.9
3,支払,Payable,6.4,0,-11.2,6.8,0,5.3
0,企業所得 (企業部門の第1次所得バランス）,Entrepreneurial income (primary income balance),28687.9,38.7,4.3,26608.2,36.5,-7.2
1,民間法人企業,Private corporations,20789.4,28,7.6,19267.5,26.4,-7.3
1,公的企業,Public corporations,2684.6,3.6,-12.2,2351.8,3.2,-12.4
1,個人企業,Private unincorporated enterprises ,5213.8,7,1.8,4988.9,6.8,-4.3
3,農林水産業,Agriculture， forestry and fishing,9.5,0,57.5,6,0,-37.1
3,その他の産業 (非農林水・非金融),Others,1778.8,2.4,4.4,1488.3,2,-16.3
3,持ち家,Imputed service of owner-occupied dwellings,3425.5,4.6,0.4,3494.5,4.8,2
0,都民所得（要素費用表示）,Prefectural income(at factor cost),74150.9,100,2.6,72950.1,100,-1.6
0,生産・輸入品に課される税 (控除) 補助金,Taxes on production and imports less subsidies,5279.2,7.1,6,5474.3,7.5,3.7
0,都民所得 (市場価格表示),Prefectural income (at market prices),79430.1,107.1,2.8,78424.4,107.5,-1.3
,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-3  都民所得の分配 (名目) (平成27，28年度) 16-3  DISTRIBUTION OF PREFECTURAL INCOME (AT CURRENT PRICES) ( Fiscal Years 2015 and 2016),,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」Source: Bureau of General Affairs， TMG,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,
項目階層（0:大項目　1:中項目　2:小項目　3:項目）,,,,,,,,
