年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Ku assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成27,2015,13100,,区部,All ku,3504316,19583,491524,1774099,255987,7127,1050,44795,330450,25882,464425,144,88921,331
平成28,2016,13100,,区部,All ku,3602555,18275,445784,1855631,262474,7551,1124,41684,368332,36473,493770,191,70584,682
平成29,2017,13100,,区部,All ku,3657974,18076,433636,1912510,259938,7129,1361,42057,328577,68955,514293,3,68889,2550
平成29,2017,13101,1,千代田区,Chiyoda-ku,50774,577,10414,15835,4503,110,-,1597,7625,467,9266,-,379,-
平成29,2017,13102,2,中央区,Chuo-ku,102457,609,10544,29372,6325,183,47,3300,22298,457,28433,-,889,-
平成29,2017,13103,3,港区,Minato-ku,174731,742,16985,62640,10932,263,-,1904,12178,43373,24948,-,765,-
平成29,2017,13104,4,新宿区,Shinjuku-ku,139073,755,17981,77906,12921,1082,-,2066,9234,1604,13258,-,2265,-
平成29,2017,13105,5,文京区,Bunkyo-ku,87002,693,11193,40517,7179,133,-,533,6650,885,17883,-,1336,-
平成29,2017,13106,6,台東区,Taito-ku,95356,630,8558,53106,7718,182,-,3715,6028,1121,12494,-,1805,-
平成29,2017,13107,7,墨田区,Sumida-ku,109949,637,12161,63088,7527,151,-,1700,7759,752,13499,-,2674,-
平成29,2017,13108,8,江東区,Koto-ku,196936,866,32628,97167,13948,175,-,926,8131,1282,39676,-,2137,-
平成29,2017,13109,9,品川区,Shinagawa-ku,161972,804,15144,74429,11418,808,-,2036,32006,1592,21926,3,1807,-
平成29,2017,13110,10,目黒区,Meguro-ku,89056,708,12582,45841,8301,221,7,690,5595,530,11845,-,2736,-
平成29,2017,13111,11,大田区,Ota-ku,245044,1051,26172,140060,17713,96,17,3677,22729,1533,27509,-,4486,-
平成29,2017,13112,12,世田谷区,Setagaya-ku,294120,994,44305,146154,21029,239,262,1499,31992,1022,40187,-,6438,-
平成29,2017,13113,13,渋谷区,Shibuya-ku,90944,738,16791,46837,7604,156,-,562,6676,746,9239,-,1596,-
平成29,2017,13114,14,中野区,Nakano-ku,122085,854,17411,62883,8601,73,2,665,11880,764,11691,-,7262,-
平成29,2017,13115,15,杉並区,Suginami-ku,185236,907,26541,101350,13897,918,132,1741,13590,1220,22534,-,2406,-
平成29,2017,13116,16,豊島区,Toshima-ku,115150,677,14834,63498,7574,81,-,1165,11704,1054,11764,-,2800,-
平成29,2017,13117,17,北区,Kita-ku,138540,770,14245,78413,8742,209,0,2712,9319,1031,19954,-,3145,-
平成29,2017,13118,18,荒川区,Arakawa-ku,91740,604,10370,51877,6763,128,-,1884,7044,570,10558,-,1942,-
平成29,2017,13119,19,板橋区,Itabashi-ku,207190,906,20580,122405,15094,151,142,1206,16705,537,25332,-,4131,-
平成29,2017,13120,20,練馬区,Nerima-ku,245494,975,20017,145035,18630,679,438,1736,18827,1443,32420,-,5294,-
平成29,2017,13121,21,足立区,Adachi-ku,271293,903,18623,159040,15187,385,95,1589,18919,855,49509,-,6187,-
平成29,2017,13122,22,葛飾区,Katsushika-ku,192799,782,22732,99465,11599,457,48,3768,21256,1478,24410,-,4254,2550
平成29,2017,13123,23,江戸川区,Edogawa-ku,251036,896,32824,135592,16734,248,171,1386,20430,4641,35958,-,2155,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (2) 歳出 (平成27～29年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (2) EXPENDITURE ( Fiscal Years 2015-2017 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
