大項目,Major item,項番 Item number,項目,Item,平成18年度 FY 2006,平成19年度 FY 2007,平成20年度 FY 2008,平成21年度 FY 2009,平成22年度 FY 2010,平成23年度 FY 2011,平成24年度 FY 2012,平成25年度 FY 2013,平成26年度 FY 2014,平成27年度 FY 2015,平成28年度 FY 2016
名目,At current prices,1,都内総生産 (生産側及び支出側),Gross prefectural domestic product (production and expenditure approach),105899.7,107027.2,103728.6,98080.5,98233.5,100379.7,100419.1,101933.8,102528.4,104770.3,105450.7
名目,At current prices,2,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,1.1,-3.1,-5.4,0.2,2.2,0,1.5,0.6,2.2,0.6
名目,At current prices,3,国内総生産 (生産側及び支出側),Gross domestic product (production and expenditure approach),529076.6,530997.3,509465.8,492070.4,499281,494017.2,494478,507246,518468.5,533904.4,539254.3
名目,At current prices,4,国内総生産 (生産側及び支出側) (増加率),Gross domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,0.4,-4.1,-3.4,1.5,-1.1,0.1,2.6,2.2,3,1
名目,At current prices,5,国に対する都の構成比,Tokyo's percentage,20,20.2,20.4,19.9,19.7,20.3,20.3,20.1,19.8,19.6,19.6
実質 (連鎖方式),Real (Chain-linked),6,都内総生産 (生産側及び支出側),Gross prefectural domestic product (production and expenditure approach),101803.2,102998.3,100062.1,96428,97460.7,100394.2,101458.9,103479.7,101949.6,104050.2,104688.5
実質 (連鎖方式),Real (Chain-linked),7,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,1.2,-2.9,-3.6,1.1,3,1.1,2,-1.5,2.1,0.6
実質 (連鎖方式),Real (Chain-linked),8,国内総生産 (支出側),Gross domestic product (expenditure approach),499473.9,505496.4,488067.8,477533.2,492892.1,495242.8,499434.1,512522.5,510941.9,518337.2,524397.2
実質 (連鎖方式),Real (Chain-linked),9,国内総生産 (支出側) (増加率),Gross domestic product (expenditure approach) (Percent changes from previous fiscal year),-,1.2,-3.4,-2.2,3.2,0.5,0.8,2.6,-0.3,1.4,1.2
実質 (連鎖方式),Real (Chain-linked),10,国に対する都の構成比,Tokyo's percentage,20.4,20.4,20.5,20.2,19.8,20.3,20.3,20.2,20,20.1,20
名目,At current prices,11,都民総所得 ,Gross prefectural income,98266.8,98816.3,92877.8,87321.8,88603.7,90411.6,90513.4,93644.4,95440.7,97954.1,97056.5
名目,At current prices,12,都民総所得 (増加率),Gross prefectural income (Percent changes from previous fiscal year),-,0.6,-6,-6,1.5,2,0.1,3.5,1.9,2.6,-0.9
名目,At current prices,13,国民総所得,Gross national income,543657.1,547021.4,521596.5,504395.4,512534.6,507624.1,508188.2,524695.8,537649.3,554174.8,556280.9
名目,At current prices,14,国民総所得 (増加率),Gross national income (Percent changes from previous fiscal year),-,0.6,-4.6,-3.3,1.6,-1,0.1,3.2,2.5,3.1,0.4
名目,At current prices,15,国に対する都の構成比,Tokyo's percentage,18.1,18.1,17.8,17.3,17.3,17.8,17.8,17.8,17.8,17.7,17.4
名目,At current prices,16,都民所得 ,Prefectural income,76164,76172.1,70311.2,65179.7,67044.6,68823.8,69033.6,71833.9,72261,74150.9,72950.1
名目,At current prices,17,都民所得 (増加率),Prefectural income (Percent changes from previous fiscal year),-,0,-7.7,-7.3,2.9,2.7,0.3,4.1,0.6,2.6,-1.6
名目,At current prices,18,国民所得,National income,392351.3,392297.9,363991.3,353422.2,361924.1,358402.9,359826.7,374218.9,379186.8,390305,391715.6
名目,At current prices,19,国民所得 (増加率),National income (Percent changes from previous fiscal year),-,0,-7.2,-2.9,2.4,-1,0.4,4,1.3,2.9,0.4
名目,At current prices,20,国に対する都の構成比,Tokyo's percentage,19.4,19.4,19.3,18.4,18.5,19.2,19.2,19.2,19.1,19,18.6
,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,,,,,,,,
16-4 都内総生産と国内総生産等の時系列比較 (平成18～28年度） 16-4 TIME-SERIES COMPARISON OF GROSS PREFECTURAL DOMESTIC PRODUCT，GROSS DOMESTIC PRODUCT， ETC.( Fiscal Years 2006-2016 ),,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
（単位  金額 10 億円，%）(Value in billions of yen， %),,,,,,,,,,,,,,,
