年度末,End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1)
平成26,2014,0,13000,総数,Tokyo-to,,549671,255563,484,3890,25771,21523,9863,60,1123,64202,167192
平成27,2015,0,13000,総数,Tokyo-to,,545524,255620,468,3875,22587,21595,9274,60,1143,63622,167280
平成28,2016,0,13000,総数,Tokyo-to,,538881,253622,451,3875,17571,21842,8747,60,1133,64949,166631
平成29,2017,0,13000,総数,Tokyo-to,,530227,251693,446,3875,13872,21809,7937,60,1133,65169,164241
平成29,2017,1,13100,区部,All ku,,330889,161771,51,1907,11484,14048,7383,26,1057,32650,100520
平成29,2017,2,13101,千代田区,Chiyoda-ku,,1395,292,-,14,8,424,313,-,144,150,50
平成29,2017,2,13102,中央区,Chuo-ku,,8636,1453,-,-,345,130,1190,-,75,479,4964
平成29,2017,2,13103,港区,Minato-ku,,10191,4825,-,175,420,323,697,-,-,859,2892
平成29,2017,2,13104,新宿区,Shinjuku-ku,,9406,7107,-,4,134,991,508,-,-,311,351
平成29,2017,2,13105,文京区,Bunkyo-ku,,1850,557,-,1,145,225,199,-,-,264,459
平成29,2017,2,13106,台東区,Taito-ku,,1819,921,-,-,283,196,260,-,-,-,159
平成29,2017,2,13107,墨田区,Sumida-ku,,11625,6554,-,122,869,388,318,-,61,269,3044
平成29,2017,2,13108,江東区,Koto-ku,,44631,20024,-,352,1269,570,78,-,-,5608,16730
平成29,2017,2,13109,品川区,Shinagawa-ku,,10254,3440,-,27,266,409,1136,-,147,735,4094
平成29,2017,2,13110,目黒区,Meguro-ku,,2670,660,-,119,196,697,218,-,-,-,780
平成29,2017,2,13111,大田区,Ota-ku,,14053,6370,26,94,939,1663,607,-,-,1395,2959
平成29,2017,2,13112,世田谷区,Setagaya-ku,,18680,5906,-,1,213,1453,499,-,-,4837,5771
平成29,2017,2,13113,渋谷区,Shibuya-ku,,3786,2386,-,-,32,552,95,-,-,130,591
平成29,2017,2,13114,中野区,Nakano-ku,,5376,2228,-,12,307,567,91,-,20,1949,202
平成29,2017,2,13115,杉並区,Suginami-ku,,6065,3092,-,3,132,1176,136,-,-,666,860
平成29,2017,2,13116,豊島区,Toshima-ku,,3330,1336,-,-,70,380,142,-,85,146,1171
平成29,2017,2,13117,北区,Kita-ku,5),28359,13130,-,76,509,872,152,-,8,1011,12609
平成29,2017,2,13118,荒川区,Arakawa-ku,,6571,4070,-,131,435,86,243,-,-,85,1521
平成29,2017,2,13119,板橋区,Itabashi-ku,,26670,11077,21,30,742,664,282,-,-,2728,11126
平成29,2017,2,13120,練馬区,Nerima-ku,,22107,12243,-,98,1148,889,71,26,-,1642,5990
平成29,2017,2,13121,足立区,Adachi-ku,,46405,29530,-,411,1065,764,77,-,73,2240,12245
平成29,2017,2,13122,葛飾区,Katsushika-ku,,20549,11836,4,54,905,564,51,-,240,116,6779
平成29,2017,2,13123,江戸川区,Edogawa-ku,,26461,12734,-,183,1052,65,20,-,204,7030,5173
平成29,2017,1,13200,市部,All shi,,196531,88944,0,1951,2388,6502,396,34,76,32519,63721
平成29,2017,2,13201,八王子市,Hachioji-shi,,24620,10695,0,608,428,1374,0,0,0,3197,8318
平成29,2017,2,13202,立川市,Tachikawa-shi,,12406,5070,0,58,418,545,5,0,0,1352,4958
平成29,2017,2,13203,武蔵野市,Musashino-shi,,4414,1966,0,2,110,199,105,0,0,0,2032
平成29,2017,2,13204,三鷹市,Mitaka-shi,,6873,3824,0,85,123,129,16,0,0,0,2696
