年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B/A) Coverage rate (%) 
平成25,2013,0,13000,,東京都,Tokyo-to,,13323735,139,13541730,13323644,1561863,6,13342750,13271120,1559142,11,23380,17153,2721,122,175600,35371,100
平成26,2014,0,13000,,東京都,Tokyo-to,,13430906,140,13524711,13430880,1558228,6,13354550,13376516,1555722,10,23380,16885,2506,124,146781,37479,100
平成27,2015,0,13000,,東京都,Tokyo-to,,13575092,138,13701126,13574649,1567917,6,13531550,13534493,1565331,10,23110,16621,2586,122,146466,23535,100
平成28,2016,0,13000,,東京都,Tokyo-to,,13687380,139,13673270,13686955,1567906,6,13531550,13647092,1565350,10,23110,16383,2556,123,118610,23480,100
平成29,2017,0,13000,,東京都,Tokyo-to,,13785221,130,13723846,13784800,1579458,6,13538380,13750775,1577576,8,16280,12434,1882,116,169186,21591,100
平成29,2017,1,13100,,区部,All ku,,9508776,11,13211391,9508776,1538223,1,13190000,9499909,1538223,0,0,0,0,10,21391,8867,100
平成29,2017,1,13200,,市部,All shi,,4193464,104,473595,4193287,36595,3,325800,4180563,36595,0,0,0,0,101,147795,12724,100
平成29,2017,2,13201,1,八王子市,Hachioji-shi,※,576768,16,7788,576717,0,0,0,572681,0,0,0,0,0,16,7788,4036,99.99
平成29,2017,2,13202,2,立川市,Tachikawa-shi,※,179575,3,0,179575,0,0,0,179575,0,0,0,0,0,3,0,0,100
平成29,2017,2,13203,3,武蔵野市,Musashino-shi,,145491,7,214463,145491,17262,1,145000,145311,17262,0,0,0,0,6,69463,180,100
平成29,2017,2,13204,4,三鷹市,Mitaka-shi,※,190737,4,5504,190737,0,0,0,189371,0,0,0,0,0,4,5504,1366,100
平成29,2017,2,13205,5,青梅市,Ome-shi,※,135249,6,1195,135239,0,0,0,134061,0,0,0,0,0,6,1195,1178,99.99
平成29,2017,2,13206,6,府中市,Fuchu-shi,※,261742,6,13494,261742,0,0,0,261722,0,0,0,0,0,6,13494,20,100
平成29,2017,2,13207,7,昭島市,Akishima-shi,,113251,5,121072,113250,12643,1,120800,112978,12643,0,0,0,0,4,272,272,100
平成29,2017,2,13208,8,調布市,Chofu-shi,※,236178,4,12809,236178,0,0,0,236051,0,0,0,0,0,4,12809,127,100
平成29,2017,2,13209,9,町田市,Machida-shi,※,433920,3,0,433901,0,0,0,433901,0,0,0,0,0,3,0,0,100
平成29,2017,2,13210,10,小金井市,Koganei-shi,※,124163,3,13016,124163,0,0,0,124082,0,0,0,0,0,3,13016,81,100
平成29,2017,2,13211,11,小平市,Kodaira-shi,※,192630,9,8690,192630,0,0,0,190721,0,0,0,0,0,9,8690,1909,100
平成29,2017,2,13212,12,日野市,Hino-shi,※,188421,9,599,188421,0,0,0,187913,0,0,0,0,0,9,599,508,100
平成29,2017,2,13213,13,東村山市,Higashimurayama-shi,※,149980,4,1841,149980,0,0,0,149487,0,0,0,0,0,4,1841,493,100
平成29,2017,2,13214,14,国分寺市,Kokubunji-shi,※,125029,3,0,125029,0,0,0,125029,0,0,0,0,0,3,0,0,100
平成29,2017,2,13215,15,国立市,Kunitachi-shi,※,74819,4,0,74819,0,0,0,74819,0,0,0,0,0,4,0,0,100
平成29,2017,2,13218,16,福生市,Fussa-shi,※,58274,2,0,58274,0,0,0,58274,0,0,0,0,0,2,0,0,100
平成29,2017,2,13219,17,狛江市,Komae-shi,※,82617,0,0,82617,0,0,0,82617,0,0,0,0,0,0,0,0,100
平成29,2017,2,13220,18,東大和市,Higashiyamato-shi,※,84644,0,0,84644,0,0,0,84644,0,0,0,0,0,0,0,0,100
平成29,2017,2,13221,19,清瀬市,Kiyose-shi,※,75367,4,2205,75367,0,0,0,75362,0,0,0,0,0,4,2205,5,100
平成29,2017,2,13222,20,東久留米市,Higashikurume-shi,※,116399,2,2000,116399,0,0,0,115873,0,0,0,0,0,2,2000,526,100
平成29,2017,2,13223,21,武蔵村山市,Musashimurayama-shi,※,71672,2,180,71672,0,0,0,71492,0,0,0,0,0,2,180,180,100
平成29,2017,2,13224,22,多摩市,Tama-shi,※,147621,3,1739,147621,0,0,0,145778,0,0,0,0,0,3,1739,1843,100
平成29,2017,2,13225,23,稲城市,Inagi-shi,※,90459,0,0,90459,0,0,0,90459,0,0,0,0,0,0,0,0,100
平成29,2017,2,13227,24,羽村市,Hamura-shi,,55710,2,60000,55614,6690,1,60000,55614,6690,0,0,0,0,1,0,0,99.83
平成29,2017,2,13228,25,あきる野市,Akiruno-shi,※,80313,2,0,80313,0,0,0,80313,0,0,0,0,0,2,0,0,100
平成29,2017,2,13229,26,西東京市,Nishitokyo-shi,※,202435,1,7000,202435,0,0,0,202435,0,0,0,0,0,1,7000,0,100
平成29,2017,1,13300,,郡部,All gun,,57627,4,3400,57472,334,0,0,55336,0,1,3400,2136,334,3,0,0,99.73
平成29,2017,2,13303,1,瑞穂町,Mizuho-machi,※,33025,1,0,33025,0,0,0,33025,0,0,0,0,0,1,0,0,100
平成29,2017,2,13305,2,日の出町,Hinode-machi,※,17317,0,0,17317,0,0,0,17317,0,0,0,0,0,0,0,0,100
平成29,2017,2,13307,3,檜原村,Hinohara-mura,,2231,2,3400,2136,334,0,0,0,0,1,3400,2136,334,1,0,0,95.74
平成29,2017,2,13308,4,奥多摩町,Okutama-machi,※,5054,1,0,4994,0,0,0,4994,0,0,0,0,0,1,0,0,98.81
平成29,2017,1,13350,,島部,All islands,,25354,11,35460,25265,4306,2,22580,14967,2758,7,12880,10298,1548,2,0,0,99.65
平成29,2017,2,13361,1,大島町,Oshima-machi,,7647,2,10650,7637,1195,1,10650,7637,1195,0,0,0,0,1,0,0,99.87
平成29,2017,2,13362,2,利島村,Toshima-mura,,299,1,350,299,45,0,0,0,0,1,350,299,45,0,0,0,100
平成29,2017,2,13363,3,新島村,Niijima-mura,,2669,1,2830,2631,383,0,0,0,0,1,2830,2631,383,0,0,0,98.58
平成29,2017,2,13364,4,神津島村,Kozushima-mura,,1858,1,2150,1854,409,0,0,0,0,1,2150,1854,409,0,0,0,99.78
平成29,2017,2,13381,5,三宅村,Miyake-mura,,2447,1,3920,2447,341,0,0,0,0,1,3920,2447,341,0,0,0,100
平成29,2017,2,13382,6,御蔵島村,Mikurajima-mura,,310,1,500,310,52,0,0,0,0,1,500,310,52,0,0,0,100
平成29,2017,2,13401,7,八丈町,Hachijo-machi,,7362,1,11930,7330,1563,1,11930,7330,1563,0,0,0,0,0,0,0,99.57
平成29,2017,2,13402,8,青ヶ島村,Aogashima-mura,,152,1,300,152,29,0,0,0,0,1,300,152,29,0,0,0,100
平成29,2017,2,13421,9,小笠原村,Ogasawara-mura,,2610,2,2830,2605,289,0,0,0,0,1,2830,2605,289,1,0,0,99.81
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　6  電気・上下水道 ６  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,,,,,,,,,,
6-３  地域別水道の普及状況（平成25～平成29年度末） 6-３  ＷATER SUPPLY BY DISTRICT ( End of Fiscal Years 2013-2017 ),,,,,,,,,,,,,,,,,,,,,,,,
注 1) ※印を付した市町の上水道の施設数・計画給水人口及び給水量については，東京都水道局が経営しているため区部に含めた。,,,,,,,,,,,,,,,,,,,,,,,,
2) 専用水道は自己水源によるもののみである。 ,,,,,,,,,,,,,,,,,,,,,,,,
3) 「給水量」は有効水量と無効水量を合わせた配水量である。,,,,,,,,,,,,,,,,,,,,,,,,
4) 総数の計画給水人口には，専用水道の確認時給水人口を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Shi and machi marked with ※ are included in the total for all ku because their waterworks are operated by the Bureau of Waterworks， TMG.,,,,,,,,,,,,,,,,,,,,,,,,
2) “Private waterworks” are only those that have their own water sources．,,,,,,,,,,,,,,,,,,,,,,,,
3) Total population planned to be served includes the population to be served noted in the application for private waterworks. ,,,,,,,,,,,,,,,,,,,,,,,,
4)  “Water supply” is the total water， both revenue and non-revenue water， provided.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局健康安全部環境保健衛生課 Source: Bureau of Social Welfare and Public Health， TMG               ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
