年度,Fiscal year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use 1,直接最終処分量 Direct final disposal 2,中間処理 Intermediate processing ／処理量 Processed 3,中間処理 Intermediate processing／処理残さ量 Residues 4,中間処理 Intermediate processing／処理後再生利用量 Recycled after processing 5,中間処理 Intermediate processing／最終処分量 Final disposal 6,再生利用量 Recycled 1＋5,減量化量 Reduced disposal 3-4,最終処分量 Final disposal 2＋6
平成24,2012,総数 ,Total,23644,78,23566,48,203,23315,7820,7146,674,7194,15495,877
平成25,2013,総数 ,Total,24738,146,24592,15,61,24516,9365,8679,685,8694,15152,747
平成26,2014,総数 ,Total,24812,138,24674,36,69,24569,9875,9240,635,9276,14694,704
平成27,2015,総数 ,Total,23811,112,23699,20,34,23645,10176,9604,572,9624,13469,606
平成28,2016,総数 ,Total,27014,91,26923,26,47,26850,10196,9663,533,9689,16654,580
平成28,2016,燃えがら ,Cinder,5,-,5,-,1,4,3,1,2,1,1,3
平成28,2016,汚でい ,Sludge,18392,-,18392,1,-,18391,2024,1885,139,1886,16367,139
平成28,2016,廃油 ,Waste oil,20,3,17,-,-,17,8,8,-,8,9,-
平成28,2016,廃酸 ,Waste acid,10,-,10,-,-,10,8,5,3,5,2,3
平成28,2016,廃アルカリ ,Waste alkaline,5,-,5,-,-,5,3,3,-,3,2,-
平成28,2016,廃プラスチック類 ,Waste plastics,285,5,280,-,-,280,205,182,23,182,75,23
平成28,2016,紙くず ,Paper scrap,74,14,60,-,-,60,51,51,-,51,9,-
平成28,2016,木くず ,Wood scrap,321,-,321,-,-,321,298,295,3,295,23,3
平成28,2016,繊維くず ,Textile scrap,32,-,32,-,-,32,20,18,2,18,12,2
平成28,2016,動植物性残さ ,Plant and animal scraps,25,2,23,-,-,23,12,12,-,12,11,-
平成28,2016,ゴムくず ,Rubber scrap,-,-,-,-,-,-,-,-,-,-,-,-
平成28,2016,金属くず ,Metal scrap,249,67,182,-,-,182,181,181,-,181,1,-
平成28,2016,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,724,-,724,3,-,721,671,549,122,552,50,122
平成28,2016,鉱さい ,Slag,11,-,11,-,-,11,8,7,1,7,3,1
平成28,2016,がれき類 ,Rubble,6385,-,6385,22,-,6363,6355,6247,108,6269,8,108
平成28,2016,ばいじん ,Dust,9,-,9,-,-,9,9,-,9,-,-,9
平成28,2016,動物の糞尿 ,Animal excretions,39,-,39,-,-,39,23,23,-,23,16,-
平成28,2016,動物の死体 ,Animal carcasses,-,-,-,-,-,-,-,-,-,-,-,-
平成28,2016,混合廃棄物 ,Mixed waste,283,-,283,-,1,282,271,168,103,168,11,104
平成28,2016,その他の廃棄物 ,Other waste,71,-,71,-,38,33,28,13,15,13,5,53
平成28,2016,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,4,-,4,-,-,4,3,3,-,3,1,-
平成28,2016,特別管理産業廃棄物 ,Specially controlled industrial waste,70,-,70,-,7,63,15,12,3,12,48,10
,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成24～平成28年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2012-2016 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
Figures are estimates.,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部計画課 「東京都産業廃棄物経年変化実態調査報告書」 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
