地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,その他教育職 Other Educational services,臨時職員 Temporary employees
0,13100,総数,All ku,61105,34664,1962,88,671,1761,13770,-,7089,1045,55,-
1,13101,千代田区,Chiyoda-ku,1092,713,33,2,12,24,123,-,93,92,-,-
1,13102,中央区,Chuo-ku,1490,811,50,3,27,34,266,-,200,98,1,-
1,13103,港区,Minato-ku,2134,1299,65,3,11,46,400,-,222,82,6,-
1,13104,新宿区,Shinjuku-ku,2721,1492,95,6,17,91,656,-,300,61,3,-
1,13105,文京区,Bunkyo-ku,1806,951,63,3,37,50,433,-,200,69,-,-
1,13106,台東区,Taito-ku,1746,1247,44,3,12,51,215,-,114,60,-,-
1,13107,墨田区,Sumida-ku,1893,1157,74,3,19,51,394,-,168,26,1,-
1,13108,江東区,Koto-ku,2738,1381,95,6,20,76,710,-,337,111,2,-
1,13109,品川区,Shinagawa-ku,2580,1323,83,3,25,72,734,-,270,66,4,-
1,13110,目黒区,Meguro-ku,2026,1028,76,3,46,56,580,-,215,21,1,-
1,13111,大田区,Ota-ku,4184,2370,135,6,52,109,964,-,539,7,2,-
1,13112,世田谷区,Setagaya-ku,5141,2954,150,5,53,136,1129,-,656,56,2,-
1,13113,渋谷区,Shibuya-ku,1911,1041,56,4,15,53,383,-,333,21,5,-
1,13114,中野区,Nakano-ku,2050,1183,67,3,24,64,466,-,227,11,5,-
1,13115,杉並区,Suginami-ku,3451,1684,108,5,37,107,995,-,402,107,6,-
1,13116,豊島区,Toshima-ku,1979,1195,80,3,18,65,425,-,179,13,1,-
1,13117,北区,Kita-ku,2563,1391,88,3,13,79,749,-,212,28,-,-
1,13118,荒川区,Arakawa-ku,1631,1038,57,3,22,58,283,-,134,35,1,-
1,13119,板橋区,Itabashi-ku,3570,2067,127,5,42,119,803,-,393,14,-,-
1,13120,練馬区,Nerima-ku,4444,2335,112,4,59,131,1153,-,621,29,-,-
1,13121,足立区,Adachi-ku,3345,2295,113,4,32,107,591,-,183,12,8,-
1,13122,葛飾区,Katsushika-ku,2969,1504,68,5,20,88,800,-,463,14,7,-
1,13123,江戸川区,Edogawa-ku,3641,2205,123,3,58,94,518,-,628,12,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (2) 区 (平成29年4月1日)  22-5  GOVERNMENT EMPLOYEES (2) KU ( Apr. 1， 2017 ),,,,,,,,,,,,,,,
注) 教育職には，教育長，小・中学校教員は含まない。 ,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部区政課・市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:総数　1:区市町村）,,,,,,,,,,,,,,,
