年次,Year,区分階層,項番 Item number,裁判所,Court,総数 Total／新受 Newly received,総数 Total／既済 Disposed,総数 Total／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／未済 Pending,控訴審通常訴訟 Ordinary appeal to court of second instance／新受 Newly received,控訴審通常訴訟 Ordinary appeal to court of second instance／既済 Disposed,控訴審通常訴訟 Ordinary appeal to court of second instance／未済 Pending,再審 Retrial procedure／新受 Newly received,再審 Retrial procedure／既済 Disposed,再審 Retrial procedure／未済 Pending,調停事件 Conciliation cases／新受 Newly received,調停事件 Conciliation cases／既済 Disposed,調停事件 Conciliation cases／未済 Pending,和解 Settlement／新受 Newly received,和解 Settlement／既済 Disposed,和解 Settlement／未済 Pending,督促 Demand for payment／新受 Newly received,督促 Demand for payment／既済 Disposed,督促 Demand for payment／未済 Pending,保全命令 Temporary restraining order／新受 Newly received,保全命令 Temporary restraining order／既済 Disposed,保全命令 Temporary restraining order／未済 Pending,その他の事件 Other cases／新受 Newly received／労働審判 Labor tribunal decisions,その他の事件 Other cases／新受 Newly received／借地非訟 Non-contentious tenancy cases,その他の事件 Other cases／新受 Newly received／強制執行 Compulsory execution,その他の事件 Other cases／新受 Newly received／担保権実行 Exercise of security rights,その他の事件 Other cases／新受 Newly received／破産 Bankruptcy,その他の事件 Other cases／新受 Newly received／会社更生 Company rehabilitation,その他の事件 Other cases／新受 Newly received／公示催告 Public notification,その他の事件 Other cases／新受 Newly received／過料 Noncriminal fines,その他の事件 Other cases／新受 Newly received／その他 Others,その他の事件 Other cases／既済 Disposed,その他の事件 Other cases／未済 Pending
平成28,2016,0,,総数,Total,432058,439692,86444,167324,167817,49610,2874,2916,426,66,68,10,31,35,5,615,679,689,1030,1134,309,36,43,13,6719,6727,1940,438,446,30,117349,117078,2082,5053,5035,285,1035,222,13674,1870,10817,1,255,26360,76289,137714,31045
平成29,2017,0,,総数,Total,453699,452960,87171,172457,172799,49278,2674,2617,483,54,51,13,24,22,7,593,600,682,948,942,315,28,20,21,6104,6111,1933,412,382,60,121906,121778,2210,5108,5098,295,1041,163,14308,1668,11313,9,204,24917,89768,142540,31874
平成29,2017,1,,地方裁判所, District courts,122870,122100,55703,47462,47613,25889,-,-,-,-,-,-,23,21,7,593,600,682,948,942,315,23,17,17,422,369,333,-,-,-,-,-,-,4465,4453,288,1041,163,13991,1668,11313,9,-,7792,32957,68085,28172
平成29,2017,2,1,東京, Tokyo,109944,108879,48967,44377,44528,23877,-,-,-,-,-,-,22,21,6,593,600,682,948,942,315,22,16,16,413,364,326,-,-,-,-,-,-,4249,4233,277,976,157,10894,1192,9801,9,-,6238,30053,58175,23468
平成29,2017,2,2,立川支部, Tachikawa Branch,12926,13221,6736,3085,3085,2012,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,1,9,5,7,-,-,-,-,-,-,216,220,11,65,6,3097,476,1512,-,-,1554,2904,9910,4704
平成29,2017,1,,簡易裁判所, Summary courts,330829,330860,31468,124995,125186,23389,2674,2617,483,54,51,13,1,1,-,-,-,-,-,-,-,5,3,4,5682,5742,1600,412,382,60,121906,121778,2210,643,645,7,-,-,317,-,-,-,204,17125,56811,74455,3702
平成29,2017,2,1,東京, Tokyo,312510,312549,29790,120388,120611,22222,2420,2360,414,51,48,12,1,1,-,-,-,-,-,-,-,2,-,2,5099,5061,1435,389,359,56,115757,115634,2154,629,631,7,-,-,304,-,-,-,191,12941,54338,67844,3488
平成29,2017,2,2,八丈島, Hachijojima ,70,72,1,4,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,12,12,-,-,-,-,-,-,-,-,-,-,-,48,5,53,-
平成29,2017,2,3,伊豆大島, Izu-oshima ,57,56,3,5,6,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,7,6,1,-,-,-,-,-,-,-,-,-,-,40,2,42,-
平成29,2017,2,4,新島, Niijima,2,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
平成29,2017,2,5,八王子, Hachioji ,3775,3790,401,1349,1321,342,43,45,10,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,92,106,29,9,9,1,1188,1208,3,-,-,-,-,-,5,-,-,-,2,601,485,1100,16
平成29,2017,2,6,立川, Tachikawa,4800,4714,472,1130,1059,334,81,81,22,2,1,1,-,-,-,-,-,-,-,-,-,-,-,1,199,216,53,2,3,1,1777,1766,24,11,11,-,-,-,2,-,-,-,3,887,706,1577,36
平成29,2017,2,7,武蔵野, Musashino,4845,4847,440,1150,1160,281,84,87,26,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,164,215,55,5,3,2,1573,1565,8,2,2,-,-,-,3,-,-,-,5,1264,594,1813,68
平成29,2017,2,8,青梅, Ome,2110,2098,171,289,288,66,7,10,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,52,52,9,2,2,-,569,569,2,-,-,-,-,-,-,-,-,-,1,964,225,1176,93
平成29,2017,2,9,町田, Machida,2660,2732,190,679,734,143,37,33,9,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,74,90,18,5,6,-,1023,1018,18,1,1,-,-,-,3,-,-,-,2,379,456,849,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-2  民事事件の種類，裁判所別件数 （平成28， 29年） 20-2 CIVIL CASES BY KIND AND COURT ( 2016 and 2017 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
