年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
平成24,2012,0,13000,東京都,Tokyo-to,471833,27299,22335,2728,1787,13683,13683,74971
平成25,2013,0,13000,東京都,Tokyo-to,479527,27528,21385,2814,1264,12235,12234,77633
平成26,2014,0,13000,東京都,Tokyo-to,482223,23484,22099,2845,1535,12555,12555,80369
平成27,2015,0,13000,東京都,Tokyo-to,480798,21835,21418,2837,1673,11618,11583,82999
平成28,2016,0,13000,東京都,Tokyo-to,482656,22213,21498,2803,1660,11573,11573,85650
平成28,2016,1,13100,区部,All ku,333517,15050,14456,1924,1169,7840,8011,53935
平成28,2016,2,13101,千代田区,Chiyoda-ku,2362,78,130,10,8,58,59,215
平成28,2016,2,13102,中央区,Chuo-ku,3321,175,131,58,21,145,125,466
平成28,2016,2,13103,港区,Minato-ku,7526,351,309,73,31,209,239,943
平成28,2016,2,13104,新宿区,Shinjuku-ku,13694,655,515,67,41,362,403,1546
平成28,2016,2,13105,文京区,Bunkyo-ku,6363,269,285,65,30,133,178,957
平成28,2016,2,13106,台東区,Taito-ku,9868,387,254,68,33,214,209,964
平成28,2016,2,13107,墨田区,Sumida-ku,9212,481,500,54,32,208,230,1652
平成28,2016,2,13108,江東区,Koto-ku,18755,854,813,106,75,391,414,3138
平成28,2016,2,13109,品川区,Shinagawa-ku,14283,578,597,84,42,308,325,1951
平成28,2016,2,13110,目黒区,Meguro-ku,7808,351,255,50,20,152,164,1260
平成28,2016,2,13111,大田区,Ota-ku,27747,1165,1219,133,79,584,567,4275
平成28,2016,2,13112,世田谷区,Setagaya-ku,24812,1242,1214,151,89,584,628,4276
平成28,2016,2,13113,渋谷区,Shibuya-ku,6775,317,305,42,25,166,171,883
平成28,2016,2,13114,中野区,Nakano-ku,10281,578,515,56,48,318,342,1508
平成28,2016,2,13115,杉並区,Suginami-ku,16331,818,800,102,70,320,371,2568
平成28,2016,2,13116,豊島区,Toshima-ku,10053,423,429,68,25,213,257,1283
平成28,2016,2,13117,北区,Kita-ku,17423,604,554,56,49,333,325,2388
平成28,2016,2,13118,荒川区,Arakawa-ku,9604,404,407,41,25,190,194,1290
平成28,2016,2,13119,板橋区,Itabashi-ku,21177,879,901,132,80,525,483,3771
平成28,2016,2,13120,練馬区,Nerima-ku,23951,1156,873,135,86,535,540,4807
平成28,2016,2,13121,足立区,Adachi-ku,30114,1416,1398,162,89,823,759,5450
平成28,2016,2,13122,葛飾区,Katsushika-ku,17606,810,830,79,59,432,421,3301
平成28,2016,2,13123,江戸川区,Edogawa-ku,24451,1059,1222,132,112,637,607,5043
平成28,2016,1,13200,市部,All shi,144633,7002,6861,867,482,3617,3476,30894
平成28,2016,2,13201,八王子市,Hachioji-shi,15453,993,1067,135,80,129,131,4379
平成28,2016,2,13202,立川市,Tachikawa-shi,7341,331,177,37,20,201,193,1468
平成28,2016,2,13203,武蔵野市,Musashino-shi,4240,219,217,29,16,114,122,1149
平成28,2016,2,13204,三鷹市,Mitaka-shi,5629,286,389,38,20,137,135,1157
平成28,2016,2,13205,青梅市,Ome-shi,6322,285,218,29,15,212,163,1105
平成28,2016,2,13206,府中市,Fuchu-shi,8572,461,415,52,35,239,232,1853
平成28,2016,2,13207,昭島市,Akishima-shi,3927,182,250,15,5,140,141,901
平成28,2016,2,13208,調布市,Chofu-shi,8387,346,262,46,20,180,177,1460
平成28,2016,2,13209,町田市,Machida-shi,15804,719,725,143,49,684,666,3540
平成28,2016,2,13210,小金井市,Koganei-shi,3176,161,177,16,13,80,90,678
平成28,2016,2,13211,小平市,Kodaira-shi,6519,323,221,32,17,168,142,1434
平成28,2016,2,13212,日野市,Hino-shi,5890,295,493,38,22,122,112,1276
平成28,2016,2,13213,東村山市,Higashimurayama-shi,7283,278,257,32,25,131,125,1301
平成28,2016,2,13214,国分寺市,Kokubunji-shi,3734,186,118,17,15,61,78,783
平成28,2016,2,13215,国立市,Kunitachi-shi,2548,110,103,19,5,113,98,530
