年次,Year,原因,Cause,総件数 Accidents total,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
平成25,2013,総数,Total,41825,48780,145,286,48349
平成26,2014,総数,Total,37005,43191,157,220,42814
平成27,2015,総数,Total,34084,39890,130,227,39533
平成28,2016,総数,Total,32283,37840,141,310,37389
平成29,2017,総数,Total,32576,37958,134,697,37127
平成29,2017,信号無視,Ignoring traffic light signals,862,1088,13,49,1026
平成29,2017,通行区分違反,Lane violation,56,64,-,4,60
平成29,2017,最高速度違反,Speed violation,3,3,2,-,1
平成29,2017,横断等禁止違反,Crossing， etc. violation,31,40,1,4,35
平成29,2017,車間距離不保持,Tailgating,93,111,-,1,110
平成29,2017,進路変更禁止違反,Lane change violation ,27,29,-,2,27
平成29,2017,通行妨害,Obstruction of traffic ,8,8,-,-,8
平成29,2017,追越違反,Overtaking violation,21,27,2,-,25
平成29,2017,右折違反,Right turn violation,14,14,1,1,12
平成29,2017,左折違反,Left turn violation,37,42,-,-,42
平成29,2017,優先通行妨害等,Obstruction of priority lanes， etc.,149,173,9,61,103
平成29,2017,交差点安全進行義務違反,Violation of duty to use caution at intersections,4761,5157,6,108,5043
平成29,2017,歩行者妨害等,Obstruction of pedestrians， etc.,1110,1134,17,47,1070
平成29,2017,横断自転車妨害等,Obstruction of crossing bicycles， etc.,268,278,-,4,274
平成29,2017,徐行場所違反,Slow down violation ,39,41,-,1,40
平成29,2017,指定場所一時不停止等,Stop sign， etc. violation,719,835,4,42,789
平成29,2017,酒酔い運転,Driving while intoxicated,12,14,-,1,13
平成29,2017,過労・薬物,Driving while drowsy or under the influence of drugs,61,110,1,10,99
平成29,2017,安全運転義務違反,Violation of safe driving obligations,23379,27783,71,325,27387
平成29,2017,安全不確認ドア開放等,Opening of door without checking for safety， etc.,363,370,-,11,359
平成29,2017,その他,Others,522,578,3,24,551
平成29,2017,調査不能,Cause undetermined,41,59,4,2,53
,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,
20-13  車両がわの事故原因による人身事故発生件数及び死傷者数 （平成25～29年) 20-13 TRAFFIC ACCIDENTS CAUSED BY VEHICLES RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2013-2017 ),,,,,,,,
注 1) 総件数，死傷者数とも第1当事者からみた数である。,,,,,,,,
2) 第1当事者とは，過失（違反）がより重いか又は過失（違反）が同程度の場合にあっては，被害がより小さい方の当事者をいう。,,,,,,,,
3) 調査不能とは，違反行為の種別が不明な場合をいう。,,,,,,,,
"Note: 1) ""Accidents total"" and ""Killed or injured"" are counted from the first party perspective.",,,,,,,,
2) The party whose degree of negligence (violation) is more serious than the other party is the first party. When the degree of negligence (violation) is the same， the party that suffers less damage is the first party.,,,,,,,,
"3) ""Cause undetermined"" refers to cases for which the kind of violation committed is unknown.",,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,
