年度,Fiscal year,予防接種 Vaccination／ジフテリア 百日咳 破傷風混合 Diphtheria-pertussis-tetanus,予防接種 Vaccination／ジフテリア 百日咳 破傷風 急性灰白髄炎混合 Diphtheria-pertussis-tetanus-polio,予防接種 Vaccination／ジフテリア破傷風混合 Diphtheria-tetanus,予防接種 Vaccination／急性灰白髄炎 Polio,予防接種 Vaccination／麻しん風しん Measles and rubella,予防接種 Vaccination／日本脳炎 Japanese encephalitis,予防接種 Vaccination／ヒブ Haemophilus influenza type B,予防接種 Vaccination／小児用肺炎球菌 Pediatric pneumococcal disease,予防接種 Vaccination／ヒトパピローマウイルス感染症  Human papillomavirus infection,予防接種 Vaccination／水痘 Vari-cella (Chickenpox),予防接種 Vaccination／B型肝炎 Hepatitis B,結核予防 Tuberculosis prevention／B.C.G接種 B.C.G vaccination,結核予防 Tuberculosis prevention／エックス線撮影 X-ray examination,保健師家庭訪問延世帯数 Total households visited by public health nurses,栄養相談指導 Nutrition guidance,環境衛生監視 Environmental sanitation inspection,食品衛生 Food sanitation／監視 Inspection,食品衛生 Food sanitation／収去 Sampling 1),狂犬病予防 Rabies prevention／登録犬頭数 (鑑札交付数) Number of registered dogs (Licenses issued)),狂犬病予防 Rabies prevention／注射 (済票交付数) Vaccination (Proof of vaccination tags issued),保健所数  Number of public health centers
平成25,2013,110749,340019,61021,141553,197128,387178,477496,469696,18520,…,…,95904,1591997,113128,498747,31257,656789,47143,516567,381015,31
平成26,2014,20551,428360,62333,58010,201099,382518,445135,444156,1080,…,…,106629,1633224,116646,516350,31436,638298,46223,518121,380398,31
平成27,2015,1019,451173,58256,15300,203965,358341,450505,474264,687,…,…,110910,1500780,109908,509648,30538,638788,46760,519061,380734,31
平成28,2016,26,457978,63401,8489,208667,403778,451896,452550,612,215021,175677,112116,1678409,109442,512485,29198,620293,45342,519417,381382,31
平成29,2017,…,439982,66673,4845,206745,425155,436316,437248,894,211630,327656,108372,1732386,113403,510294,27330,630321,46864,516306,380028,31
,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,
19-5  地域保健活動 (2) 予防接種等 (平成25～29年度) 19-5  LOCAL PUBLIC HEALTH CARE ACTIVITIES (2) VACCINATIONS， etc. ( Fiscal Years 2013-2017 )　,,,,,,,,,,,,,,,,,,,,,,
注 1) 食品機動監視班によるもの,,,,,,,,,,,,,,,,,,,,,,
Note: 1) By food Inspection Groups.,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of  Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,
