年齢 (歳),Age groups (years old),男 Male／計 Total 1),男 Male／未婚 Never married,男 Male／有配偶 Married,男 Male／死別 Widowed,男 Male／離別 Divorced,女 Female／計 Total 1),女 Female／未婚 Never married,女 Female／有配偶 Married,女 Female／死別 Widowed,女 Female／離別 Divorced
総数,Total,5749774,1916385,3006380,124303,172120,5989897,1650383,3040062,604184,304206
15～19,15-19,289130,280711,779,24,50,277599,270559,1103,27,55
20～24,20-24,383164,327850,9109,43,315,370534,314765,16619,102,747
25～29,25-29,436135,279326,77415,65,1515,427543,253300,114120,100,3428
30～34,30-34,495240,210509,203528,140,4639,474637,168536,249062,303,9017
35～39,35-39,530043,172030,284486,362,9093,508347,131311,322598,809,16085
40～44,40-44,584654,169597,341082,814,14956,569560,127469,378098,2121,28840
45～49,45-49,536680,137452,331318,1394,18838,511490,101911,344167,4212,34962
50～54,50-54,459994,102023,299042,2549,21336,431338,71840,296651,7654,36765
55～59,55-59,369325,69042,251917,3719,19924,353430,46519,248680,12661,32438
60～64,60-64,364160,61672,249979,6942,21484,361152,38032,251331,24427,33667
65～69,65-69,414853,56259,295569,13481,25266,439722,40095,290639,51169,39893
70～74,70-74,327345,28530,245657,17585,17703,385997,29157,231209,79286,28775
75～79,75-79,254158,13337,195775,21669,10413,329813,21895,164006,107081,18639
80～84,80-84,180294,5593,138128,23946,4830,269020,17989,93141,127342,11543
85歳以上,85 and over,124599,2454,82596,31570,1758,279715,17005,38638,186890,9352
,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,
2-9  配偶関係（４区分），年齢（５歳階級），男女別15歳以上人口（平成27年10月1日） 2-9  POPULATION 15 YEARS OF AGE AND OVER BY MARITAL STATUS， 5-YEAR AGE GROUP， AND GENDER ( Oct. 1， 2015 ) ,,,,,,,,,,,
注 1) 「国勢調査」による。 ,,,,,,,,,,,
2) 配偶関係「不詳」を含む。 ,,,,,,,,,,,
Note: 1) Data are based on the Population Census.,,,,,,,,,,,
2) Includes “marital status not reported”.,,,,,,,,,,,
資料：総務省「国勢調査報告」 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,
