項番 Item number,項目,Item,平成27年度 Fiscal year 2015／実数 Value,平成27年度 Fiscal year 2015／構成比 Percentage Distribution (%),平成27年度 Fiscal year 2015／対前年度増加率 Percent changes from previous fiscal year (%),平成28年度 Fiscal year 2016／実数 Value,平成28年度 Fiscal year 2016／構成比 Percentage Distribution (%),平成28年度 Fiscal year 2016／対前年度増加率 Percent changes from previous fiscal year (%)
1,農林水産業,Agriculture， forestry and fishing,46.8,0,2.1,46.6,0,-0.5
2,鉱業,Mining,67.9,0.1,-5.8,64.3,0.1,-5.4
3,製造業,Manufacturing,9168.3,8.8,1.8,9271.5,8.8,1.1
4,電気・ガス・水道業・廃棄物処理業,Electricity， gas and water supply and waste management service,1651.4,1.6,0.1,1690.7,1.6,2.4
5,建設業,Construction,5316.2,5.1,6.5,5725,5.4,7.7
6,卸売・小売業,Wholesale and retail trade,21057.6,20.1,3.1,20814.7,19.7,-1.2
7,運輸・郵便業,Transport and postal services,4835.9,4.6,2.1,4816.2,4.6,-0.4
8,宿泊・飲食サービス業,Accommodation and food service activities,2494.5,2.4,1.6,2503.7,2.4,0.4
9,情報通信業,Information and communications,11250.5,10.7,3.2,11297.2,10.7,0.4
10,金融・保険業,Finance and insurance,8833.4,8.4,-0.4,8650.5,8.2,-2.1
11,不動産業,Real estate,11698.3,11.2,1.8,12090.8,11.5,3.4
12,専門・科学技術，業務支援サービス業,Professional， scientific and technical activities,12280.1,11.7,2.6,12320.3,11.7,0.3
13,公務,Public administration,4108.1,3.9,2.7,4196.3,4,2.1
14,教育,Education,3142.4,3,3.1,3215.6,3,2.3
15,保健衛生・社会事業,Human health and social work activities,4073,3.9,3.8,4128,3.9,1.3
16,その他のサービス,Other service activities,4629.4,4.4,-1.2,4519.9,4.3,-2.4
17,小計 (1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16),Sub-total (1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16),104653.7,99.9,2.3,105351.2,99.9,0.7
18,輸入品に課される税・関税,Taxes and duties on imports,803.2,0.8,-7.2,806,0.8,0.3
19,(控除) 総資本形成に係る消費税,(less) Consumption taxes for gross capital formation,686.7,0.7,13,706.4,0.7,2.9
20,都内総生産 (17+18-19),Gross prefectural domestic product (17+18-19),104770.3,100,2.2,105450.7,100,0.6
,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-2  経済活動別都内総生産 (名目) (平成27，28年度) 16-2  GROSS PREFECTURAL DOMESTIC PRODUCT CLASSIFIED BY ECONOMIC ACTIVITIES(AT CURRENT PRICES) ( Fiscal Years 2015 and 2016),,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,,
