年度末,End of fiscal year,基本財産 Basic properties,保証承諾 (年度中) Guarantees accepted (during the fiscal year)／件数 Cases,保証承諾 (年度中) Guarantees accepted (during the fiscal year)／金額 Value,代位弁済 (年度中) Payment in subrogation (during the fiscal year) 1)／件数 Cases,代位弁済 (年度中) Payment in subrogation (during the fiscal year) 1)／金額 Value,求償権残高 Right of recourse amount outstanding／件数 Cases,求償権残高 Right of recourse amount outstanding／金額 Value,保証債務残高 Outstanding guarantee liabilities／件数 Cases,保証債務残高 Outstanding guarantee liabilities／金額 Value
平成25,2013,256292,85167,1146353,8817,98756,29800,63174,453061,4305352
平成26,2014,268691,83941,1066403,7507,79720,25291,47866,429598,3891172
平成27,2015,278572,82342,1160290,6616,68287,22072,42038,398974,3543006
平成28,2016,288232,83880,1132123,5781,59731,19062,37249,375621,3272035
平成29,2017,296296,83633,1101292,4829,51122,16010,29245,361633,3071643
,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　15  金融 15  FINANCE,,,,,,,,,,
15-3  信用保証協会事業状況 (平成25～29年度末) 15-3  OPERATION STATUS OF THE CREDIT GUARANTEE CORPORATION ( End of Fiscal Years 2013-2017 ),,,,,,,,,,
注 1) 利息を含む。,,,,,,,,,,
Note: 1) Includes interests.,,,,,,,,,,
資料：東京信用保証協会 「事業概況表」 Source: Credit Guarantee Corporation of Tokyo,,,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,,,
