年次,Year,区分階層,種類,Kind,東京地方裁判所 Tokyo District Court／新受 Newly received,東京地方裁判所 Tokyo District Court／既済 Disposed,東京地方裁判所 Tokyo District Court／未済 Pending,立川支部 Tachikawa Branch／新受 Newly received,立川支部 Tachikawa Branch／既済 Disposed,立川支部 Tachikawa Branch／未済 Pending
平成25,2013,0,総数,Total,12398,12586,1997,3554,3551,331
平成26,2014,0,総数,Total,10541,10598,1940,2993,2975,349
平成27,2015,0,総数,Total,9591,9743,1788,3100,3104,345
平成28,2016,0,総数,Total,9360,9516,1632,2867,2915,297
平成29,2017,0,総数,Total,8880,8905,1607,2860,2831,326
平成29,2017,1,執行イ,Type A,2093,2146,215,523,527,53
平成29,2017,2,動産執行,Execution against movables ,2088,2143,213,523,527,53
平成29,2017,2,動産競売,Auction of movables,5,3,2,-,-,-
平成29,2017,1,執行ロ,Type B,3877,3821,572,1168,1128,138
平成29,2017,2,不動産等の引渡し,Delivery of immovables， etc.,3684,3630,535,1120,1077,132
平成29,2017,2,動産の引渡し,Delivery of movables,26,22,7,30,30,2
平成29,2017,2,船舶国籍証書等の取り上げ,Confiscation of vessel nationality certificates， etc.,2,2,-,-,-,-
平成29,2017,2,自動車・建設機械の引渡し,Delivery of automobiles and construction machinery,46,42,10,6,3,3
平成29,2017,2,代替執行,Execution by substitute ,113,121,5,12,17,1
平成29,2017,2,援助（民執法6Ⅱ等）,Assistance (Civil Execution Act 6 II， etc.),-,-,-,-,-,-
平成29,2017,2,保全処分（民執法55Ⅰ等）,Temporary restraining order (Civil Execution Act 55 I， etc.),3,1,6,-,-,-
平成29,2017,2,強制管理の管理人等,Administrator of sequestration， etc.,3,3,9,-,1,-
平成29,2017,1,執行ハ,Type C,697,724,673,91,69,58
平成29,2017,2,仮差押え,Provisional seizure ,29,26,17,-,-,-
平成29,2017,2,仮処分,Provisional disposition,665,695,656,91,69,58
平成29,2017,2,特別法による保全処分,Temporary restraining order under special laws,3,3,-,-,-,-
平成29,2017,1,不動産等売却,Sale of real property， etc.,908,932,40,462,492,30
平成29,2017,2,不動産・船舶・航空機,Real property， vessels， aircraft,901,925,40,461,491,30
平成29,2017,2,自動車・建設機械,Automobiles and construction machinery,2,2,-,1,1,-
平成29,2017,2,債権その他の財産権,Claims and other property rights,5,5,-,-,-,-
平成29,2017,1,現況調査等,Investigation into the current status， etc.,1304,1281,107,616,615,47
平成29,2017,2,現況調査,Investigation into the current status,1304,1281,107,616,615,47
平成29,2017,2,評価,Evaluation,-,-,-,-,-,-
平成29,2017,1,内覧,Preliminary inspection,1,1,-,-,-,-
平成29,2017,1,提訴前現況調査,Investigation prior to filing suits,-,-,-,-,-,-
平成29,2017,1,その他,Others,-,-,-,-,-,-
平成29,2017,2,拒絶証書の作成等,Preparation of certificates of refusal， etc.,-,-,-,-,-,-
平成29,2017,2,財産調査の援助・立会い・封印等,Asset investigation assistance， attendance， sealing， etc.,-,-,-,-,-,-
,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,
20-3  執行官事務の種類別件数 （平成25～29年） 20-3 WORK OF COURT ENFORCEMENT OFFICERS BY KIND ( 2013-2017 ),,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,
