年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
平成27,2015,0,13000,東京都,Tokyo-to,3012871,546155,12492,356639,8260,24924,327,70462,876
平成28,2016,0,13000,東京都,Tokyo-to,3057015,557698,12530,339778,8064,68211,1424,71422,856
平成29,2017,0,13000,東京都,Tokyo-to,3093161,577522,12603,340684,8137,69954,1339,73137,844
平成29,2017,1,13100,区部,All ku,2047254,391730,8321,235114,5402,49079,927,45883,507
平成29,2017,2,13101,千代田区,Chiyoda-ku,11031,2209,32,1362,22,317,3,234,4
平成29,2017,2,13102,中央区,Chuo-ku,24490,4808,141,2741,89,748,22,502,5
平成29,2017,2,13103,港　区,Minato-ku,44255,8921,186,5312,114,513,12,1088,4
平成29,2017,2,13104,新宿区,Shinjuku-ku,68743,13188,217,8032,142,1667,32,1626,19
平成29,2017,2,13105,文京区,Bunkyo-ku,43385,8041,156,5102,106,1149,20,965,10
平成29,2017,2,13106,台東区,Taito-ku,46593,9520,208,5423,140,1081,16,1196,6
平成29,2017,2,13107,墨田区,Sumida-ku,61401,11182,263,6715,169,1578,35,1596,14
平成29,2017,2,13108,江東区,Koto-ku,111301,18882,450,10272,268,1838,34,2413,42
平成29,2017,2,13109,品川区,Shinagawa-ku,82367,14750,342,9420,218,1702,44,1864,25
平成29,2017,2,13110,目黒区,Meguro-ku,55582,11594,219,7167,150,1516,30,1251,14
平成29,2017,2,13111,大田区,Ota-ku,165762,31021,707,20154,445,4520,72,3026,53
平成29,2017,2,13112,世田谷区,Setagaya-ku,183089,38324,718,24315,496,5359,79,3419,22
平成29,2017,2,13113,渋谷区,Shibuya-ku,43278,8644,200,5154,112,659,16,1054,11
