品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,マーク Mark,平成29年平均 2017 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米,Non-glutinous rice,国内産，精米，単一原料米（産地，品種及び産年が同一のもの），袋入り（5kg入り），コシヒカリを除く,"Domestic，polished，single ingredient (those area，year of production and variety are the same)，in bag (5kg)，excluding ""Koshihikari""",1袋,1 bag,,"2,132","2,111","2,112","2,100","2,137","2,124","2,143","2,098","2,101","2,108","2,168","2,185","2,197"
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,,434,433,431,434,435,433,434,438,439,434,434,428,432
食料,Food,穀類,Cereals,3,カップ麺,Cup noodles,中華タイプ，77g入り，「カップヌードル」,"Chinese type，77g，""Cup Noodle""",1個,1 cup,,152,152,154,153,154,151,153,153,151,149,153,151,151
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna，for ""Sashimi""，not sliced，lean",100g,100g,,422,413,393,409,405,412,406,414,416,430,446,452,464
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ，丸（長さ約15cm以上）,Jack mackerel，whole (about 15cm or more in length),100g,100g,,109,124,115,105,115,119,98,96,109,105,113,101,105
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか，丸,Sagitｔated calamary，whole,100g,100g,,141,151,144,147,155,151,145,121,132,134,137,143,135
食料,Food,肉類,Meats,1,牛肉,Beef ,国産品，ロース,Domestic，loin,100g,100g,,906,911,909,896,897,916,921,923,884,909,910,901,900
食料,Food,肉類,Meats,2,豚肉,Pork,もも（黒豚を除く）,Legs (excluding berkshire),100g,100g,,198,195,195,194,199,195,195,198,201,200,199,201,201
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー，もも肉,Broiler，legs,100g,100g,,136,139,137,134,135,136,136,135,133,134,136,135,137
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム，ＪＡＳ格付けなし，普通品,Ham (Loin)，not Japanese Agricultural Standard (JAS) certified，ordinary quality,100g,100g,,213,215,218,214,213,212,210,213,212,212,210,212,209
食料,Food,乳卵類,Dairy products & eggs,1,牛乳,Fresh milk ,"牛乳，店頭売り，紙容器入り（1,000mL入り）","Fresh milk，sold in stores，in carton (1,000mL)",1本,1 carton,,221,224,223,223,223,222,223,222,223,222,222,217,210
食料,Food,乳卵類,Dairy products & eggs,2,鶏卵,Hen eggs,白色卵，Ｌサイズ，パック詰（10個入り）,White eggs，size L，packed (10 eggs),1パック,1 pack,,245,239,242,245,248,252,244,242,238,242,247,252,252
食料,Food,野菜・海草,Vegetables & seaweeds,1,キャベツ,Cabbage,,,1kg,1kg,,191,213,219,229,244,197,157,145,139,170,143,185,255
食料,Food,野菜・海草,Vegetables & seaweeds,2,だいこん,Radishes,　　　　　　　　　　　　　　　　　　　　　,,1kg,1kg,,177,166,164,161,178,177,186,179,171,182,157,175,226
食料,Food,野菜・海草,Vegetables & seaweeds,3,豆腐,"""Tofu"", bean curd",木綿豆腐，並,Momen-tofu，ordinary quality,1kg,1kg,,251,251,248,246,248,251,252,254,251,249,251,252,252
食料,Food,果物,Fruits,1,りんご,Apples ,ふじ，1個 200～400g,Fuji，200-400g each,1kg,1kg,,535,541,521,493,497,546,618,672,...,...,...,470,455
食料,Food,果物,Fruits,2,みかん,Mandarin oranges,温州みかん（ハウスみかんを除く），1個 70～130g,Satsuma mandarins (excluding greenhouse stuff)，70 - 130g each,1kg,1kg,,660,653,690,817,...,...,...,...,...,773,532,539,620
食料,Food,果物,Fruits,3,いちご,Strawberries,国産品,Domestic,1kg,1kg,,"1,751","1,884","1,721","1,672","1,581","1,545",...,...,...,...,...,...,"2,103"
食料,Food,油脂・調味料,Oils， fats & seasonings,1,食用油,Edible oil,"キャノーラ（なたね）油，ポリ容器入り（1,000g入り）","Canola oil，in polyethylene container (1,000g)",1本,1 bottle,,290,294,291,291,289,285,285,284,291,291,288,293,295
食料,Food,油脂・調味料,Oils， fats & seasonings,2,みそ,Soybean paste,米みそ，カップ入り（750g入り），並,Fermented with rice malt，in cups (750g)，ordinary quality,1個,1 cup,,316,316,309,314,314,317,316,315,313,316,316,324,325
食料,Food,菓子類,Cakes & candies,1,ケーキ,Cakes ,いちごショートケーキ，1個（70～120g）,Sponge cakes with cream and strawberry，1 piece (70 - 120g),1個,1 piece,,423,430,435,423,423,423,420,421,421,421,421,421,422
食料,Food,菓子類,Cakes & candies,2,チョコレート,Chocolate,板チョコレート，50g，「明治ミルクチョコレート」，「ロッテガーナミルクチョコレート」又は「森永ミルクチョコレート」,"Chocolate bar，50g，""Meiji milk chocolate"",""LOTTE Ghana milk chocolate"" or ""Morinaga milk chocolate""",1枚,1 sheet,,106,102,101,108,107,105,106,106,109,109,108,106,105
食料,Food,飲料,Beverages,1,緑茶,Green tea,煎茶（抹茶入りを含む），袋入り（100～300g入り）,"Sencha (including ""Maccha"" contained)，in bag (100 - 300g)",100g,100g,,558,562,552,559,564,559,564,558,561,554,562,543,554
食料,Food,酒類,Alcoholic beverages,1,ビール,Beer,淡色，缶入り（350mL入り），6缶入り,Lager，canned (350mL)，6 cans,1パック,1 pack,,"1,163","1,135","1,130","1,140","1,138","1,134","1,202","1,197","1,186","1,173","1,175","1,178","1,172"
食料,Food,外食,Meals outside the home,1,中華そば（外食）,Chinese noodles (eating out),ラーメン，しょう油味（豚骨しょう油味を含む）,Ramen，soy sauce-based (including pork and soy sauce-based),1杯,1 bowl,,566,571,569,569,565,565,565,565,565,563,565,565,565
食料,Food,外食,Meals outside the home,2,すし（外食）,"""Sushi"" (eating out) ",にぎりずし，並,"Nigiri-zushi，hand-rolled ""Sushi""，ordinary quality",1人前,1 serving,,"1,290","1,290","1,290","1,290","1,290","1,290","1,290","1,290","1,290","1,290","1,290","1,290","1,290"
食料,Food,外食,Meals outside the home,3,カレーライス（外食）,Curry and rice (eating out),,,1皿,1 dish,,782,790,790,791,791,792,792,792,778,778,760,760,769
食料,Food,外食,Meals outside the home,4,ピザパイ（配達）,Delivered pizza,宅配ピザ，ミックスピザ（野菜類3種類，肉・魚介類2種類程度），[サイズ] M（約25cm）,Delivered pizza，mixed pizza　(3 kinds of vegetable toppings and 2 kinds of meat or seafood toppings)，[size] M (about 25cm),1枚,1 sheet,,"2,183","2,215","2,215","2,215","2,215","2,215","2,215","2,150","2,150","2,150","2,150","2,150","2,150"
