市区町村コード,年度,総量（ｔ）,1日当たりの排出量（ｔ）,可燃ごみ（ｔ）,不燃ごみ（ｔ）,粗大ごみ（ｔ）,持ち込みごみ（ｔ）,清掃作業所へ（ｔ）,粗大ごみ破砕処理施設へ（ｔ）,清掃工場へ（ｔ）,埋立処分場へ（ｔ）,粗大ごみ中継所へ（ｔ）,不燃ごみ処理センターへ（ｔ）,備考
131105,2011,55230,150.9,49769,2747,2263,451,0,135,50085,0,2263,2747,1年366日
131105,2012,55127,151,49631,2619,2438,439,0,97,49973,0,2438,2619,
131105,2013,55417,151.8,49809,2563,2561,484,0,105,50189,0,2561,2563,
131105,2014,54551,149.5,49228,2425,2367,531,0,120,49639,0,2367,2425,
131105,2015,54347,148.5,49124,2364,2373,486,0,179,49431,0,2373,2364,1年366日
131105,2016,53241,145.9,48262,2169,2274,536,0,181,48617,0,2274,2169,
131105,2017,53314,146.1,48307,2156,2338,513,0,271,48549,0,2338,2156,
131105,2018,53016,145.2,47915,2127,2305,669,0,416,48168,0,2305,2127,
131105,2019,53623,146.5,48360,2143,2475,645,0,373,48632,0,2475,2143,1年366日
,,,,,,,,,,,,,,
