区分,集計企業数（社）,平均所定内実労働時間（時間:分）,１５０時間未満（社）,１５０時間以上１６０時間未満（社）,１６０時間以上１７０時間未満（社）,１７０時間以上１８０時間未満（社）,１８０時間以上１９０時間未満（社）,１９０時間以上２００時間未満（社）,２００時間以上（社）,無回答（社）
調査産業計,876,150:34:00,238,143,233,71,8,3,2,178
労組有,63,144:30:00,19,13,11,3,1,0,0,16
労組無,813,151:00:00,219,130,222,68,7,3,2,162
建設業,71,150:32:00,21,11,22,4,0,0,0,13
製造業,207,151:42:00,55,48,69,8,0,1,0,26
情報通信業,58,148:50:00,23,12,9,1,0,0,0,13
運輸業，郵便業,42,150:58:00,9,4,6,7,2,0,1,13
卸売業，小売業,180,151:16:00,41,34,40,17,4,1,1,42
金融業，保険業,27,144:41:00,11,5,2,1,0,0,0,8
不動産業，物品賃貸業,16,136:56:00,8,1,4,1,0,0,0,2
学術研究，専門・技術サービス業,57,152:09:00,15,8,15,4,0,0,0,15
宿泊業，飲食サービス業,43,145:07:00,10,4,4,8,0,0,0,17
生活関連サービス業，娯楽業,34,150:01:00,10,4,8,2,0,1,0,9
教育，学習支援業（学校教育を除く）,30,141:33:00,11,1,11,4,1,0,0,2
医療，福祉,57,156:05:00,9,7,28,7,0,0,0,6
サービス業（他に分類されないもの）,54,153:35:00,15,4,15,7,1,0,0,12
10～49人,585,150:36:00,154,86,162,51,5,2,1,124
50～99人,188,150:34:00,54,33,44,16,2,1,0,38
100～299人,103,150:19:00,30,24,27,4,1,0,1,16
