表側１,表側２,表側３,回答企業数(件),店舗の老朽化(％),店舗の狭小さ(％),売場の魅力づくり(％),陳列・商品管理(％),盗難対策(％),品揃え(％),価格競争力(％),新規顧客の開拓(％),顧客管理(％),広告宣伝(％),接客技術(％),商品知識(％),販売員の確保(％),インターネットの活用(％),キャッシュレス化への対応(％),その他(％),特にない(％),無回答(％)
,,今回調査（全体）,2003,30.4,16.4,29.1,22.3,7.3,30.6,15.4,33.2,15.5,17.6,15.3,15.7,11.1,14.4,14.2,3.8,8.8,2.9
業種別,,総合商品小売業,164,23.2,24.4,47.6,40.9,33.5,41.5,12.2,22,7.9,6.7,31.7,14,52.4,1.2,7.9,3,4.9,1.8
業種別,,生鮮食品小売業,113,46.9,16.8,19.5,21.2,0.9,27.4,15.9,23,5.3,10.6,8,9.7,4.4,6.2,14.2,0.9,12.4,8
業種別,,食料品関連小売業,511,38.7,17.2,28.8,23.1,2.7,25,16.2,33.9,14.3,18.6,12.3,12.9,7.8,12.1,16,3.7,8.6,2.3
業種別,,衣料品関連小売業,314,28.3,11.5,33.1,23.2,5.4,41.4,13.4,39.8,17.5,19.4,13.7,16.2,5.1,19.4,8.6,4.1,6.7,1.6
業種別,,住関連小売業,162,25.9,19.1,26.5,16.7,4.3,25.9,27.2,36.4,21,22.2,14.8,18.5,8,17.3,20.4,5.6,4.9,3.1
業種別,,その他小売業,737,25.6,15.6,25.6,18.7,7.1,29,13.7,33.4,17.6,18.6,15.7,18,8.3,17.4,15.2,4.1,11,3.3
従業者規模別,,1～2人,1059,32.6,14.4,23.6,19.8,4.1,30,15.3,30,12.6,16.9,9.8,12.5,2,12.7,12.7,4.4,12.3,3
従業者規模別,,3～5人,488,30.1,16.6,35.7,24.4,6.4,33.4,17,40.6,18.4,19.9,16.2,20.1,10.5,18.4,18.9,3.7,4.9,2.9
従業者規模別,,6～19人,272,25,23.2,35.3,24.3,12.9,28.7,15.1,35.7,22.1,15.8,27.9,18,34.2,16.9,13.6,1.8,4.4,2.9
従業者規模別,,20人以上,134,19.4,20.1,41,33.6,26.1,35.8,11.2,31.3,16.4,16.4,33.6,20.9,41,12.7,13.4,3.7,4.5,2.2
売上高増減別(前年同期比),,増加,138,31.2,19.6,43.5,35.5,15.2,34.1,15.9,37,15.9,15.9,22.5,23.2,25.4,13.8,20.3,0.7,4.3,2.2
売上高増減別(前年同期比),,横ばい,251,29.9,21.1,27.9,22.7,8.4,31.1,12.7,26.3,11.6,15.9,14.7,15.5,15.1,12,14.7,3.6,10,3.2
売上高増減別(前年同期比),,減少,1536,30.4,15.4,28.1,21,6.5,30.1,16,34.6,16.1,18.5,14.5,14.7,9.4,15.2,13.5,4.1,8.9,2.9
売上高増減別(3年前),,増加,130,26.9,25.4,41.5,25.4,14.6,34.6,15.4,38.5,22.3,23.1,25.4,22.3,27.7,16.2,19.2,1.5,3.8,3.1
売上高増減別(3年前),,横ばい,338,24.3,18.9,33.4,25.1,8,31.4,10.1,29.3,14.8,16.3,16.9,18,16.6,15.7,16.6,3.8,6.8,2.4
売上高増減別(3年前),,減少,1346,32.9,15.7,27.7,22,6.5,31.1,17.2,34.3,15.5,17,14.5,14.6,8.1,14.3,13.8,4,9.3,2.9
経常損益の変化別(前年同期比),,増益,109,26.6,17.4,41.3,31.2,11.9,31.2,16.5,39.4,15.6,16.5,25.7,19.3,23.9,11.9,16.5,3.7,3.7,0.9
経常損益の変化別(前年同期比),,横ばい,337,28.8,19.6,27.3,22,8.6,34.7,12.5,29.1,13.4,14.8,17.2,18.4,15.4,11.9,14.2,3.3,8.6,2.4
経常損益の変化別(前年同期比),,減益,1406,31.6,15.8,29,21.8,7,29.7,16.3,35.3,16.1,18.8,14.2,14.8,9.5,15.9,14.4,4.1,8.8,2.8
経常損益の変化別(3年前),,増益,208,29.8,15.4,32.7,26.4,7.7,30.3,14.9,39.4,16.8,22.6,16.8,20.7,13.9,17.3,15.4,4.3,5.3,3.4
経常損益の変化別(3年前),,横ばい,615,29.3,17.7,33.3,26.7,8.3,34,14,31.2,14.8,16.3,14.5,14.3,12.4,14.5,15.6,2.6,8.1,2.8
経常損益の変化別(3年前),,減益,937,31.9,16.9,27.2,19.7,7.2,30.3,17.4,35.6,16.3,17.4,17,16.6,10.4,14.4,13.8,4.4,8.5,2.3
