区分,集計企業数（社）,１人当たりの繰越日数（日）,１人当たりの新規付与日数（日）,１人当たりの利用日数（日）,平均利用率（％）
調査産業計,876,12.3,15.9,10.5,66.4
労組有,63,13.7,18.3,12.2,66.7
労組無,813,12.1,15.7,10.4,66.4
建設業,71,13.3,16,10.4,65.4
製造業,207,12.9,16.8,11.1,66.4
情報通信業,58,11.8,16.3,10.1,61.9
運輸業，郵便業,42,14.1,16.1,9.2,57.4
卸売業，小売業,180,11.1,14.3,9.2,64.4
金融業，保険業,27,15.3,18.9,14.6,77.6
不動産業，物品賃貸業,16,9.2,14.3,10.7,75.2
学術研究，専門・技術サービス業,57,10.6,15,10.9,72.6
宿泊業，飲食サービス業,43,9.3,14,8.6,61.2
生活関連サービス業，娯楽業,34,16.5,16.3,12.1,74.1
教育，学習支援業（学校教育を除く）,30,8.1,12.5,8.9,71.1
医療，福祉,57,8,13.8,8,57.7
サービス業（他に分類されないもの）,54,11.9,15.2,9.1,59.7
10～49人,585,11.7,15.2,10,65.5
50～99人,188,12,15.9,10.9,68.8
100～299人,103,13.4,16.8,10.9,65.1
