表側１,表側２,表側３,回答企業数(件),全て自企業(％),一部外部委託(％),全て外部委託(％),該当する業務なし(％),無回答(％)
,,"今回調査
（全体）",767,24.9,21.4,21.8,28.6,3.4
,,前回調査,760,28.7,24.7,18.8,23.3,4.5
業種別,,食料品卸売業,213,28.2,16.0,26.8,26.3,2.8
業種別,,生鮮食品卸売業,91,38.5,16.5,18.7,23.1,3.3
業種別,,加工食品等卸売業,122,20.5,15.6,32.8,28.7,2.5
業種別,,衣料品関連卸売業,111,24.3,27.0,23.4,20.7,4.5
業種別,,住関連卸売業,155,24.5,21.3,16.1,32.9,5.2
業種別,,その他卸売業,270,23.0,22.6,21.9,30.0,2.6
従業者規模別,,１～５人,406,27.6,15.3,21.2,31.3,4.7
従業者規模別,,６～９人,119,24.4,28.6,16.8,27.7,2.5
従業者規模別,,10～49人,192,20.3,28.6,25.5,24.0,1.6
従業者規模別,,50人以上,28,14.3,32.1,25.0,28.6,0.0
取引形態別,一次卸,小売直取引卸,229,28.4,22.7,18.3,26.2,4.4
取引形態別,一次卸,他部門直取引卸,67,17.9,26.9,22.4,31.3,1.5
取引形態別,一次卸,元卸,127,18.9,20.5,33.9,26.8,0.0
取引形態別,二次卸,中間卸,93,23.7,19.4,24.7,26.9,5.4
取引形態別,二次卸,最終卸,131,34.4,20.6,13.0,29.0,3.1
取引形態別,その他,製造問屋,20,20.0,30.0,30.0,20.0,0.0
取引形態別,その他,その他卸,65,18.5,13.8,24.6,36.9,6.2
