,,20％未満,20～40％未満,40～60％未満,60～80％未満,80％以上,無回答,ｎ
,今回調査（全体）,68.8,16,5.1,1.2,5.1,3.7,430
業種別,情報・コンテンツ業,65.8,14.4,5.5,2.1,8.2,4.1,146
業種別,専門サービス業,70.3,18.6,4.8,0,2.8,3.4,145
業種別,技術サービス業,64.4,15.6,8.9,2.2,6.7,2.2,45
業種別,事業サービス業,75.9,14.5,2.4,1.2,3.6,2.4,83
特定10業種別,ソフトウェア業,60.7,16.4,6.6,3.3,8.2,4.9,61
特定10業種別,インターネット附随サービス業,78.6,0,0,0,14.3,7.1,14
特定10業種別,映像情報制作・配給業,64.3,7.1,7.1,7.1,7.1,7.1,14
特定10業種別,出版業,83.3,16.7,0,0,0,0,12
特定10業種別,税理士事務所,90.5,4.8,4.8,0,0,0,21
特定10業種別,デザイン業,89.5,10.5,0,0,0,0,19
特定10業種別,経営コンサルタント業,52.3,29.5,6.8,0,6.8,4.5,44
特定10業種別,建築設計業,66.7,22.2,0,0,5.6,5.6,18
特定10業種別,自動車整備業,60,20,20,0,0,0,5
特定10業種別,建物サービス業,75,18.8,0,6.3,0,0,16
従業者規模別,1～2人,61.9,17.2,9,0,7.5,4.5,134
従業者規模別,3～5人,67.3,18.4,2,4.1,6.1,2,98
従業者規模別,6～9人,54.2,25,8.3,2.1,6.3,4.2,48
従業者規模別,10～29人,81.3,9.4,1.6,0,4.7,3.1,64
従業者規模別,30人以上,80.5,12.2,3.7,0,0,3.7,82
年間売上高増減別（３年前）,大幅(10％以上)増加,57.5,19.2,11,0,8.2,4.1,73
年間売上高増減別（３年前）,やや(10％未満)増加,72.1,23,1.6,0,0,3.3,61
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,71.3,13.8,3.4,2.3,6.9,2.3,87
年間売上高増減別（３年前）,やや(10％未満)減少,75,10,10,0,0,5,40
年間売上高増減別（３年前）,大幅(10％以上)減少,70.9,12.8,3.5,2.1,5.7,5,141
売上高経常利益率別,黒字,70.1,18.5,3.9,1.1,5,1.4,281
売上高経常利益率別,赤字,68.1,12.1,6,1.7,6,6,116
経常損益の変化別（３年前）,増益,64.6,19.5,5.3,0.9,8,1.8,113
経常損益の変化別（３年前）,横ばい,74.4,14.5,5.1,0.9,1.7,3.4,117
経常損益の変化別（３年前）,減益,70.2,13.7,4.2,1.8,5.4,4.8,168
代表者の年齢別,40歳未満,61.9,14.3,9.5,0,14.3,0,21
代表者の年齢別,40歳代,76.8,11,2.4,0,3.7,6.1,82
代表者の年齢別,50歳代,65.2,17,3.7,2.2,8.1,3.7,135
代表者の年齢別,60歳代,72.1,16.2,5.9,0.7,2.2,2.9,136
代表者の年齢別,70歳以上,60.4,20.8,10.4,2.1,4.2,2.1,48
他企業との競争状況別（３年前）,かなり激化した,77.6,13.8,1.7,0,5.2,1.7,58
他企業との競争状況別（３年前）,やや激化した,70.5,16.1,3.6,0,1.8,8,112
他企業との競争状況別（３年前）,変わらない,68.2,15.3,6.4,2.1,5.5,2.5,236
他企業との競争状況別（３年前）,やや緩和した,50,25,12.5,0,12.5,0,8
他企業との競争状況別（３年前）,かなり緩和した,0,50,0,0,50,0,2
