区分,集計企業数（社）, 支給あり／支給あり（社）, 支給あり／一律支給（社）, 支給あり／住宅の形態別支給（社）, 支給あり／その他（社）, 支給あり／無回答（社）,支給なし／支給なし（社）,支給なし／ 無回答（社）
調査産業計,1012,402,210,77,107,8,607,3
建設業,85,43,21,8,14,-,42,-
製造業,274,131,78,27,23,3,142,1
情報通信業,50,24,13,2,8,1,26,-
運輸業，郵便業,55,16,12,2,2,-,38,1
卸売業，小売業,195,66,35,10,19,2,129,-
金融業，保険業,43,20,1,5,14,-,23,-
不動産業，物品賃貸業,30,14,7,2,4,1,16,-
学術研究，専門・技術サービス業,58,18,7,4,7,-,39,1
宿泊業，飲食サービス業,49,9,7,1,1,-,40,-
生活関連サービス業，娯楽業,33,8,2,3,3,-,25,-
教育，学習支援業(学校教育を除く）,32,13,7,4,2,-,19,-
医療，福祉,43,12,8,2,2,-,31,-
サービス業（他に分類されないもの）,65,28,12,7,8,1,37,-
10～49人,642,216,129,37,45,5,423,3
50～99人,225,104,50,20,31,3,121,-
100～299人,145,82,31,20,31,-,63,-
