区分,集計企業数（社）,平均所定内実労働時間（時間:分）,１５０時間未満（社）,１５０時間以上１６０時間未満（社）,１６０時間以上１７０時間未満（社）,１７０時間以上１８０時間未満（社）,１８０時間以上１９０時間未満（社）,１９０時間以上２００時間未満（社）,２００時間以上（社）,無回答（社）
調査産業計,876,156:04,173,140,282,76,17,12,6,170
労組有,63,154:01,16,15,13,4,1,2,0,12
労組無,813,156:13,157,125,269,72,16,10,6,158
建設業,71,163:31,10,8,28,6,5,2,1,11
製造業,207,154:03,41,53,81,7,1,1,0,23
情報通信業,58,152:23,17,16,11,1,0,0,0,13
運輸業，郵便業,42,164:51,6,2,12,8,1,1,3,9
卸売業，小売業,180,155:46,29,28,48,17,7,4,1,46
金融業，保険業,27,151:39,8,5,5,0,0,0,0,9
不動産業，物品賃貸業,16,140:40,7,1,5,0,1,0,0,2
学術研究，専門・技術サービス業,57,155:52,13,4,20,5,0,0,0,15
宿泊業，飲食サービス業,43,153:19,9,5,7,11,0,1,0,10
生活関連サービス業，娯楽業,34,157:38,8,5,7,3,0,1,0,10
教育，学習支援業（学校教育を除く）,30,149:16,8,0,13,3,1,0,0,5
医療，福祉,57,159:29,7,4,28,8,0,0,0,10
サービス業（他に分類されないもの）,54,160:20,10,9,17,7,1,2,1,7
10～49人,585,156:12,111,87,187,55,14,11,3,117
50～99人,188,156:14,36,38,56,16,2,1,2,37
100～299人,103,154:58,26,15,39,5,1,0,1,16
